year,week,week_start,metric,vax,value
2021,34,2021-08-22,deaths,vax,0.7653171949680897
2021,34,2021-08-22,deaths,unvax,6.044472920955863
2021,35,2021-08-29,cases,vax,126.72909606478018
2021,35,2021-08-29,cases,unvax,453.4431473200072
2021,35,2021-08-29,hosp,vax,3.644597699923428
2021,35,2021-08-29,hosp,unvax,40.03139786547701
2021,35,2021-08-29,deaths,vax,0.5959168562447971
2021,35,2021-08-29,deaths,unvax,7.885372428537612
2021,36,2021-09-05,cases,vax,125.68069493683473
2021,36,2021-09-05,cases,unvax,478.437983008631
2021,36,2021-09-05,hosp,vax,3.768560774782906
2021,36,2021-09-05,hosp,unvax,44.50705013610895
2021,36,2021-09-05,deaths,vax,0.6762266815044362
2021,36,2021-09-05,deaths,unvax,9.591130387092742
2021,37,2021-09-12,cases,vax,150.63131599538403
2021,37,2021-09-12,cases,unvax,552.9009267905409
2021,37,2021-09-12,hosp,vax,4.832189548605243
2021,37,2021-09-12,hosp,unvax,50.937266928234
2021,37,2021-09-12,deaths,vax,1.0365521870989836
2021,37,2021-09-12,deaths,unvax,11.05155117577067
2021,38,2021-09-19,cases,vax,156.48774263335986
2021,38,2021-09-19,cases,unvax,604.8292977840547
2021,38,2021-09-19,hosp,vax,4.759108737269944
2021,38,2021-09-19,hosp,unvax,48.56131973523419
2021,38,2021-09-19,deaths,vax,1.0096146220024806
2021,38,2021-09-19,deaths,unvax,9.19720399035781
2021,39,2021-09-26,cases,vax,200.75013674027488
2021,39,2021-09-26,cases,unvax,723.0325983615049
2021,39,2021-09-26,hosp,vax,5.790498945561469
2021,39,2021-09-26,hosp,unvax,54.48808521632756
2021,39,2021-09-26,deaths,vax,1.1816375956982448
2021,39,2021-09-26,deaths,unvax,11.653464000068245
2021,40,2021-10-03,cases,vax,205.7660496685673
2021,40,2021-10-03,cases,unvax,744.9732707676142
2021,40,2021-10-03,hosp,vax,5.4817427336935305
2021,40,2021-10-03,hosp,unvax,58.928734417913894
2021,40,2021-10-03,deaths,vax,1.1851874608806616
2021,40,2021-10-03,deaths,unvax,14.442527404642954
2021,41,2021-10-10,cases,vax,172.10109597669185
2021,41,2021-10-10,cases,unvax,633.0003203677968
2021,41,2021-10-10,hosp,vax,4.943515553953456
2021,41,2021-10-10,hosp,unvax,55.574422367784706
2021,41,2021-10-10,deaths,vax,1.3305914427707455
2021,41,2021-10-10,deaths,unvax,12.262325665593133
2021,42,2021-10-17,cases,vax,159.14060609777277
2021,42,2021-10-17,cases,unvax,560.5034285413212
2021,42,2021-10-17,hosp,vax,4.72623718276759
2021,42,2021-10-17,hosp,unvax,49.617516966804956
2021,42,2021-10-17,deaths,vax,1.4166564074846877
2021,42,2021-10-17,deaths,unvax,12.990000719952599
2021,43,2021-10-24,cases,vax,203.83287232936348
2021,43,2021-10-24,cases,unvax,676.9386351010578
2021,43,2021-10-24,hosp,vax,6.133789588577669
2021,43,2021-10-24,hosp,unvax,60.05363529565592
2021,43,2021-10-24,deaths,vax,1.6861903068719908
2021,43,2021-10-24,deaths,unvax,11.942094773737594
2021,44,2021-10-31,cases,vax,275.14169171074013
2021,44,2021-10-31,cases,unvax,858.8890557056793
2021,44,2021-10-31,hosp,vax,7.346009797591391
2021,44,2021-10-31,hosp,unvax,75.77972256440667
2021,44,2021-10-31,deaths,vax,1.7422973989291815
2021,44,2021-10-31,deaths,unvax,19.237736005107756
2021,45,2021-11-07,cases,vax,326.09373737797887
2021,45,2021-11-07,cases,unvax,1019.9563426045356
2021,45,2021-11-07,hosp,vax,9.121437643416026
2021,45,2021-11-07,hosp,unvax,91.56377172949296
2021,45,2021-11-07,deaths,vax,2.12190517257855
2021,45,2021-11-07,deaths,unvax,23.773181721390472
2021,46,2021-11-14,cases,vax,338.92396199773356
2021,46,2021-11-14,cases,unvax,1047.0319175614804
2021,46,2021-11-14,hosp,vax,7.845746092683983
2021,46,2021-11-14,hosp,unvax,96.48803551354477
2021,46,2021-11-14,deaths,vax,1.6408832359781542
2021,46,2021-11-14,deaths,unvax,26.689092008281907
2021,47,2021-11-21,cases,vax,292.06706072965676
2021,47,2021-11-21,cases,unvax,923.8552091964045
