year,week,week_start,cases_boosted,cases_vaxxed,cases_unvaxxed,hosp_boosted,hosp_vaxxed,hosp_unvaxxed,deaths_boosted,deaths_vaxxed,deaths_unvaxxed
2021,18,2021-05-02,0,20.807027481,238.272680134,0,1.642310541,23.761716684,0,0.300236598,3.019139116
2021,19,2021-05-09,0,15.839959621,179.757664758,0,1.157685169,19.21853938,0,0.144003756,2.432693009
2021,20,2021-05-16,0,12.862104905,139.831410269,0,1.682221544,18.815133088,0,0.094845398,2.593920374
2021,21,2021-05-23,0,8.076694302,84.353127265,0,0.799506586,11.276432415,0,0.046879665,1.526025892
2021,22,2021-05-30,0,5.287467501,59.4394178,0,0.786035093,9.669450577,0,0.121564119,1.108601952
2021,23,2021-06-06,0,4.226688063,44.520195955,0,0.91522749,7.118474992,0,0.023035415,0.763867739
2021,24,2021-06-13,0,5.092186086,34.237060442,0,1.131641372,5.242656697,0,0.073316134,0.259089928
2021,25,2021-06-20,0,4.37941076,28.745392108,0,0.788397276,5.634555881,0,0.074639104,0.415341216
2021,26,2021-06-27,0,6.037266284,29.63016361,0,0.927177722,5.002576381,0,0.022745449,0.36570205
2021,27,2021-07-04,0,7.973664755,40.302566993,0,0.935679286,5.557628567,0,0.022691432,0.646685578
2021,28,2021-07-11,0,15.201800065,66.160982975,0,1.069379559,11.502907919,0,0.067949961,1.992717146
2021,29,2021-07-18,0,27.128276047,106.359255008,0,1.404444055,13.531826844,0,0.113059081,0.882298003
2021,30,2021-07-25,0,47.795431886,169.195121086,0,1.92174816,16.719824327,0,0.34212279,2.053476037
2021,31,2021-08-01,0,71.440346269,237.744152368,0,2.329345689,24.579668991,0,0.228887018,2.873808911
2021,32,2021-08-08,0,89.355797856,302.022411242,0,3.112928691,30.369954859,0,0.543063909,4.230540744
2021,33,2021-08-15,0,113.697203302,378.518446816,0,3.908628233,36.069664565,0,0.647746079,5.3424531
2021,34,2021-08-22,0,117.159202658,386.400171794,0,4.35340673,34.699573261,0,0.916726167,5.806659884
2021,35,2021-08-29,0,138.412905213,448.865877586,0,4.438523088,39.847613558,0,0.651120626,7.731928967
2021,36,2021-09-05,0,136.170734809,465.193227368,0,4.61126702,44.102395428,0,0.79062109,9.042579792
2021,37,2021-09-12,0,161.148446066,502.743457183,0,5.847815227,50.25157887,0,1.149954052,10.788252876
2021,38,2021-09-19,0,166.086185665,537.693963493,0,5.67437352,48.671709773,0,1.195778768,9.36392426
2021,39,2021-09-26,0,215.884120936,659.585034596,0,6.963075962,53.784332201,0,1.295564898,11.465687667
2021,40,2021-10-03,0,221.675817093,693.250357038,0,6.583036597,58.138215618,0,1.412056754,14.605244986
2021,41,2021-10-10,42.038741832,190.64359153,599.304691131,5.511943735,6.183071828,54.752649264,0.354968792,1.665321771,12.115305272
2021,42,2021-10-17,40.797999206,180.526205318,540.558381948,3.501216115,6.198531106,49.009344254,0.85975453,1.87412131,12.282008034
2021,43,2021-10-24,63.118945095,235.879513606,647.665972903,4.973549776,8.215833971,57.750688095,0.457620785,2.242581525,11.896915464
2021,44,2021-10-31,100.626916687,320.291197909,838.117971954,4.394892539,10.227623345,73.046100135,0.514428838,2.646693807,18.585632192
2021,45,2021-11-07,80.901807381,394.677934071,989.715774684,1.921342771,13.977058449,89.469473274,0.382607255,3.663699483,22.71637176
2021,46,2021-11-14,98.693632561,421.014952459,1002.327640423,2.348012214,13.032677835,93.502584403,0.691052427,3.18201658,25.398995581
2021,47,2021-11-21,100.491573388,374.49425833,908.08635251,4.727352684,16.529526591,96.489451753,0.795528304,4.702667965,24.800883663
2021,48,2021-11-28,119.031679928,544.665043354,1203.711678039,2.601981822,19.031470127,112.216699643,0.50860241,4.604669714,26.328608009
2021,49,2021-12-05,86.623128508,368.747412744,889.938418303,3.54267362,14.193595167,101.426445368,0.42808592,4.006640371,25.971528329
2021,50,2021-12-12,113.655382903,372.506872597,784.301383022,3.258753945,13.274949037,86.13946016,0.533336967,2.44226732,20.894590908
2021,51,2021-12-19,237.717459217,492.954165892,723.73084752,1.685334242,13.912996471,71.358271488,0.293121148,2.482997788,19.10709725
2021,52,2021-12-26,644.492465412,1225.093633873,1323.756357501,5.440556384,21.05947445,72.367107482,0.721331332,3.618706845,16.655160126
2022,01,2022-01-02,1284.652401201,2134.758922269,2224.193110413,10.247733478,38.904021264,96.517258915,1.694362163,6.432469734,20.578920732
2022,02,2022-01-09,1236.144415581,1999.102115059,2171.806153392,11.144431634,41.778390185,90.061497853,1.699433676,9.036540698,18.929780333
2022,03,2022-01-16,1016.074223654,1490.338281788,1684.80983476,13.276035857,42.986775095,85.352538274,1.352510466,7.516974224,14.540582535
2022,04,2022-01-23,631.746859265,874.672761846,1081.194403646,10.715876329,36.797226475,75.530028049,1.525882122,6.516169194,15.437264111
2022,05,2022-01-30,382.245179578,484.691045616,664.33653159,7.909090267,22.92393907,51.926514608,1.023612686,3.967279723,10.461137279
2022,06,2022-02-06,246.552911946,287.696574236,403.830743147,6.90639437,19.887717427,33.605623435,0.71830677,2.183022077,5.876946196
2022,07,2022-02-13,153.3380808,171.475330593,232.59796295,4.272790687,10.921238257,25.16584128,0.427411403,1.282021592,3.332134747
2022,08,2022-02-20,96.122460429,95.248938873,133.581116916,3.754481252,7.905518559,16.983049921,0.335059464,1.062516674,1.703720331
2022,09,2022-02-27,76.646384985,65.884135682,102.527456862,3.157458588,6.888315738,13.385360884,0.27794510100000003,1.004439274,1.351581702
2022,10,2022-03-06,57.36489616,52.769998652,68.407256455,2.6378392,5.94858143,8.710016547,0.07471363,0.920444224,0.968617985
2022,11,2022-03-13,56.750732865,45.683098662,60.116915301,2.198133593,5.996340152,6.875006836,0.124243766,0.175118668,0.524635154
2022,12,2022-03-20,67.478384775,44.481445111,55.762977419,2.3346251159999998,4.204665564,5.729880336,0.099219948,0.155204828,0.827346543
2022,13,2022-03-27,72.75157824,45.855229798,58.351065721,1.774540346,4.323105922,4.708533173,0.182406838,0,0.224021947
2022,14,2022-04-03,95.001192469,54.357727726,71.187918145,2.25868515,4.550350383,8.267350676,0.206761395,0.724081993,0.448823377
2022,15,2022-04-10,148.65059825,79.050173914,105.098385621,2.693422549,5.815121598,7.19742534,0.255392556,0.735506347,0.70691208
2022,16,2022-04-17,195.499487467,112.411139074,141.951973427,4.300540439,7.064423025,9.52817121,0.304818832,0.752473757,0.76582295
2022,17,2022-04-24,265.974059121,166.865573833,196.974850495,5.699282735,8.876041562,13.390558095,0.457182697,0.548177494,1.008366329
