year,week,week_start,cases_vaxxed,cases_unvaxxed,hosp_vaxxed,hosp_unvaxxed
2022,49,2022-12-04,34.440153,46.964941896,0.649110434,1.674156245
2022,50,2022-12-11,34.800886392,40.060827126,0.648870265,0.844368918
2022,51,2022-12-18,35.919709573,34.696829257,0.420048446,0.480930791
2022,52,2022-12-25,19.191404985,18.21250322,0.906119373,0.364498594
2023,01,2023-01-01,15.02409994,21.512438213,0.486327424,1.079592769
2023,02,2023-01-08,23.35645225,32.108642242,1.095116968,0.664268191
2023,03,2023-01-15,32.71878355,36.755676921,0.162043465,0.96389691
2023,04,2023-01-22,36.879841835,54.851615613,0.580473234,2.278884198
2023,05,2023-01-29,49.106823823,45.682461237,0.161967485,1.447445756
2023,06,2023-02-05,45.465875233,55.198102543,0.97158058,1.148547548
2023,07,2023-02-12,39.289474068,40.668392129,0.90333657,1.082567109
2023,08,2023-02-19,28.734710019,21.109804694,1.090439173,0.183257332
2023,09,2023-02-26,20.69251561,21.85149058,1.2263845,0.483369491
2023,10,2023-03-05,16.769903298,23.19161041,0.417085759,0.183411787
2023,11,2023-03-12,14.567039454,17.212513102,0.416912773,0.300184089
2023,12,2023-03-19,16.991144515,16.620428738,0.740172677,0.600664762
2023,13,2023-03-26,15.250173283,19.747107739,0.994787946,1.268571253
2023,14,2023-04-02,10.683678679,11.772768386,0.48506334,0.183727065
