year,week,week_start,metric,vax,value
2021,18,2021-05-02,cases,vax,18.262900266109664
2021,18,2021-05-02,cases,unvax,246.43424853273012
2021,18,2021-05-02,hosp,vax,1.0794516430297643
2021,18,2021-05-02,hosp,unvax,23.356064416073163
2021,18,2021-05-02,deaths,vax,0.2440226238719917
2021,18,2021-05-02,deaths,unvax,2.8072526591772906
2021,19,2021-05-09,cases,vax,13.506076919139378
2021,19,2021-05-09,cases,unvax,182.97673377203768
2021,19,2021-05-09,hosp,vax,0.822651427938827
2021,19,2021-05-09,hosp,unvax,18.29112161715341
2021,19,2021-05-09,deaths,vax,0.1054715668752029
2021,19,2021-05-09,deaths,unvax,2.379507280417345
2021,20,2021-05-16,cases,vax,11.867028831514336
2021,20,2021-05-16,cases,unvax,142.51940557894568
2021,20,2021-05-16,hosp,vax,1.1444077985846723
2021,20,2021-05-16,hosp,unvax,18.049414405990568
2021,20,2021-05-16,deaths,vax,0.06251798350267107
2021,20,2021-05-16,deaths,unvax,2.5541848924696144
2021,21,2021-05-23,cases,vax,6.839765565425418
2021,21,2021-05-23,cases,unvax,83.28267499860168
2021,21,2021-05-23,hosp,vax,0.49040045793307596
2021,21,2021-05-23,hosp,unvax,10.34995527566916
2021,21,2021-05-23,deaths,vax,0.06180357425668037
2021,21,2021-05-23,deaths,unvax,1.3628314425728778
2021,22,2021-05-30,cases,vax,4.595938439828709
2021,22,2021-05-30,cases,unvax,59.75423342348833
2021,22,2021-05-30,hosp,vax,0.5962629497073042
2021,22,2021-05-30,hosp,unvax,9.073635813304287
2021,22,2021-05-30,deaths,vax,0.10737078304433068
2021,22,2021-05-30,deaths,unvax,1.1048083791101513
2021,23,2021-06-06,cases,vax,3.701545591294507
2021,23,2021-06-06,cases,unvax,43.31951875089355
2021,23,2021-06-06,hosp,vax,0.5721628880885381
2021,23,2021-06-06,hosp,unvax,5.884595217102917
2021,23,2021-06-06,deaths,vax,0.02024461441297108
2021,23,2021-06-06,deaths,unvax,0.7730736993246218
2021,24,2021-06-13,cases,vax,4.7925459136851885
2021,24,2021-06-13,cases,unvax,34.07747540248555
2021,24,2021-06-13,hosp,vax,0.6394145045301943
2021,24,2021-06-13,hosp,unvax,5.0541887545700845
2021,24,2021-06-13,deaths,vax,0.06493817141055971
2021,24,2021-06-13,deaths,unvax,0.25037431374334274
2021,25,2021-06-20,cases,vax,3.558761036439914
2021,25,2021-06-20,cases,unvax,29.343300969992285
2021,25,2021-06-20,hosp,vax,0.3894495298780478
2021,25,2021-06-20,hosp,unvax,4.805513385364908
2021,25,2021-06-20,deaths,vax,0.06684652250002103
2021,25,2021-06-20,deaths,unvax,0.41228873618020406
2021,26,2021-06-27,cases,vax,5.217739545474216
2021,26,2021-06-27,cases,unvax,30.493711061019198
2021,26,2021-06-27,hosp,vax,0.4316296438227899
2021,26,2021-06-27,hosp,unvax,4.2371275918373605
2021,26,2021-06-27,deaths,vax,0.019989668440576074
2021,26,2021-06-27,deaths,unvax,0.3705373237600994
2021,27,2021-07-04,cases,vax,6.91555571774111
2021,27,2021-07-04,cases,unvax,40.63434925506364
2021,27,2021-07-04,hosp,vax,0.4523140847924563
2021,27,2021-07-04,hosp,unvax,5.627068943228247
2021,27,2021-07-04,deaths,vax,0.019942017264317248
2021,27,2021-07-04,deaths,unvax,0.5944300420918159
2021,28,2021-07-11,cases,vax,13.426998166497587
2021,28,2021-07-11,cases,unvax,66.73952867211095
2021,28,2021-07-11,hosp,vax,0.7751362778745329
2021,28,2021-07-11,hosp,unvax,11.141523312777391
2021,28,2021-07-11,deaths,vax,0.03981088183555169
2021,28,2021-07-11,deaths,unvax,2.202615476427275
2021,29,2021-07-18,cases,vax,24.321610539518595
2021,29,2021-07-18,cases,unvax,107.44006684945704
2021,29,2021-07-18,hosp,vax,1.1814488553034455
2021,29,2021-07-18,hosp,unvax,12.436129376356869
2021,29,2021-07-18,deaths,vax,0.09935909460119668
2021,29,2021-07-18,deaths,unvax,0.8843751507144355
2021,30,2021-07-25,cases,vax,42.89642024252744
2021,30,2021-07-25,cases,unvax,170.01172480902213
2021,30,2021-07-25,hosp,vax,1.4339568284839872
2021,30,2021-07-25,hosp,unvax,15.920022664896981
2021,30,2021-07-25,deaths,vax,0.2579329094319073
2021,30,2021-07-25,deaths,unvax,2.080865294713286
2021,31,2021-08-01,cases,vax,64.29094390516724
2021,31,2021-08-01,cases,unvax,239.85558799442177
2021,31,2021-08-01,hosp,vax,1.8546093499314416
2021,31,2021-08-01,hosp,unvax,23.991689629876756
2021,31,2021-08-01,deaths,vax,0.20162117150464376
2021,31,2021-08-01,deaths,unvax,2.8965893108580616
2021,32,2021-08-08,cases,vax,81.7751415457143
2021,32,2021-08-08,cases,unvax,303.7457216035019
2021,32,2021-08-08,hosp,vax,2.631239535382708
2021,32,2021-08-08,hosp,unvax,29.177625245026025
2021,32,2021-08-08,deaths,vax,0.45862163499427394
2021,32,2021-08-08,deaths,unvax,4.3262636862171675
2021,33,2021-08-15,cases,vax,104.51580351837366
2021,33,2021-08-15,cases,unvax,378.97149817548376
2021,33,2021-08-15,hosp,vax,3.1899620772523054
2021,33,2021-08-15,hosp,unvax,35.49395757323929
2021,33,2021-08-15,deaths,vax,0.5734090174925438
2021,33,2021-08-15,deaths,unvax,5.4133183858943275
2021,34,2021-08-22,cases,vax,107.44408666522037
2021,34,2021-08-22,cases,unvax,387.82171429378275
2021,34,2021-08-22,hosp,vax,3.556915966142448
2021,34,2021-08-22,hosp,unvax,34.067860559876934
2021,34,2021-08-22,deaths,vax,0.7656995115593686
2021,34,2021-08-22,deaths,unvax,6.014817451522922
2021,35,2021-08-29,cases,vax,126.73110268589872
2021,35,2021-08-29,cases,unvax,453.1857486304618
2021,35,2021-08-29,hosp,vax,3.645660244921856
2021,35,2021-08-29,hosp,unvax,39.90403442639545
2021,35,2021-08-29,deaths,vax,0.5962202978811934
2021,35,2021-08-29,deaths,unvax,7.849506883317641
2021,36,2021-09-05,cases,vax,125.66279161777169
2021,36,2021-09-05,cases,unvax,478.0476615551201
2021,36,2021-09-05,hosp,vax,3.76958881703389
2021,36,2021-09-05,hosp,unvax,44.300856160323384
2021,36,2021-09-05,deaths,vax,0.6765871699344529
2021,36,2021-09-05,deaths,unvax,9.543787616307622
2021,37,2021-09-12,cases,vax,150.6290750186766
2021,37,2021-09-12,cases,unvax,552.2717035255378
2021,37,2021-09-12,hosp,vax,4.83370101287583
2021,37,2021-09-12,hosp,unvax,50.758256939276954
2021,37,2021-09-12,deaths,vax,1.0370205653717017
2021,37,2021-09-12,deaths,unvax,10.996433573521314
2021,38,2021-09-19,cases,vax,156.49017268027845
2021,38,2021-09-19,cases,unvax,604.2803576121083
2021,38,2021-09-19,hosp,vax,4.780158640838376
2021,38,2021-09-19,hosp,unvax,48.392427303591624
2021,38,2021-09-19,deaths,vax,1.0296705596381144
2021,38,2021-09-19,deaths,unvax,9.351935843452825
2021,39,2021-09-26,cases,vax,200.74646521908636
2021,39,2021-09-26,cases,unvax,722.6675581005009
