year,week,week_start,age,vax,metric,value
2021,21,2021-05-23,18-49,vaxxed,deathrate,0
2021,21,2021-05-23,18-49,unvaxxed,deathrate,0.1533242616478525
2021,21,2021-05-23,50-64,vaxxed,caserate,6.757020544345575
2021,21,2021-05-23,50-64,unvaxxed,caserate,83.02811573048002
2021,21,2021-05-23,50-64,vaxxed,hosprate,0.6006240483862734
2021,21,2021-05-23,50-64,unvaxxed,hosprate,14.50760086688495
2021,21,2021-05-23,50-64,vaxxed,deathrate,0
2021,21,2021-05-23,50-64,unvaxxed,deathrate,1.339163156943226
2021,21,2021-05-23,65+,vaxxed,caserate,9.601679076724178
2021,21,2021-05-23,65+,unvaxxed,caserate,119.08355975982019
2021,21,2021-05-23,65+,vaxxed,hosprate,2.0285237486036993
2021,21,2021-05-23,65+,unvaxxed,hosprate,31.028814866995404
2021,21,2021-05-23,65+,vaxxed,deathrate,0.40570474972073994
2021,21,2021-05-23,65+,unvaxxed,deathrate,6.708932944215222
2021,22,2021-05-30,12-17,vaxxed,caserate,2.201091741503786
2021,22,2021-05-30,12-17,unvaxxed,caserate,37.08453729313782
2021,22,2021-05-30,12-17,vaxxed,hosprate,0
2021,22,2021-05-30,12-17,unvaxxed,hosprate,1.5451890538807422
2021,22,2021-05-30,12-17,vaxxed,deathrate,0
2021,22,2021-05-30,12-17,unvaxxed,deathrate,0
2021,22,2021-05-30,18-49,vaxxed,caserate,4.70520940488327
2021,22,2021-05-30,18-49,unvaxxed,caserate,55.90827409423641
2021,22,2021-05-30,18-49,vaxxed,hosprate,0.2767770238166629
2021,22,2021-05-30,18-49,unvaxxed,hosprate,4.376866361882614
2021,22,2021-05-30,18-49,vaxxed,deathrate,0
2021,22,2021-05-30,18-49,unvaxxed,deathrate,0.16516476837292884
2021,22,2021-05-30,50-64,vaxxed,caserate,3.847354089096171
2021,22,2021-05-30,50-64,unvaxxed,caserate,53.61032811461451
2021,22,2021-05-30,50-64,vaxxed,hosprate,0.8549675753547046
2021,22,2021-05-30,50-64,unvaxxed,hosprate,10.188388148478776
2021,22,2021-05-30,50-64,vaxxed,deathrate,0.14249459589245078
2021,22,2021-05-30,50-64,unvaxxed,deathrate,0.24258067020187565
2021,22,2021-05-30,65+,vaxxed,caserate,6.826212656601349
2021,22,2021-05-30,65+,unvaxxed,caserate,95.00080661062216
2021,22,2021-05-30,65+,vaxxed,hosprate,2.2754042188671164
2021,22,2021-05-30,65+,unvaxxed,hosprate,32.264424886626394
2021,22,2021-05-30,65+,vaxxed,deathrate,0.5353892279687332
2021,22,2021-05-30,65+,unvaxxed,deathrate,6.273638172399576
2021,23,2021-06-06,12-17,vaxxed,caserate,1.9746455511235732
2021,23,2021-06-06,12-17,unvaxxed,caserate,17.75030540966661
2021,23,2021-06-06,12-17,vaxxed,hosprate,0
2021,23,2021-06-06,12-17,unvaxxed,hosprate,0.7831017092499973
2021,23,2021-06-06,12-17,vaxxed,deathrate,0
2021,23,2021-06-06,12-17,unvaxxed,deathrate,0
2021,23,2021-06-06,18-49,vaxxed,caserate,3.6924245514583323
2021,23,2021-06-06,18-49,unvaxxed,caserate,42.51079834760872
2021,23,2021-06-06,18-49,vaxxed,hosprate,0.615404091909722
2021,23,2021-06-06,18-49,unvaxxed,hosprate,3.5425665289673938
2021,23,2021-06-06,18-49,vaxxed,deathrate,0
2021,23,2021-06-06,18-49,unvaxxed,deathrate,0
2021,23,2021-06-06,50-64,vaxxed,caserate,3.4594127854361494
2021,23,2021-06-06,50-64,unvaxxed,caserate,37.817906778859786
2021,23,2021-06-06,50-64,vaxxed,hosprate,0.5535060456697839
2021,23,2021-06-06,50-64,unvaxxed,hosprate,7.665791914633742
2021,23,2021-06-06,50-64,vaxxed,deathrate,0
2021,23,2021-06-06,50-64,unvaxxed,deathrate,0.2555263971544581
2021,23,2021-06-06,65+,vaxxed,caserate,5.182903329550257
2021,23,2021-06-06,65+,unvaxxed,caserate,69.66410604006627
2021,23,2021-06-06,65+,vaxxed,hosprate,2.1263193146872847
2021,23,2021-06-06,65+,unvaxxed,hosprate,21.6523572827233
2021,23,2021-06-06,65+,vaxxed,deathrate,0.1328949571679553
2021,23,2021-06-06,65+,unvaxxed,deathrate,4.707034191896369
2021,24,2021-06-13,12-17,vaxxed,caserate,4.101834887472996
2021,24,2021-06-13,12-17,unvaxxed,caserate,15.52984503433205
2021,24,2021-06-13,12-17,vaxxed,hosprate,0
2021,24,2021-06-13,12-17,unvaxxed,hosprate,0.554637322654716
2021,24,2021-06-13,12-17,vaxxed,deathrate,0
2021,24,2021-06-13,12-17,unvaxxed,deathrate,0
2021,24,2021-06-13,18-49,vaxxed,caserate,5.043536835770473
2021,24,2021-06-13,18-49,unvaxxed,caserate,31.5554714076318
2021,24,2021-06-13,18-49,vaxxed,hosprate,0.9403204270080542
2021,24,2021-06-13,18-49,unvaxxed,hosprate,2.93332551113197
2021,24,2021-06-13,18-49,vaxxed,deathrate,0
2021,24,2021-06-13,18-49,unvaxxed,deathrate,0.1777773037049679
2021,24,2021-06-13,50-64,vaxxed,caserate,4.08092196188963
2021,24,2021-06-13,50-64,unvaxxed,caserate,28.24060999717594
2021,24,2021-06-13,50-64,vaxxed,hosprate,0.5441229282519507
2021,24,2021-06-13,50-64,unvaxxed,hosprate,3.695033083742646
2021,24,2021-06-13,50-64,vaxxed,deathrate,0.13603073206298769
2021,24,2021-06-13,50-64,unvaxxed,deathrate,0
2021,24,2021-06-13,65+,vaxxed,caserate,5.158266187697403
2021,24,2021-06-13,65+,unvaxxed,caserate,62.3599337425704
2021,24,2021-06-13,65+,vaxxed,hosprate,1.1903691202378621
2021,24,2021-06-13,65+,unvaxxed,hosprate,19.48747929455325
2021,24,2021-06-13,65+,vaxxed,deathrate,0.2645264711639694
2021,24,2021-06-13,65+,unvaxxed,deathrate,0.9743739647276624
2021,25,2021-06-20,12-17,vaxxed,caserate,0.8389684044498884
2021,25,2021-06-20,12-17,unvaxxed,caserate,17.16792776753354
2021,25,2021-06-20,12-17,vaxxed,hosprate,0
2021,25,2021-06-20,12-17,unvaxxed,hosprate,0.3179245882876582
2021,25,2021-06-20,12-17,vaxxed,deathrate,0
2021,25,2021-06-20,12-17,unvaxxed,deathrate,0
2021,25,2021-06-20,18-49,vaxxed,caserate,3.4880997662973154
2021,25,2021-06-20,18-49,unvaxxed,caserate,29.063291046397666
2021,25,2021-06-20,18-49,vaxxed,hosprate,0.33219997774260146
2021,25,2021-06-20,18-49,unvaxxed,hosprate,3.4839276333221174
2021,25,2021-06-20,18-49,vaxxed,deathrate,0.08304999443565036
2021,25,2021-06-20,18-49,unvaxxed,deathrate,0.09168230614005571
2021,25,2021-06-20,50-64,vaxxed,caserate,4.551710104260937
2021,25,2021-06-20,50-64,unvaxxed,caserate,23.975392528940752
2021,25,2021-06-20,50-64,vaxxed,hosprate,0.26774765319181976
2021,25,2021-06-20,50-64,unvaxxed,hosprate,4.631609920363554
2021,25,2021-06-20,50-64,vaxxed,deathrate,0
2021,25,2021-06-20,50-64,unvaxxed,deathrate,0.2724476423743268
2021,25,2021-06-20,65+,vaxxed,caserate,4.476794404533677
2021,25,2021-06-20,65+,unvaxxed,caserate,44.343216495676536
2021,25,2021-06-20,65+,vaxxed,hosprate,1.5800450839530622
2021,25,2021-06-20,65+,unvaxxed,hosprate,17.13260637332957
2021,25,2021-06-20,65+,vaxxed,deathrate,0.1316704236627552
2021,25,2021-06-20,65+,unvaxxed,deathrate,2.015600749803479
2021,26,2021-06-27,12-17,vaxxed,caserate,0.7206635870309381
2021,26,2021-06-27,12-17,unvaxxed,caserate,26.443098181867494
2021,26,2021-06-27,12-17,vaxxed,hosprate,0
2021,26,2021-06-27,12-17,unvaxxed,hosprate,1.3560563170188458
2021,26,2021-06-27,12-17,vaxxed,deathrate,0
2021,26,2021-06-27,12-17,unvaxxed,deathrate,0
2021,26,2021-06-27,18-49,vaxxed,caserate,5.603037008465458
2021,26,2021-06-27,18-49,unvaxxed,caserate,33.103178469391786
2021,26,2021-06-27,18-49,vaxxed,hosprate,0.2436103047158895
2021,26,2021-06-27,18-49,unvaxxed,hosprate,3.8557679467189296
2021,26,2021-06-27,18-49,vaxxed,deathrate,0
2021,26,2021-06-27,18-49,unvaxxed,deathrate,0
2021,26,2021-06-27,50-64,vaxxed,caserate,4.895785919190422
2021,26,2021-06-27,50-64,unvaxxed,caserate,22.329964299969575
2021,26,2021-06-27,50-64,vaxxed,hosprate,1.0585483068519832
2021,26,2021-06-27,50-64,unvaxxed,hosprate,4.465992859993915
2021,26,2021-06-27,50-64,vaxxed,deathrate,0
2021,26,2021-06-27,50-64,unvaxxed,deathrate,0.2791245537496197
2021,26,2021-06-27,65+,vaxxed,caserate,7.2171279504931265
2021,26,2021-06-27,65+,unvaxxed,caserate,32.08379044110037
2021,26,2021-06-27,65+,vaxxed,hosprate,1.9683076228617618
2021,26,2021-06-27,65+,unvaxxed,hosprate,11.384570801680777
2021,26,2021-06-27,65+,vaxxed,deathrate,0.13122050819078412
2021,26,2021-06-27,65+,unvaxxed,deathrate,2.0699219639419595
2021,27,2021-07-04,12-17,vaxxed,caserate,2.6833751492627425
2021,27,2021-07-04,12-17,unvaxxed,caserate,24.94133516939031
2021,27,2021-07-04,12-17,vaxxed,hosprate,0
2021,27,2021-07-04,12-17,unvaxxed,hosprate,1.7564320541824159
2021,27,2021-07-04,12-17,vaxxed,deathrate,0
2021,27,2021-07-04,12-17,unvaxxed,deathrate,0
2021,27,2021-07-04,18-49,vaxxed,caserate,6.885971514497371
2021,27,2021-07-04,18-49,unvaxxed,caserate,44.17244079506569
2021,27,2021-07-04,18-49,vaxxed,hosprate,0.24020830864525716
2021,27,2021-07-04,18-49,unvaxxed,hosprate,3.2507856862169557
2021,27,2021-07-04,18-49,vaxxed,deathrate,0
2021,27,2021-07-04,18-49,unvaxxed,deathrate,0.09561134371226339
2021,27,2021-07-04,50-64,vaxxed,caserate,9.718019835266432
2021,27,2021-07-04,50-64,unvaxxed,caserate,32.6201342814919
2021,27,2021-07-04,50-64,vaxxed,hosprate,0.7879475542107918
2021,27,2021-07-04,50-64,unvaxxed,hosprate,3.687493440516476
2021,27,2021-07-04,50-64,vaxxed,deathrate,0
2021,27,2021-07-04,50-64,unvaxxed,deathrate,0.5673066831563809
2021,27,2021-07-04,65+,vaxxed,caserate,6.545333635291391
2021,27,2021-07-04,65+,unvaxxed,caserate,47.470858167624876
2021,27,2021-07-04,65+,vaxxed,hosprate,1.570880072469934
2021,27,2021-07-04,65+,unvaxxed,hosprate,22.153067144891608
2021,27,2021-07-04,65+,vaxxed,deathrate,0.13090667270582784
2021,27,2021-07-04,65+,unvaxxed,deathrate,3.1647238778416584
2021,28,2021-07-11,12-17,vaxxed,caserate,3.1839832904556915
2021,28,2021-07-11,12-17,unvaxxed,caserate,33.61065132382598
2021,28,2021-07-11,12-17,vaxxed,hosprate,0
2021,28,2021-07-11,12-17,unvaxxed,hosprate,0.7228097058887306
2021,28,2021-07-11,12-17,vaxxed,deathrate,0
2021,28,2021-07-11,12-17,unvaxxed,deathrate,0
2021,28,2021-07-11,18-49,vaxxed,caserate,16.562169152841086
2021,28,2021-07-11,18-49,unvaxxed,caserate,64.38152589057077
2021,28,2021-07-11,18-49,vaxxed,hosprate,0.15848965696498646
2021,28,2021-07-11,18-49,unvaxxed,hosprate,5.034344881668692
2021,28,2021-07-11,18-49,vaxxed,deathrate,0
2021,28,2021-07-11,18-49,unvaxxed,deathrate,0.29044297394242446
2021,28,2021-07-11,50-64,vaxxed,caserate,11.886180029911376
2021,28,2021-07-11,50-64,unvaxxed,caserate,58.263015900350155
2021,28,2021-07-11,50-64,vaxxed,hosprate,1.1755562666945316
2021,28,2021-07-11,50-64,unvaxxed,hosprate,8.8973078468515
2021,28,2021-07-11,50-64,vaxxed,deathrate,0
2021,28,2021-07-11,50-64,unvaxxed,deathrate,0.2870099305435968
2021,28,2021-07-11,65+,vaxxed,caserate,10.453348664911376
2021,28,2021-07-11,65+,unvaxxed,caserate,107.0744060047327
2021,28,2021-07-11,65+,vaxxed,hosprate,3.397338316096197
2021,28,2021-07-11,65+,unvaxxed,hosprate,46.04199458203506
2021,28,2021-07-11,65+,vaxxed,deathrate,0.2613337166227844
2021,28,2021-07-11,65+,unvaxxed,deathrate,12.848928720567924
2021,29,2021-07-18,12-17,vaxxed,caserate,9.18391712433187
2021,29,2021-07-18,12-17,unvaxxed,caserate,66.19700079510365
2021,29,2021-07-18,12-17,vaxxed,hosprate,0.6122611416221247
2021,29,2021-07-18,12-17,unvaxxed,hosprate,0.36981564690002033
2021,29,2021-07-18,12-17,vaxxed,deathrate,0
2021,29,2021-07-18,12-17,unvaxxed,deathrate,0
2021,29,2021-07-18,18-49,vaxxed,caserate,29.299667256325744
2021,29,2021-07-18,18-49,unvaxxed,caserate,114.80134864670448
2021,29,2021-07-18,18-49,vaxxed,hosprate,0.5498597072232714
2021,29,2021-07-18,18-49,unvaxxed,hosprate,7.242369820849217
2021,29,2021-07-18,18-49,vaxxed,deathrate,0
2021,29,2021-07-18,18-49,unvaxxed,deathrate,0.09786986244390834
2021,29,2021-07-18,50-64,vaxxed,caserate,21.966795044602993
2021,29,2021-07-18,50-64,unvaxxed,caserate,78.91560672175285
2021,29,2021-07-18,50-64,vaxxed,hosprate,1.299810357668816
2021,29,2021-07-18,50-64,unvaxxed,hosprate,16.247330795655
2021,29,2021-07-18,50-64,vaxxed,deathrate,0
2021,29,2021-07-18,50-64,unvaxxed,deathrate,0.8703927211958035
2021,29,2021-07-18,65+,vaxxed,caserate,18.914638886932202
2021,29,2021-07-18,65+,unvaxxed,caserate,141.1570535093815
2021,29,2021-07-18,65+,vaxxed,hosprate,3.913373562813559
2021,29,2021-07-18,65+,unvaxxed,hosprate,38.003822098679635
2021,29,2021-07-18,65+,vaxxed,deathrate,0.6522289271355932
2021,29,2021-07-18,65+,unvaxxed,deathrate,4.343293954134816
2021,30,2021-07-25,12-17,vaxxed,caserate,11.846656873430318
2021,30,2021-07-25,12-17,unvaxxed,caserate,116.64338832056171
2021,30,2021-07-25,12-17,vaxxed,hosprate,0
2021,30,2021-07-25,12-17,unvaxxed,hosprate,0.7549733871881016
2021,30,2021-07-25,12-17,vaxxed,deathrate,0
2021,30,2021-07-25,12-17,unvaxxed,deathrate,0
2021,30,2021-07-25,18-49,vaxxed,caserate,51.039093608035344
2021,30,2021-07-25,18-49,unvaxxed,caserate,189.72067856532016
2021,30,2021-07-25,18-49,vaxxed,hosprate,0.4675336819056673
2021,30,2021-07-25,18-49,unvaxxed,hosprate,9.688705836061166
2021,30,2021-07-25,18-49,vaxxed,deathrate,0
2021,30,2021-07-25,18-49,unvaxxed,deathrate,0.2965930357977908
2021,30,2021-07-25,50-64,vaxxed,caserate,39.728757408701505
2021,30,2021-07-25,50-64,unvaxxed,caserate,108.1239469635924
2021,30,2021-07-25,50-64,vaxxed,hosprate,1.5529155990371921
2021,30,2021-07-25,50-64,unvaxxed,hosprate,12.599809537762802
2021,30,2021-07-25,50-64,vaxxed,deathrate,0
2021,30,2021-07-25,50-64,unvaxxed,deathrate,1.1720753058384
2021,30,2021-07-25,65+,vaxxed,caserate,37.510207856044154
2021,30,2021-07-25,65+,unvaxxed,caserate,205.7047312088178
2021,30,2021-07-25,65+,vaxxed,hosprate,6.251701309340693
2021,30,2021-07-25,65+,unvaxxed,hosprate,57.2013156302595
2021,30,2021-07-25,65+,vaxxed,deathrate,1.693169104613104
2021,30,2021-07-25,65+,unvaxxed,deathrate,11.000253005819134
2021,31,2021-08-01,12-17,vaxxed,caserate,17.288375872342634
2021,31,2021-08-01,12-17,unvaxxed,caserate,169.09614268639967
2021,31,2021-08-01,12-17,vaxxed,hosprate,0
2021,31,2021-08-01,12-17,unvaxxed,hosprate,3.0744753215709033
2021,31,2021-08-01,12-17,vaxxed,deathrate,0
2021,31,2021-08-01,12-17,unvaxxed,deathrate,0
2021,31,2021-08-01,18-49,vaxxed,caserate,77.25029171844395
2021,31,2021-08-01,18-49,unvaxxed,caserate,257.9825841787987
2021,31,2021-08-01,18-49,vaxxed,hosprate,0.6186209547022539
2021,31,2021-08-01,18-49,unvaxxed,hosprate,11.980615364340498
2021,31,2021-08-01,18-49,vaxxed,deathrate,0
2021,31,2021-08-01,18-49,unvaxxed,deathrate,0.39935384547801656
2021,31,2021-08-01,50-64,vaxxed,caserate,55.53107549907105
2021,31,2021-08-01,50-64,unvaxxed,caserate,172.55004099173357
2021,31,2021-08-01,50-64,vaxxed,hosprate,2.19032084335083
2021,31,2021-08-01,50-64,unvaxxed,hosprate,24.565443228668762
2021,31,2021-08-01,50-64,vaxxed,deathrate,0.12884240255004883
2021,31,2021-08-01,50-64,unvaxxed,deathrate,2.3677535642090373
2021,31,2021-08-01,65+,vaxxed,caserate,58.9051445126542
2021,31,2021-08-01,65+,unvaxxed,caserate,298.8903139463559
2021,31,2021-08-01,65+,vaxxed,hosprate,7.411905600929999
