age,doses,filed_date,report_date
5-11,359294,2022-02-06,2022-02-08
50-64,2223944,2022-02-06,2022-02-08
65+,2277468,2022-02-06,2022-02-08
Unknown/missing,441,2022-02-06,2022-02-08
12-15,399228,2022-02-03,2022-02-05
16-17,219162,2022-02-03,2022-02-05
18-49,3793076,2022-02-03,2022-02-05
5-11,354418,2022-02-03,2022-02-05
50-64,2220170,2022-02-03,2022-02-05
65+,2275811,2022-02-03,2022-02-05
Unknown/missing,427,2022-02-03,2022-02-05
12-15,398052,2022-02-02,2022-02-04
16-17,218714,2022-02-02,2022-02-04
18-49,3787827,2022-02-02,2022-02-04
5-11,352225,2022-02-02,2022-02-04
50-64,2218088,2022-02-02,2022-02-04
65+,2274638,2022-02-02,2022-02-04
Unknown/missing,420,2022-02-02,2022-02-04
12-15,396731,2022-02-01,2022-02-03
16-17,218149,2022-02-01,2022-02-03
18-49,3781127,2022-02-01,2022-02-03
5-11,349895,2022-02-01,2022-02-03
50-64,2215641,2022-02-01,2022-02-03
65+,2273403,2022-02-01,2022-02-03
Unknown/missing,407,2022-02-01,2022-02-03
12-15,395582,2022-01-31,2022-02-02
16-17,217694,2022-01-31,2022-02-02
18-49,3775496,2022-01-31,2022-02-02
5-11,347980,2022-01-31,2022-02-02
50-64,2213571,2022-01-31,2022-02-02
65+,2274028,2022-01-31,2022-02-02
Unknown/missing,402,2022-01-31,2022-02-02
12-15,394498,2022-01-30,2022-02-01
16-17,217276,2022-01-30,2022-02-01
18-49,3770780,2022-01-30,2022-02-01
5-11,345786,2022-01-30,2022-02-01
50-64,2211570,2022-01-30,2022-02-01
65+,2272938,2022-01-30,2022-02-01
Unknown/missing,397,2022-01-30,2022-02-01
12-15,389981,2022-01-26,2022-01-28
16-17,215544,2022-01-26,2022-01-28
18-49,3751966,2022-01-26,2022-01-28
5-11,339315,2022-01-26,2022-01-28
50-64,2204426,2022-01-26,2022-01-28
65+,2269555,2022-01-26,2022-01-28
Unknown/missing,384,2022-01-26,2022-01-28
12-15,388524,2022-01-25,2022-01-27
16-17,214916,2022-01-25,2022-01-27
18-49,3744226,2022-01-25,2022-01-27
5-11,337238,2022-01-25,2022-01-27
50-64,2201450,2022-01-25,2022-01-27
65+,2268172,2022-01-25,2022-01-27
Unknown/missing,375,2022-01-25,2022-01-27
12-15,387145,2022-01-24,2022-01-26
16-17,214403,2022-01-24,2022-01-26
18-49,3737821,2022-01-24,2022-01-26
5-11,335243,2022-01-24,2022-01-26
50-64,2198983,2022-01-24,2022-01-26
65+,2268609,2022-01-24,2022-01-26
Unknown/missing,374,2022-01-24,2022-01-26
12-15,385693,2022-01-23,2022-01-25
16-17,213842,2022-01-23,2022-01-25
18-49,3732481,2022-01-23,2022-01-25
5-11,333320,2022-01-23,2022-01-25
50-64,2196794,2022-01-23,2022-01-25
65+,2267439,2022-01-23,2022-01-25
Unknown/missing,370,2022-01-23,2022-01-25
12-15,381943,2022-01-20,2022-01-24
16-17,212721,2022-01-20,2022-01-24
18-49,3720335,2022-01-20,2022-01-24
5-11,329741,2022-01-20,2022-01-24
50-64,2192041,2022-01-20,2022-01-24
65+,2265497,2022-01-20,2022-01-24
Unknown/missing,367,2022-01-20,2022-01-24
12-15,379399,2022-01-19,2022-01-21
16-17,211816,2022-01-19,2022-01-21
18-49,3711114,2022-01-19,2022-01-21
5-11,327019,2022-01-19,2022-01-21
50-64,2188287,2022-01-19,2022-01-21
65+,2263653,2022-01-19,2022-01-21
Unknown/missing,358,2022-01-19,2022-01-21
12-15,377428,2022-01-18,2022-01-20
16-17,211180,2022-01-18,2022-01-20
18-49,3703234,2022-01-18,2022-01-20
5-11,324573,2022-01-18,2022-01-20
50-64,2185381,2022-01-18,2022-01-20
65+,2263862,2022-01-18,2022-01-20
Unknown/missing,351,2022-01-18,2022-01-20
12-15,375375,2022-01-17,2022-01-19
16-17,210506,2022-01-17,2022-01-19
18-49,3695391,2022-01-17,2022-01-19
5-11,322258,2022-01-17,2022-01-19
50-64,2182287,2022-01-17,2022-01-19
65+,2262214,2022-01-17,2022-01-19
Unknown/missing,344,2022-01-17,2022-01-19
12-15,366540,2022-01-13,2022-01-18
16-17,207841,2022-01-13,2022-01-18
18-49,3669075,2022-01-13,2022-01-18
5-11,314987,2022-01-13,2022-01-18
50-64,2172185,2022-01-13,2022-01-18
65+,2258260,2022-01-13,2022-01-18
Unknown/missing,334,2022-01-13,2022-01-18
12-15,364352,2022-01-12,2022-01-14
16-17,206984,2022-01-12,2022-01-14
18-49,3659297,2022-01-12,2022-01-14
5-11,312032,2022-01-12,2022-01-14
50-64,2168023,2022-01-12,2022-01-14
65+,2256146,2022-01-12,2022-01-14
Unknown/missing,326,2022-01-12,2022-01-14
12-15,361996,2022-01-11,2022-01-13
16-17,206114,2022-01-11,2022-01-13
18-49,3649636,2022-01-11,2022-01-13
5-11,309386,2022-01-11,2022-01-13
50-64,2163643,2022-01-11,2022-01-13
65+,2253916,2022-01-11,2022-01-13
Unknown/missing,321,2022-01-11,2022-01-13
12-15,360300,2022-01-10,2022-01-12
16-17,205419,2022-01-10,2022-01-12
18-49,3640335,2022-01-10,2022-01-12
5-11,306444,2022-01-10,2022-01-12
50-64,2159822,2022-01-10,2022-01-12
65+,2253636,2022-01-10,2022-01-12
Unknown/missing,317,2022-01-10,2022-01-12
12-15,358734,2022-01-09,2022-01-11
16-17,204793,2022-01-09,2022-01-11
18-49,3632812,2022-01-09,2022-01-11
5-11,304013,2022-01-09,2022-01-11
50-64,2156413,2022-01-09,2022-01-11
65+,2251974,2022-01-09,2022-01-11
Unknown/missing,312,2022-01-09,2022-01-11
12-15,353388,2022-01-06,2022-01-10
16-17,202754,2022-01-06,2022-01-10
18-49,3605525,2022-01-06,2022-01-10
5-11,295846,2022-01-06,2022-01-10
50-64,2144957,2022-01-06,2022-01-10
65+,2247134,2022-01-06,2022-01-10
Unknown/missing,299,2022-01-06,2022-01-10
12-15,351994,2022-01-05,2022-01-07
16-17,201907,2022-01-05,2022-01-07
18-49,3594257,2022-01-05,2022-01-07
5-11,292043,2022-01-05,2022-01-07
50-64,2139835,2022-01-05,2022-01-07
65+,2244696,2022-01-05,2022-01-07
Unknown/missing,293,2022-01-05,2022-01-07
12-15,351426,2022-01-04,2022-01-06
16-17,201018,2022-01-04,2022-01-06
18-49,3581783,2022-01-04,2022-01-06
5-11,289134,2022-01-04,2022-01-06
50-64,2134484,2022-01-04,2022-01-06
65+,2243897,2022-01-04,2022-01-06
Unknown/missing,282,2022-01-04,2022-01-06
12-15,351116,2022-01-03,2022-01-05
16-17,200456,2022-01-03,2022-01-05
18-49,3572910,2022-01-03,2022-01-05
5-11,286842,2022-01-03,2022-01-05
50-64,2130246,2022-01-03,2022-01-05
65+,2241541,2022-01-03,2022-01-05
Unknown/missing,276,2022-01-03,2022-01-05
12-15,350725,2022-01-02,2022-01-04
16-17,199723,2022-01-02,2022-01-04
18-49,3564721,2022-01-02,2022-01-04
5-11,283793,2022-01-02,2022-01-04
50-64,2126387,2022-01-02,2022-01-04
65+,2239477,2022-01-02,2022-01-04
Unknown/missing,273,2022-01-02,2022-01-04
12-15,349699,2021-12-29,2022-01-03
16-17,196845,2021-12-29,2022-01-03
18-49,3538867,2021-12-29,2022-01-03
5-11,277594,2021-12-29,2022-01-03
50-64,2114337,2021-12-29,2022-01-03
65+,2234241,2021-12-29,2022-01-03
Unknown/missing,262,2021-12-29,2022-01-03
12-15,349173,2021-12-28,2021-12-30
16-17,195563,2021-12-28,2021-12-30
18-49,3526896,2021-12-28,2021-12-30
5-11,273755,2021-12-28,2021-12-30
50-64,2108538,2021-12-28,2021-12-30
65+,2231463,2021-12-28,2021-12-30
Unknown/missing,258,2021-12-28,2021-12-30
12-15,348752,2021-12-27,2021-12-29
16-17,194437,2021-12-27,2021-12-29
18-49,3515418,2021-12-27,2021-12-29
5-11,270427,2021-12-27,2021-12-29
50-64,2103119,2021-12-27,2021-12-29
65+,2230302,2021-12-27,2021-12-29
Unknown/missing,252,2021-12-27,2021-12-29
12-15,348388,2021-12-26,2021-12-28
16-17,193402,2021-12-26,2021-12-28
18-49,3504440,2021-12-26,2021-12-28
5-11,267377,2021-12-26,2021-12-28
50-64,2097921,2021-12-26,2021-12-28
65+,2227959,2021-12-26,2021-12-28
Unknown/missing,249,2021-12-26,2021-12-28
12-15,347665,2021-12-22,2021-12-27
16-17,190961,2021-12-22,2021-12-27
18-49,3484491,2021-12-22,2021-12-27
5-11,263166,2021-12-22,2021-12-27
50-64,2087971,2021-12-22,2021-12-27
65+,2222795,2021-12-22,2021-12-27
Unknown/missing,243,2021-12-22,2021-12-27
12-15,347271,2021-12-21,2021-12-23
16-17,189748,2021-12-21,2021-12-23
18-49,3469073,2021-12-21,2021-12-23
5-11,259095,2021-12-21,2021-12-23
50-64,2080378,2021-12-21,2021-12-23
65+,2218905,2021-12-21,2021-12-23
Unknown/missing,234,2021-12-21,2021-12-23
12-15,346400,2021-12-19,2021-12-21
16-17,187652,2021-12-19,2021-12-21
18-49,3441257,2021-12-19,2021-12-21
5-11,251633,2021-12-19,2021-12-21
50-64,2065744,2021-12-19,2021-12-21
65+,2212757,2021-12-19,2021-12-21
Unknown/missing,225,2021-12-19,2021-12-21
12-15,345654,2021-12-16,2021-12-20
16-17,185693,2021-12-16,2021-12-20
18-49,3410189,2021-12-16,2021-12-20
5-11,243311,2021-12-16,2021-12-20
50-64,2049216,2021-12-16,2021-12-20
65+,2205583,2021-12-16,2021-12-20
Unknown/missing,213,2021-12-16,2021-12-20
12-15,345259,2021-12-15,2021-12-17
16-17,184980,2021-12-15,2021-12-17
18-49,3396205,2021-12-15,2021-12-17
5-11,238929,2021-12-15,2021-12-17
50-64,2040527,2021-12-15,2021-12-17
65+,2200962,2021-12-15,2021-12-17
Unknown/missing,207,2021-12-15,2021-12-17
12-15,344827,2021-12-14,2021-12-16
16-17,184246,2021-12-14,2021-12-16
18-49,3380292,2021-12-14,2021-12-16
5-11,233274,2021-12-14,2021-12-16
50-64,2031214,2021-12-14,2021-12-16
65+,2195426,2021-12-14,2021-12-16
Unknown/missing,203,2021-12-14,2021-12-16
12-15,344394,2021-12-13,2021-12-15
16-17,183580,2021-12-13,2021-12-15
18-49,3366751,2021-12-13,2021-12-15
5-11,227645,2021-12-13,2021-12-15
50-64,2023052,2021-12-13,2021-12-15
65+,2191887,2021-12-13,2021-12-15
Unknown/missing,195,2021-12-13,2021-12-15
12-15,343987,2021-12-12,2021-12-14
16-17,183025,2021-12-12,2021-12-14
18-49,3353588,2021-12-12,2021-12-14
5-11,220586,2021-12-12,2021-12-14
50-64,2015113,2021-12-12,2021-12-14
65+,2187119,2021-12-12,2021-12-14
Unknown/missing,193,2021-12-12,2021-12-14
12-15,343045,2021-12-09,2021-12-13
16-17,181863,2021-12-09,2021-12-13
18-49,3319551,2021-12-09,2021-12-13
5-11,203620,2021-12-09,2021-12-13
50-64,1994651,2021-12-09,2021-12-13
65+,2178156,2021-12-09,2021-12-13
Unknown/missing,183,2021-12-09,2021-12-13
12-15,342674,2021-12-08,2021-12-10
16-17,181725,2021-12-08,2021-12-10
18-49,3310093,2021-12-08,2021-12-10
5-11,197241,2021-12-08,2021-12-10
50-64,1988298,2021-12-08,2021-12-10
65+,2173992,2021-12-08,2021-12-10
Unknown/missing,173,2021-12-08,2021-12-10
12-15,342157,2021-12-07,2021-12-09
16-17,181565,2021-12-07,2021-12-09
18-49,3292795,2021-12-07,2021-12-09
5-11,187377,2021-12-07,2021-12-09
50-64,1976417,2021-12-07,2021-12-09
65+,2166610,2021-12-07,2021-12-09
Unknown/missing,175,2021-12-07,2021-12-09
12-15,341786,2021-12-06,2021-12-08
16-17,181432,2021-12-06,2021-12-08
18-49,3279679,2021-12-06,2021-12-08
5-11,180718,2021-12-06,2021-12-08
50-64,1967188,2021-12-06,2021-12-08
65+,2162123,2021-12-06,2021-12-08
Unknown/missing,170,2021-12-06,2021-12-08
12-15,341371,2021-12-05,2021-12-07
16-17,181318,2021-12-05,2021-12-07
18-49,3268334,2021-12-05,2021-12-07
5-11,172992,2021-12-05,2021-12-07
50-64,1959412,2021-12-05,2021-12-07
65+,2157163,2021-12-05,2021-12-07
Unknown/missing,170,2021-12-05,2021-12-07
12-15,340531,2021-12-02,2021-12-06
16-17,181022,2021-12-02,2021-12-06
18-49,3236261,2021-12-02,2021-12-06
5-11,154573,2021-12-02,2021-12-06
50-64,1938123,2021-12-02,2021-12-06
65+,2145927,2021-12-02,2021-12-06
Unknown/missing,148,2021-12-02,2021-12-06
12-15,339909,2021-12-01,2021-12-03
16-17,180821,2021-12-01,2021-12-03
18-49,3215536,2021-12-01,2021-12-03
5-11,144430,2021-12-01,2021-12-03
50-64,1922417,2021-12-01,2021-12-03
65+,2135353,2021-12-01,2021-12-03
Unknown/missing,139,2021-12-01,2021-12-03
12-15,339359,2021-11-30,2021-12-02
16-17,180638,2021-11-30,2021-12-02
18-49,3199635,2021-11-30,2021-12-02
5-11,136465,2021-11-30,2021-12-02
50-64,1910851,2021-11-30,2021-12-02
65+,2127473,2021-11-30,2021-12-02
Unknown/missing,140,2021-11-30,2021-12-02
12-15,338715,2021-11-29,2021-12-01
16-17,180451,2021-11-29,2021-12-01
18-49,3186615,2021-11-29,2021-12-01
5-11,128556,2021-11-29,2021-12-01
50-64,1901222,2021-11-29,2021-12-01
65+,2121457,2021-11-29,2021-12-01
Unknown/missing,128,2021-11-29,2021-12-01
12-15,338172,2021-11-28,2021-11-30
16-17,180290,2021-11-28,2021-11-30
18-49,3176649,2021-11-28,2021-11-30
5-11,121735,2021-11-28,2021-11-30
50-64,1892870,2021-11-28,2021-11-30
65+,2115166,2021-11-28,2021-11-30
Unknown/missing,126,2021-11-28,2021-11-30
12-15,336633,2021-11-23,2021-11-26
16-17,179788,2021-11-23,2021-11-26
18-49,3139948,2021-11-23,2021-11-26
5-11,106906,2021-11-23,2021-11-26
50-64,1867290,2021-11-23,2021-11-26
65+,2098171,2021-11-23,2021-11-26
Unknown/missing,125,2021-11-23,2021-11-26
12-15,336136,2021-11-22,2021-11-24
16-17,179637,2021-11-22,2021-11-24
18-49,3126299,2021-11-22,2021-11-24
5-11,102413,2021-11-22,2021-11-24
50-64,1856394,2021-11-22,2021-11-24
65+,2090189,2021-11-22,2021-11-24
Unknown/missing,129,2021-11-22,2021-11-24
12-15,335687,2021-11-21,2021-11-23
16-17,179488,2021-11-21,2021-11-23
18-49,3113789,2021-11-21,2021-11-23
5-11,96213,2021-11-21,2021-11-23
50-64,1846438,2021-11-21,2021-11-23
65+,2081506,2021-11-21,2021-11-23
Unknown/missing,129,2021-11-21,2021-11-23
12-15,334606,2021-11-18,2021-11-22
16-17,179118,2021-11-18,2021-11-22
18-49,3080269,2021-11-18,2021-11-22
5-11,80046,2021-11-18,2021-11-22
50-64,1820970,2021-11-18,2021-11-22
65+,2062036,2021-11-18,2021-11-22
Unknown/missing,96,2021-11-18,2021-11-22
12-15,334102,2021-11-17,2021-11-19
16-17,178932,2021-11-17,2021-11-19
18-49,3067553,2021-11-17,2021-11-19
5-11,72731,2021-11-17,2021-11-19
50-64,1810147,2021-11-17,2021-11-19
65+,2049128,2021-11-17,2021-11-19
Unknown/missing,89,2021-11-17,2021-11-19
12-15,333651,2021-11-16,2021-11-18
16-17,178804,2021-11-16,2021-11-18
18-49,3056284,2021-11-16,2021-11-18
5-11,63577,2021-11-16,2021-11-18
50-64,1800127,2021-11-16,2021-11-18
65+,2036310,2021-11-16,2021-11-18
Unknown/missing,76,2021-11-16,2021-11-18
12-15,333173,2021-11-15,2021-11-17
16-17,178611,2021-11-15,2021-11-17
18-49,3046032,2021-11-15,2021-11-17
5-11,56105,2021-11-15,2021-11-17
50-64,1790828,2021-11-15,2021-11-17
65+,2025429,2021-11-15,2021-11-17
Unknown/missing,68,2021-11-15,2021-11-17
12-15,332773,2021-11-14,2021-11-16
16-17,178465,2021-11-14,2021-11-16
18-49,3037991,2021-11-14,2021-11-16
5-11,44407,2021-11-14,2021-11-16
50-64,1783514,2021-11-14,2021-11-16
65+,2016790,2021-11-14,2021-11-16
Unknown/missing,63,2021-11-14,2021-11-16
12-15,331681,2021-11-11,2021-11-15
16-17,178094,2021-11-11,2021-11-15
18-49,3011208,2021-11-11,2021-11-15
5-11,30722,2021-11-11,2021-11-15
50-64,1762984,2021-11-11,2021-11-15
65+,1991948,2021-11-11,2021-11-15
Unknown/missing,46,2021-11-11,2021-11-15
12-15,331185,2021-11-10,2021-11-12
16-17,177933,2021-11-10,2021-11-12
18-49,3002005,2021-11-10,2021-11-12
5-11,25423,2021-11-10,2021-11-12
50-64,1754981,2021-11-10,2021-11-12
65+,1980056,2021-11-10,2021-11-12
Unknown/missing,36,2021-11-10,2021-11-12
12-15,330627,2021-11-09,2021-11-11
16-17,177722,2021-11-09,2021-11-11
18-49,2992295,2021-11-09,2021-11-11
5-11,18665,2021-11-09,2021-11-11
50-64,1746636,2021-11-09,2021-11-11
65+,1966907,2021-11-09,2021-11-11
Unknown/missing,31,2021-11-09,2021-11-11
12-15,329973,2021-11-08,2021-11-10
16-17,177512,2021-11-08,2021-11-10
18-49,2981030,2021-11-08,2021-11-10
5-11,14089,2021-11-08,2021-11-10
50-64,1738133,2021-11-08,2021-11-10
65+,1954743,2021-11-08,2021-11-10
Unknown/missing,23,2021-11-08,2021-11-10
12-15,329561,2021-11-07,2021-11-09
16-17,177367,2021-11-07,2021-11-09
18-49,2974531,2021-11-07,2021-11-09
5-11,9592,2021-11-07,2021-11-09
50-64,1732616,2021-11-07,2021-11-09
65+,1945908,2021-11-07,2021-11-09
Unknown/missing,20,2021-11-07,2021-11-09
12-15,328336,2021-11-04,2021-11-08
16-17,176947,2021-11-04,2021-11-08
18-49,2950353,2021-11-04,2021-11-08
5-11,3071,2021-11-04,2021-11-08
50-64,1715643,2021-11-04,2021-11-08
65+,1921204,2021-11-04,2021-11-08
Unknown/missing,16,2021-11-04,2021-11-08
12-15,327946,2021-11-03,2021-11-05
16-17,176863,2021-11-03,2021-11-05
18-49,2946660,2021-11-03,2021-11-05
5-11,518,2021-11-03,2021-11-05
50-64,1712315,2021-11-03,2021-11-05
65+,1913335,2021-11-03,2021-11-05
Unknown/missing,15,2021-11-03,2021-11-05
12-15,327517,2021-11-02,2021-11-04
16-17,176738,2021-11-02,2021-11-04
18-49,2938447,2021-11-02,2021-11-04
50-64,1705227,2021-11-02,2021-11-04
65+,1899964,2021-11-02,2021-11-04
Unknown/missing,411,2021-11-02,2021-11-04
12-15,327123,2021-11-01,2021-11-03
16-17,176590,2021-11-01,2021-11-03
18-49,2932176,2021-11-01,2021-11-03
50-64,1699464,2021-11-01,2021-11-03
65+,1886578,2021-11-01,2021-11-03
Unknown/missing,407,2021-11-01,2021-11-03
12-15,326789,2021-10-31,2021-11-02
16-17,176497,2021-10-31,2021-11-02
18-49,2927595,2021-10-31,2021-11-02
50-64,1694853,2021-10-31,2021-11-02
65+,1876366,2021-10-31,2021-11-02
Unknown/missing,405,2021-10-31,2021-11-02
12-15,325717,2021-10-28,2021-11-01
16-17,176143,2021-10-28,2021-11-01
18-49,2909869,2021-10-28,2021-11-01
50-64,1679690,2021-10-28,2021-11-01
65+,1847639,2021-10-28,2021-11-01
Unknown/missing,405,2021-10-28,2021-11-01
12-15,325216,2021-10-27,2021-10-29
16-17,175989,2021-10-27,2021-10-29
18-49,2901295,2021-10-27,2021-10-29
50-64,1672443,2021-10-27,2021-10-29
65+,1830766,2021-10-27,2021-10-29
Unknown/missing,405,2021-10-27,2021-10-29
12-15,324777,2021-10-26,2021-10-28
16-17,175903,2021-10-26,2021-10-28
18-49,2896364,2021-10-26,2021-10-28
50-64,1667600,2021-10-26,2021-10-28
65+,1816457,2021-10-26,2021-10-28
Unknown/missing,402,2021-10-26,2021-10-28
12-15,323903,2021-10-25,2021-10-27
16-17,175658,2021-10-25,2021-10-27
18-49,2889187,2021-10-25,2021-10-27
50-64,1661405,2021-10-25,2021-10-27
65+,1800956,2021-10-25,2021-10-27
Unknown/missing,402,2021-10-25,2021-10-27
12-15,323491,2021-10-24,2021-10-26
16-17,175505,2021-10-24,2021-10-26
18-49,2882731,2021-10-24,2021-10-26
50-64,1656237,2021-10-24,2021-10-26
65+,1789604,2021-10-24,2021-10-26
Unknown/missing,407,2021-10-24,2021-10-26
12-15,322246,2021-10-21,2021-10-25
16-17,175106,2021-10-21,2021-10-25
18-49,2871752,2021-10-21,2021-10-25
50-64,1647970,2021-10-21,2021-10-25
65+,1770784,2021-10-21,2021-10-25
Unknown/missing,403,2021-10-21,2021-10-25
12-15,321450,2021-10-20,2021-10-22
16-17,174850,2021-10-20,2021-10-22
18-49,2866465,2021-10-20,2021-10-22
50-64,1644574,2021-10-20,2021-10-22
65+,1763141,2021-10-20,2021-10-22
Unknown/missing,403,2021-10-20,2021-10-22
12-15,320941,2021-10-19,2021-10-21
16-17,174703,2021-10-19,2021-10-21
18-49,2861614,2021-10-19,2021-10-21
50-64,1641322,2021-10-19,2021-10-21
65+,1756022,2021-10-19,2021-10-21
Unknown/missing,400,2021-10-19,2021-10-21
12-15,320558,2021-10-18,2021-10-20
16-17,174584,2021-10-18,2021-10-20
18-49,2857410,2021-10-18,2021-10-20
50-64,1638785,2021-10-18,2021-10-20
65+,1750200,2021-10-18,2021-10-20
Unknown/missing,400,2021-10-18,2021-10-20
12-15,320152,2021-10-17,2021-10-19
16-17,174459,2021-10-17,2021-10-19
18-49,2853108,2021-10-17,2021-10-19
50-64,1636150,2021-10-17,2021-10-19
65+,1744026,2021-10-17,2021-10-19
Unknown/missing,401,2021-10-17,2021-10-19
12-15,318964,2021-10-14,2021-10-18
16-17,174070,2021-10-14,2021-10-18
18-49,2841133,2021-10-14,2021-10-18
50-64,1629198,2021-10-14,2021-10-18
65+,1731272,2021-10-14,2021-10-18
Unknown/missing,397,2021-10-14,2021-10-18
12-15,318445,2021-10-13,2021-10-15
16-17,173886,2021-10-13,2021-10-15
18-49,2836158,2021-10-13,2021-10-15
50-64,1626251,2021-10-13,2021-10-15
65+,1723064,2021-10-13,2021-10-15
Unknown/missing,394,2021-10-13,2021-10-15
12-15,317867,2021-10-12,2021-10-14
16-17,173702,2021-10-12,2021-10-14
18-49,2831261,2021-10-12,2021-10-14
50-64,1623309,2021-10-12,2021-10-14
65+,1714127,2021-10-12,2021-10-14
Unknown/missing,393,2021-10-12,2021-10-14
12-15,317460,2021-10-11,2021-10-13
16-17,173547,2021-10-11,2021-10-13
18-49,2826828,2021-10-11,2021-10-13
50-64,1620597,2021-10-11,2021-10-13
65+,1705256,2021-10-11,2021-10-13
Unknown/missing,397,2021-10-11,2021-10-13
12-15,317106,2021-10-10,2021-10-12
16-17,173432,2021-10-10,2021-10-12
18-49,2822455,2021-10-10,2021-10-12
50-64,1618193,2021-10-10,2021-10-12
65+,1699291,2021-10-10,2021-10-12
Unknown/missing,392,2021-10-10,2021-10-12
12-15,315984,2021-10-07,2021-10-11
16-17,173070,2021-10-07,2021-10-11
18-49,2812247,2021-10-07,2021-10-11
50-64,1613013,2021-10-07,2021-10-11
65+,1684853,2021-10-07,2021-10-11
Unknown/missing,387,2021-10-07,2021-10-11
12-15,315291,2021-10-06,2021-10-08
16-17,172835,2021-10-06,2021-10-08
18-49,2804641,2021-10-06,2021-10-08
50-64,1609061,2021-10-06,2021-10-08
65+,1667701,2021-10-06,2021-10-08
Unknown/missing,385,2021-10-06,2021-10-08
12-15,314272,2021-10-05,2021-10-07
16-17,172511,2021-10-05,2021-10-07
18-49,2793734,2021-10-05,2021-10-07
50-64,1604199,2021-10-05,2021-10-07
65+,1648797,2021-10-05,2021-10-07
Unknown/missing,383,2021-10-05,2021-10-07
12-15,313812,2021-10-04,2021-10-06
16-17,172384,2021-10-04,2021-10-06
18-49,2789803,2021-10-04,2021-10-06
50-64,1602082,2021-10-04,2021-10-06
65+,1640908,2021-10-04,2021-10-06
Unknown/missing,387,2021-10-04,2021-10-06
12-15,313418,2021-10-03,2021-10-05
16-17,172250,2021-10-03,2021-10-05
18-49,2785417,2021-10-03,2021-10-05
50-64,1599744,2021-10-03,2021-10-05
65+,1633402,2021-10-03,2021-10-05
Unknown/missing,387,2021-10-03,2021-10-05
12-15,312356,2021-09-30,2021-10-04
16-17,171898,2021-09-30,2021-10-04
18-49,2776039,2021-09-30,2021-10-04
50-64,1595624,2021-09-30,2021-10-04
65+,1616813,2021-09-30,2021-10-04
Unknown/missing,380,2021-09-30,2021-10-04
12-15,311864,2021-09-29,2021-10-01
16-17,171736,2021-09-29,2021-10-01
18-49,2772021,2021-09-29,2021-10-01
50-64,1593542,2021-09-29,2021-10-01
65+,1608500,2021-09-29,2021-10-01
Unknown/missing,381,2021-09-29,2021-10-01
12-15,311338,2021-09-28,2021-09-30
16-17,171531,2021-09-28,2021-09-30
18-49,2767751,2021-09-28,2021-09-30
50-64,1591724,2021-09-28,2021-09-30
65+,1599505,2021-09-28,2021-09-30
Unknown/missing,383,2021-09-28,2021-09-30
12-15,310769,2021-09-27,2021-09-29
16-17,171365,2021-09-27,2021-09-29
18-49,2763644,2021-09-27,2021-09-29
50-64,1589927,2021-09-27,2021-09-29
65+,1591814,2021-09-27,2021-09-29
Unknown/missing,376,2021-09-27,2021-09-29
12-15,310144,2021-09-26,2021-09-28
16-17,171159,2021-09-26,2021-09-28
18-49,2759348,2021-09-26,2021-09-28
50-64,1588023,2021-09-26,2021-09-28
65+,1584137,2021-09-26,2021-09-28
Unknown/missing,375,2021-09-26,2021-09-28
12-15,308129,2021-09-23,2021-09-27
16-17,170509,2021-09-23,2021-09-27
18-49,2749309,2021-09-23,2021-09-27
50-64,1584491,2021-09-23,2021-09-27
65+,1574393,2021-09-23,2021-09-27
Unknown/missing,369,2021-09-23,2021-09-27
12-15,307181,2021-09-22,2021-09-24
16-17,170216,2021-09-22,2021-09-24
18-49,2745511,2021-09-22,2021-09-24
50-64,1583177,2021-09-22,2021-09-24
65+,1572572,2021-09-22,2021-09-24
Unknown/missing,368,2021-09-22,2021-09-24
12-15,306387,2021-09-21,2021-09-23
16-17,169961,2021-09-21,2021-09-23
18-49,2742504,2021-09-21,2021-09-23
50-64,1582079,2021-09-21,2021-09-23
65+,1571060,2021-09-21,2021-09-23
Unknown/missing,367,2021-09-21,2021-09-23
12-15,305591,2021-09-20,2021-09-22
16-17,169668,2021-09-20,2021-09-22
18-49,2738309,2021-09-20,2021-09-22
50-64,1580625,2021-09-20,2021-09-22
65+,1569224,2021-09-20,2021-09-22
Unknown/missing,364,2021-09-20,2021-09-22
12-15,304892,2021-09-19,2021-09-21
16-17,169433,2021-09-19,2021-09-21
18-49,2735365,2021-09-19,2021-09-21
50-64,1579490,2021-09-19,2021-09-21
65+,1567890,2021-09-19,2021-09-21
Unknown/missing,358,2021-09-19,2021-09-21
12-15,302807,2021-09-16,2021-09-20
16-17,168737,2021-09-16,2021-09-20
18-49,2726014,2021-09-16,2021-09-20
50-64,1576626,2021-09-16,2021-09-20
65+,1565863,2021-09-16,2021-09-20
Unknown/missing,352,2021-09-16,2021-09-20
12-15,301641,2021-09-15,2021-09-17
16-17,168272,2021-09-15,2021-09-17
18-49,2720526,2021-09-15,2021-09-17
50-64,1574744,2021-09-15,2021-09-17
65+,1563992,2021-09-15,2021-09-17
Unknown/missing,352,2021-09-15,2021-09-17
12-15,300564,2021-09-14,2021-09-16
16-17,167926,2021-09-14,2021-09-16
18-49,2715900,2021-09-14,2021-09-16
50-64,1573137,2021-09-14,2021-09-16
65+,1562324,2021-09-14,2021-09-16
Unknown/missing,352,2021-09-14,2021-09-16
12-15,299653,2021-09-13,2021-09-15
16-17,167636,2021-09-13,2021-09-15
