age,doses,filed_date,report_date
18-49,3962099,2022-05-19,2022-05-23
5-11,409053,2022-05-19,2022-05-23
50-64,2376179,2022-05-19,2022-05-23
65+,2558906,2022-05-19,2022-05-23
Unknown/missing,692,2022-05-19,2022-05-23
12-15,430987,2022-05-18,2022-05-20
16-17,233011,2022-05-18,2022-05-20
18-49,3960515,2022-05-18,2022-05-20
5-11,408803,2022-05-18,2022-05-20
50-64,2373089,2022-05-18,2022-05-20
65+,2552215,2022-05-18,2022-05-20
Unknown/missing,685,2022-05-18,2022-05-20
12-15,430794,2022-05-17,2022-05-19
16-17,232902,2022-05-17,2022-05-19
18-49,3959182,2022-05-17,2022-05-19
5-11,408586,2022-05-17,2022-05-19
50-64,2370204,2022-05-17,2022-05-19
65+,2546309,2022-05-17,2022-05-19
Unknown/missing,679,2022-05-17,2022-05-19
12-15,430654,2022-05-16,2022-05-18
16-17,232822,2022-05-16,2022-05-18
18-49,3958013,2022-05-16,2022-05-18
5-11,408431,2022-05-16,2022-05-18
50-64,2367600,2022-05-16,2022-05-18
65+,2540750,2022-05-16,2022-05-18
Unknown/missing,675,2022-05-16,2022-05-18
12-15,430505,2022-05-15,2022-05-17
16-17,232741,2022-05-15,2022-05-17
18-49,3957036,2022-05-15,2022-05-17
5-11,408224,2022-05-15,2022-05-17
50-64,2365397,2022-05-15,2022-05-17
65+,2536576,2022-05-15,2022-05-17
Unknown/missing,671,2022-05-15,2022-05-17
12-15,430203,2022-05-12,2022-05-16
16-17,232602,2022-05-12,2022-05-16
18-49,3955208,2022-05-12,2022-05-16
5-11,407858,2022-05-12,2022-05-16
50-64,2360873,2022-05-12,2022-05-16
65+,2530416,2022-05-12,2022-05-16
Unknown/missing,664,2022-05-12,2022-05-16
12-15,430040,2022-05-11,2022-05-13
16-17,232505,2022-05-11,2022-05-13
18-49,3954005,2022-05-11,2022-05-13
5-11,407660,2022-05-11,2022-05-13
50-64,2358126,2022-05-11,2022-05-13
65+,2523808,2022-05-11,2022-05-13
Unknown/missing,663,2022-05-11,2022-05-13
12-15,429852,2022-05-10,2022-05-12
16-17,232415,2022-05-10,2022-05-12
18-49,3952662,2022-05-10,2022-05-12
5-11,407472,2022-05-10,2022-05-12
50-64,2355231,2022-05-10,2022-05-12
65+,2517415,2022-05-10,2022-05-12
Unknown/missing,661,2022-05-10,2022-05-12
12-15,429676,2022-05-09,2022-05-11
16-17,232351,2022-05-09,2022-05-11
18-49,3951442,2022-05-09,2022-05-11
5-11,407250,2022-05-09,2022-05-11
50-64,2352347,2022-05-09,2022-05-11
65+,2510763,2022-05-09,2022-05-11
Unknown/missing,659,2022-05-09,2022-05-11
12-15,429506,2022-05-08,2022-05-10
16-17,232278,2022-05-08,2022-05-10
18-49,3950494,2022-05-08,2022-05-10
5-11,407070,2022-05-08,2022-05-10
50-64,2350104,2022-05-08,2022-05-10
65+,2506121,2022-05-08,2022-05-10
Unknown/missing,657,2022-05-08,2022-05-10
12-15,429163,2022-05-05,2022-05-09
16-17,232146,2022-05-05,2022-05-09
18-49,3948578,2022-05-05,2022-05-09
5-11,406678,2022-05-05,2022-05-09
50-64,2345295,2022-05-05,2022-05-09
65+,2498808,2022-05-05,2022-05-09
Unknown/missing,654,2022-05-05,2022-05-09
12-15,429020,2022-05-04,2022-05-06
16-17,232084,2022-05-04,2022-05-06
18-49,3947292,2022-05-04,2022-05-06
5-11,406457,2022-05-04,2022-05-06
50-64,2342399,2022-05-04,2022-05-06
65+,2491819,2022-05-04,2022-05-06
Unknown/missing,648,2022-05-04,2022-05-06
12-15,428820,2022-05-03,2022-05-05
16-17,232007,2022-05-03,2022-05-05
18-49,3945951,2022-05-03,2022-05-05
5-11,406235,2022-05-03,2022-05-05
50-64,2339415,2022-05-03,2022-05-05
65+,2485303,2022-05-03,2022-05-05
Unknown/missing,647,2022-05-03,2022-05-05
12-15,428668,2022-05-02,2022-05-04
16-17,231932,2022-05-02,2022-05-04
18-49,3944894,2022-05-02,2022-05-04
5-11,406065,2022-05-02,2022-05-04
50-64,2336878,2022-05-02,2022-05-04
65+,2478684,2022-05-02,2022-05-04
Unknown/missing,646,2022-05-02,2022-05-04
12-15,428498,2022-05-01,2022-05-03
16-17,231870,2022-05-01,2022-05-03
18-49,3943949,2022-05-01,2022-05-03
5-11,405847,2022-05-01,2022-05-03
50-64,2334547,2022-05-01,2022-05-03
65+,2473683,2022-05-01,2022-05-03
Unknown/missing,645,2022-05-01,2022-05-03
12-15,428165,2022-04-28,2022-05-02
16-17,231725,2022-04-28,2022-05-02
18-49,3942054,2022-04-28,2022-05-02
5-11,405424,2022-04-28,2022-05-02
50-64,2329517,2022-04-28,2022-05-02
65+,2464444,2022-04-28,2022-05-02
Unknown/missing,639,2022-04-28,2022-05-02
12-15,428022,2022-04-27,2022-04-29
16-17,231641,2022-04-27,2022-04-29
18-49,3940947,2022-04-27,2022-04-29
5-11,405192,2022-04-27,2022-04-29
50-64,2327044,2022-04-27,2022-04-29
65+,2458123,2022-04-27,2022-04-29
Unknown/missing,638,2022-04-27,2022-04-29
12-15,427852,2022-04-26,2022-04-28
16-17,231530,2022-04-26,2022-04-28
18-49,3939549,2022-04-26,2022-04-28
5-11,404976,2022-04-26,2022-04-28
50-64,2324047,2022-04-26,2022-04-28
65+,2450769,2022-04-26,2022-04-28
Unknown/missing,637,2022-04-26,2022-04-28
12-15,427688,2022-04-25,2022-04-27
16-17,231468,2022-04-25,2022-04-27
18-49,3938359,2022-04-25,2022-04-27
5-11,404718,2022-04-25,2022-04-27
50-64,2321327,2022-04-25,2022-04-27
65+,2443964,2022-04-25,2022-04-27
Unknown/missing,636,2022-04-25,2022-04-27
12-15,427531,2022-04-24,2022-04-26
