zip,people_complete,filed_date,report_date
56101,928,7/15/2023,2023-07-20
56212,70,7/15/2023,2023-07-20
55940,588,7/15/2023,2023-07-20
56431,2303,7/15/2023,2023-07-20
55411,5677,7/15/2023,2023-07-20
55020,770,7/15/2023,2023-07-20
56721,1791,7/15/2023,2023-07-20
55046,902,7/15/2023,2023-07-20
55738,93,7/15/2023,2023-07-20
55722,227,7/15/2023,2023-07-20
55613,77,7/15/2023,2023-07-20
56633,927,7/15/2023,2023-07-20
56619,177,7/15/2023,2023-07-20
56114,50,7/15/2023,2023-07-20
55933,49,7/15/2023,2023-07-20
55936,420,7/15/2023,2023-07-20
56264,277,7/15/2023,2023-07-20
56569,242,7/15/2023,2023-07-20
56208,417,7/15/2023,2023-07-20
55026,168,7/15/2023,2023-07-20
56006,5,7/15/2023,2023-07-20
55390,420,7/15/2023,2023-07-20
56563,11,7/15/2023,2023-07-20
56152,238,7/15/2023,2023-07-20
55172,5,7/15/2023,2023-07-20
56063,737,7/15/2023,2023-07-20
55043,893,7/15/2023,2023-07-20
55442,4889,7/15/2023,2023-07-20
55470,5,7/15/2023,2023-07-20
56450,287,7/15/2023,2023-07-20
56283,1446,7/15/2023,2023-07-20
55060,6962,7/15/2023,2023-07-20
55741,659,7/15/2023,2023-07-20
56761,53,7/15/2023,2023-07-20
56007,4777,7/15/2023,2023-07-20
55027,534,7/15/2023,2023-07-20
56168,112,7/15/2023,2023-07-20
56660,31,7/15/2023,2023-07-20
55436,6218,7/15/2023,2023-07-20
56659,47,7/15/2023,2023-07-20
55952,492,7/15/2023,2023-07-20
56517,35,7/15/2023,2023-07-20
55447,7455,7/15/2023,2023-07-20
56467,638,7/15/2023,2023-07-20
56223,210,7/15/2023,2023-07-20
55971,741,7/15/2023,2023-07-20
56502,115,7/15/2023,2023-07-20
56297,95,7/15/2023,2023-07-20
55369,11856,7/15/2023,2023-07-20
56349,144,7/15/2023,2023-07-20
56444,774,7/15/2023,2023-07-20
55730,5,7/15/2023,2023-07-20
56710,71,7/15/2023,2023-07-20
55982,90,7/15/2023,2023-07-20
55423,11982,7/15/2023,2023-07-20
55756,102,7/15/2023,2023-07-20
55001,1077,7/15/2023,2023-07-20
56021,209,7/15/2023,2023-07-20
55032,617,7/15/2023,2023-07-20
