race,date,cases,pop
Asian,2020-07-31,3426,297460
Black,2020-07-31,11232,392850
Hispanic,2020-07-31,10596,345640
White,2020-07-31,22030,4353880
Other,2020-07-31,1854,259618
Native,2020-08-01,436,57046
Asian,2020-08-01,3458,297460
Black,2020-08-01,11386,392850
Hispanic,2020-08-01,10679,345640
White,2020-08-01,22399,4353880
Other,2020-08-01,1874,259618
Native,2020-08-02,441,57046
Asian,2020-08-02,3488,297460
Black,2020-08-02,11534,392850
Hispanic,2020-08-02,10774,345640
White,2020-08-02,22775,4353880
Other,2020-08-02,1905,259618
Native,2020-08-03,444,57046
Asian,2020-08-03,3513,297460
Black,2020-08-03,11679,392850
Hispanic,2020-08-03,10863,345640
White,2020-08-03,23064,4353880
Other,2020-08-03,1917,259618
Native,2020-08-04,454,57046
Asian,2020-08-04,3545,297460
Black,2020-08-04,11800,392850
Hispanic,2020-08-04,10926,345640
White,2020-08-04,23347,4353880
Other,2020-08-04,1939,259618
Native,2020-08-05,458,57046
Asian,2020-08-05,3566,297460
Black,2020-08-05,11931,392850
Hispanic,2020-08-05,11006,345640
White,2020-08-05,23655,4353880
Other,2020-08-05,1968,259618
Native,2020-08-06,473,57046
Asian,2020-08-06,3595,297460
Black,2020-08-06,12130,392850
Hispanic,2020-08-06,11130,345640
White,2020-08-06,24043,4353880
Other,2020-08-06,1997,259618
Native,2020-08-07,475,57046
Asian,2020-08-07,3623,297460
Black,2020-08-07,12252,392850
Hispanic,2020-08-07,11228,345640
White,2020-08-07,24277,4353880
Other,2020-08-07,2009,259618
Native,2020-08-08,477,57046
Asian,2020-08-08,3671,297460
Black,2020-08-08,12463,392850
Hispanic,2020-08-08,11362,345640
White,2020-08-08,24694,4353880
Other,2020-08-08,2041,259618
Native,2020-08-09,488,57046
Asian,2020-08-09,3708,297460
Black,2020-08-09,12635,392850
Hispanic,2020-08-09,11459,345640
White,2020-08-09,25077,4353880
Other,2020-08-09,2070,259618
Native,2020-08-10,494,57046
Asian,2020-08-10,3737,297460
Black,2020-08-10,12783,392850
Hispanic,2020-08-10,11528,345640
White,2020-08-10,25371,4353880
Other,2020-08-10,2095,259618
Native,2020-08-11,496,57046
Asian,2020-08-11,3761,297460
Black,2020-08-11,12860,392850
Hispanic,2020-08-11,11580,345640
White,2020-08-11,25516,4353880
Other,2020-08-11,2104,259618
Native,2020-08-12,505,57046
Asian,2020-08-12,3781,297460
Black,2020-08-12,12942,392850
Hispanic,2020-08-12,11632,345640
White,2020-08-12,25764,4353880
Other,2020-08-12,2125,259618
Native,2020-08-13,512,57046
Asian,2020-08-13,3817,297460
Black,2020-08-13,13063,392850
Hispanic,2020-08-13,11747,345640
White,2020-08-13,26100,4353880
Other,2020-08-13,2145,259618
Native,2020-08-14,518,57046
Asian,2020-08-14,3839,297460
Black,2020-08-14,13197,392850
Hispanic,2020-08-14,11864,345640
White,2020-08-14,26467,4353880
Other,2020-08-14,2171,259618
Native,2020-08-15,522,57046
Asian,2020-08-15,3873,297460
Black,2020-08-15,13334,392850
Hispanic,2020-08-15,11948,345640
White,2020-08-15,26813,4353880
Other,2020-08-15,2194,259618
Native,2020-08-16,526,57046
Asian,2020-08-16,3920,297460
Black,2020-08-16,13476,392850
Hispanic,2020-08-16,12062,345640
White,2020-08-16,27177,4353880
Other,2020-08-16,2219,259618
Native,2020-08-17,529,57046
Asian,2020-08-17,3955,297460
Black,2020-08-17,13569,392850
Hispanic,2020-08-17,12124,345640
White,2020-08-17,27483,4353880
Other,2020-08-17,2239,259618
Native,2020-08-18,530,57046
Asian,2020-08-18,3965,297460
Black,2020-08-18,13634,392850
Hispanic,2020-08-18,12166,345640
White,2020-08-18,27695,4353880
Other,2020-08-18,2247,259618
Native,2020-08-19,533,57046
Asian,2020-08-19,3993,297460
Black,2020-08-19,13734,392850
Hispanic,2020-08-19,12235,345640
White,2020-08-19,27992,4353880
Other,2020-08-19,2263,259618
Native,2020-08-20,538,57046
Asian,2020-08-20,4023,297460
Black,2020-08-20,13852,392850
Hispanic,2020-08-20,12334,345640
White,2020-08-20,28377,4353880
Other,2020-08-20,2284,259618
Native,2020-08-21,545,57046
Asian,2020-08-21,4055,297460
Black,2020-08-21,13992,392850
Hispanic,2020-08-21,12434,345640
White,2020-08-21,28842,4353880
Other,2020-08-21,2306,259618
Native,2020-08-22,554,57046
Asian,2020-08-22,4086,297460
Black,2020-08-22,14145,392850
Hispanic,2020-08-22,12524,345640
White,2020-08-22,29231,4353880
Other,2020-08-22,2320,259618
Native,2020-08-23,563,57046
Asian,2020-08-23,4108,297460
Black,2020-08-23,14272,392850
Hispanic,2020-08-23,12597,345640
White,2020-08-23,29653,4353880
Other,2020-08-23,2338,259618
Native,2020-08-24,576,57046
Asian,2020-08-24,4142,297460
Black,2020-08-24,14398,392850
Hispanic,2020-08-24,12681,345640
White,2020-08-24,30050,4353880
Other,2020-08-24,2357,259618
Native,2020-08-25,583,57046
Asian,2020-08-25,4154,297460
Black,2020-08-25,14457,392850
Hispanic,2020-08-25,12735,345640
White,2020-08-25,30292,4353880
Other,2020-08-25,2363,259618
Native,2020-08-26,589,57046
Asian,2020-08-26,4172,297460
Black,2020-08-26,14526,392850
Hispanic,2020-08-26,12802,345640
White,2020-08-26,30593,4353880
Other,2020-08-26,2377,259618
Native,2020-08-27,599,57046
Asian,2020-08-27,4197,297460
Black,2020-08-27,14630,392850
Hispanic,2020-08-27,12930,345640
White,2020-08-27,31314,4353880
Other,2020-08-27,2400,259618
Native,2020-08-28,605,57046
Asian,2020-08-28,4234,297460
Black,2020-08-28,14782,392850
Hispanic,2020-08-28,12999,345640
White,2020-08-28,31839,4353880
Other,2020-08-28,2416,259618
Native,2020-08-29,610,57046
Asian,2020-08-29,4258,297460
Black,2020-08-29,14909,392850
Hispanic,2020-08-29,13113,345640
White,2020-08-29,32497,4353880
Other,2020-08-29,2434,259618
Native,2020-08-30,621,57046
Asian,2020-08-30,4300,297460
Black,2020-08-30,15020,392850
Hispanic,2020-08-30,13191,345640
White,2020-08-30,33086,4353880
Other,2020-08-30,2452,259618
Native,2020-08-31,625,57046
Asian,2020-08-31,4333,297460
Black,2020-08-31,15130,392850
Hispanic,2020-08-31,13245,345640
White,2020-08-31,33480,4353880
Other,2020-08-31,2469,259618
Native,2020-09-01,625,57046
Asian,2020-09-01,4345,297460
Black,2020-09-01,15187,392850
Hispanic,2020-09-01,13297,345640
White,2020-09-01,33798,4353880
Other,2020-09-01,2481,259618
Native,2020-09-02,633,57046
Asian,2020-09-02,4371,297460
Black,2020-09-02,15252,392850
Hispanic,2020-09-02,13336,345640
White,2020-09-02,34174,4353880
Other,2020-09-02,2490,259618
Native,2020-09-03,638,57046
Asian,2020-09-03,4406,297460
Black,2020-09-03,15318,392850
Hispanic,2020-09-03,13410,345640
White,2020-09-03,34725,4353880
Other,2020-09-03,2515,259618
Native,2020-09-04,641,57046
Asian,2020-09-04,4441,297460
Black,2020-09-04,15425,392850
Hispanic,2020-09-04,13498,345640
White,2020-09-04,35224,4353880
Other,2020-09-04,2529,259618
Native,2020-09-05,653,57046
Asian,2020-09-05,4481,297460
Black,2020-09-05,15515,392850
Hispanic,2020-09-05,13588,345640
White,2020-09-05,35814,4353880
Other,2020-09-05,2549,259618
Native,2020-09-06,659,57046
Asian,2020-09-06,4514,297460
Black,2020-09-06,15573,392850
Hispanic,2020-09-06,13660,345640
White,2020-09-06,36271,4353880
Other,2020-09-06,2572,259618
Native,2020-09-07,662,57046
Asian,2020-09-07,4540,297460
Black,2020-09-07,15645,392850
Hispanic,2020-09-07,13716,345640
White,2020-09-07,36687,4353880
Other,2020-09-07,2587,259618
Native,2020-09-08,663,57046
Asian,2020-09-08,4553,297460
Black,2020-09-08,15679,392850
Hispanic,2020-09-08,13743,345640
White,2020-09-08,36958,4353880
Other,2020-09-08,2598,259618
Native,2020-09-09,665,57046
Asian,2020-09-09,4566,297460
Black,2020-09-09,15710,392850
Hispanic,2020-09-09,13774,345640
White,2020-09-09,37119,4353880
Other,2020-09-09,2605,259618
Native,2020-09-10,670,57046
Asian,2020-09-10,4577,297460
Black,2020-09-10,15753,392850
Hispanic,2020-09-10,13814,345640
White,2020-09-10,37368,4353880
Other,2020-09-10,2622,259618
Native,2020-09-11,676,57046
Asian,2020-09-11,4591,297460
Black,2020-09-11,15800,392850
Hispanic,2020-09-11,13859,345640
White,2020-09-11,37685,4353880
Other,2020-09-11,2635,259618
Native,2020-09-12,687,57046
Asian,2020-09-12,4628,297460
Black,2020-09-12,15880,392850
Hispanic,2020-09-12,13951,345640
White,2020-09-12,38302,4353880
Other,2020-09-12,2651,259618
Native,2020-09-13,691,57046
Asian,2020-09-13,4666,297460
Black,2020-09-13,15935,392850
Hispanic,2020-09-13,14003,345640
White,2020-09-13,38789,4353880
Other,2020-09-13,2664,259618
Native,2020-09-14,698,57046
Asian,2020-09-14,4699,297460
Black,2020-09-14,15983,392850
Hispanic,2020-09-14,14067,345640
White,2020-09-14,39197,4353880
Other,2020-09-14,2678,259618
Native,2020-09-15,702,57046
Asian,2020-09-15,4713,297460
Black,2020-09-15,16018,392850
Hispanic,2020-09-15,14098,345640
White,2020-09-15,39503,4353880
Other,2020-09-15,2684,259618
Native,2020-09-16,703,57046
Asian,2020-09-16,4732,297460
Black,2020-09-16,16063,392850
Hispanic,2020-09-16,14145,345640
White,2020-09-16,39839,4353880
Other,2020-09-16,2698,259618
Native,2020-09-17,706,57046
Asian,2020-09-17,4772,297460
Black,2020-09-17,16127,392850
Hispanic,2020-09-17,14248,345640
White,2020-09-17,40464,4353880
Other,2020-09-17,2723,259618
Native,2020-09-18,718,57046
Asian,2020-09-18,4819,297460
Black,2020-09-18,16192,392850
Hispanic,2020-09-18,14335,345640
White,2020-09-18,41191,4353880
Other,2020-09-18,2746,259618
Native,2020-09-19,725,57046
Asian,2020-09-19,4850,297460
Black,2020-09-19,16241,392850
Hispanic,2020-09-19,14410,345640
White,2020-09-19,41815,4353880
Other,2020-09-19,2772,259618
Native,2020-09-20,753,57046
Asian,2020-09-20,4905,297460
Black,2020-09-20,16354,392850
Hispanic,2020-09-20,14511,345640
White,2020-09-20,42694,4353880
Other,2020-09-20,2801,259618
Native,2020-09-21,764,57046
Asian,2020-09-21,4942,297460
Black,2020-09-21,16408,392850
Hispanic,2020-09-21,14599,345640
White,2020-09-21,43334,4353880
Other,2020-09-21,2826,259618
Native,2020-09-22,769,57046
Asian,2020-09-22,4964,297460
Black,2020-09-22,16439,392850
Hispanic,2020-09-22,14631,345640
White,2020-09-22,43689,4353880
Other,2020-09-22,2838,259618
Native,2020-09-23,778,57046
Asian,2020-09-23,4986,297460
Black,2020-09-23,16480,392850
Hispanic,2020-09-23,14716,345640
White,2020-09-23,44155,4353880
Other,2020-09-23,2850,259618
Native,2020-09-24,791,57046
Asian,2020-09-24,5023,297460
Black,2020-09-24,16554,392850
Hispanic,2020-09-24,14809,345640
White,2020-09-24,44791,4353880
Other,2020-09-24,2889,259618
Native,2020-09-25,801,57046
Asian,2020-09-25,5057,297460
Black,2020-09-25,16632,392850
Hispanic,2020-09-25,14909,345640
White,2020-09-25,45619,4353880
Other,2020-09-25,2912,259618
Native,2020-09-26,820,57046
Asian,2020-09-26,5112,297460
Black,2020-09-26,16717,392850
Hispanic,2020-09-26,15043,345640
White,2020-09-26,46591,4353880
Other,2020-09-26,2940,259618
Native,2020-09-27,827,57046
Asian,2020-09-27,5164,297460
Black,2020-09-27,16781,392850
Hispanic,2020-09-27,15140,345640
White,2020-09-27,47308,4353880
Other,2020-09-27,2960,259618
Native,2020-09-28,831,57046
Asian,2020-09-28,5215,297460
Black,2020-09-28,16839,392850
Hispanic,2020-09-28,15230,345640
White,2020-09-28,47959,4353880
Other,2020-09-28,2972,259618
Native,2020-09-29,839,57046
Asian,2020-09-29,5255,297460
Black,2020-09-29,16893,392850
Hispanic,2020-09-29,15292,345640
White,2020-09-29,48487,4353880
Other,2020-09-29,2993,259618
Native,2020-09-30,842,57046
Asian,2020-09-30,5284,297460
Black,2020-09-30,16933,392850
Hispanic,2020-09-30,15342,345640
White,2020-09-30,48967,4353880
Other,2020-09-30,3010,259618
Native,2020-10-01,858,57046
Asian,2020-10-01,5318,297460
Black,2020-10-01,16975,392850
Hispanic,2020-10-01,15402,345640
White,2020-10-01,49700,4353880
Other,2020-10-01,3031,259618
Native,2020-10-02,866,57046
Asian,2020-10-02,5370,297460
Black,2020-10-02,17048,392850
Hispanic,2020-10-02,15527,345640
White,2020-10-02,50455,4353880
Other,2020-10-02,3049,259618
Native,2020-10-03,876,57046
Asian,2020-10-03,5419,297460
Black,2020-10-03,17118,392850
Hispanic,2020-10-03,15658,345640
White,2020-10-03,51326,4353880
Other,2020-10-03,3080,259618
Native,2020-10-04,885,57046
Asian,2020-10-04,5456,297460
Black,2020-10-04,17156,392850
Hispanic,2020-10-04,15732,345640
White,2020-10-04,52027,4353880
Other,2020-10-04,3107,259618
Native,2020-10-05,895,57046
Asian,2020-10-05,5489,297460
Black,2020-10-05,17197,392850
Hispanic,2020-10-05,15794,345640
White,2020-10-05,52614,4353880
Other,2020-10-05,3130,259618
Asian,2020-10-06,5552,297460
Black,2020-10-06,17240,392850
Hispanic,2020-10-06,15868,345640
Native,2020-10-06,898,57046
Other,2020-10-06,3163,259618
White,2020-10-06,53329,4353880
Asian,2020-10-07,5602,297460
Black,2020-10-07,17291,392850
Hispanic,2020-10-07,15932,345640
Native,2020-10-07,907,57046
Other,2020-10-07,3185,259618
White,2020-10-07,53959,4353880
Asian,2020-10-08,5651,297460
Black,2020-10-08,17354,392850
Hispanic,2020-10-08,16035,345640
Native,2020-10-08,925,57046
Other,2020-10-08,3230,259618
White,2020-10-08,54830,4353880
Asian,2020-10-09,5708,297460
Black,2020-10-09,17420,392850
Hispanic,2020-10-09,16144,345640
Native,2020-10-09,936,57046
Other,2020-10-09,3241,259618
White,2020-10-09,55805,4353880
Asian,2020-10-10,5764,297460
Black,2020-10-10,17515,392850
Hispanic,2020-10-10,16252,345640
Native,2020-10-10,956,57046
Other,2020-10-10,3267,259618
White,2020-10-10,56810,4353880
Asian,2020-10-11,5839,297460
Black,2020-10-11,17589,392850
Hispanic,2020-10-11,16406,345640
Native,2020-10-11,965,57046
Other,2020-10-11,3305,259618
White,2020-10-11,57723,4353880
Asian,2020-10-12,5891,297460
Black,2020-10-12,17656,392850
Hispanic,2020-10-12,16494,345640
Native,2020-10-12,974,57046
Other,2020-10-12,3320,259618
White,2020-10-12,58474,4353880
Asian,2020-10-13,5954,297460
Black,2020-10-13,17734,392850
Hispanic,2020-10-13,16608,345640
Native,2020-10-13,981,57046
Other,2020-10-13,3348,259618
White,2020-10-13,59297,4353880
Asian,2020-10-14,5995,297460
Black,2020-10-14,17810,392850
Hispanic,2020-10-14,16733,345640
Native,2020-10-14,995,57046
Other,2020-10-14,3374,259618
White,2020-10-14,60348,4353880
Asian,2020-10-15,6054,297460
Black,2020-10-15,17897,392850
Hispanic,2020-10-15,16853,345640
Native,2020-10-15,1023,57046
Other,2020-10-15,3395,259618
White,2020-10-15,61156,4353880
Asian,2020-10-16,6113,297460
Black,2020-10-16,18003,392850
Hispanic,2020-10-16,16997,345640
Native,2020-10-16,1048,57046
Other,2020-10-16,3429,259618
White,2020-10-16,62725,4353880
Asian,2020-10-17,6175,297460
Black,2020-10-17,18081,392850
Hispanic,2020-10-17,17128,345640
Native,2020-10-17,1060,57046
Other,2020-10-17,3469,259618
White,2020-10-17,63933,4353880
Asian,2020-10-18,6228,297460
Black,2020-10-18,18174,392850
Hispanic,2020-10-18,17257,345640
Native,2020-10-18,1070,57046
Other,2020-10-18,3504,259618
White,2020-10-18,64935,4353880
Asian,2020-10-19,6272,297460
Black,2020-10-19,18263,392850
Hispanic,2020-10-19,17375,345640
Native,2020-10-19,1083,57046
Other,2020-10-19,3518,259618
White,2020-10-19,65939,4353880
Asian,2020-10-20,6328,297460
Black,2020-10-20,18331,392850
Hispanic,2020-10-20,17479,345640
Native,2020-10-20,1091,57046
Other,2020-10-20,3550,259618
White,2020-10-20,66690,4353880
Asian,2020-10-21,6392,297460
Black,2020-10-21,18424,392850
Hispanic,2020-10-21,17588,345640
Native,2020-10-21,1118,57046
Other,2020-10-21,3573,259618
White,2020-10-21,67618,4353880
Asian,2020-10-22,6441,297460
Black,2020-10-22,18523,392850
Hispanic,2020-10-22,17701,345640
Native,2020-10-22,1141,57046
Other,2020-10-22,3615,259618
White,2020-10-22,68668,4353880
Asian,2020-10-23,6499,297460
Black,2020-10-23,18626,392850
Hispanic,2020-10-23,17832,345640
Native,2020-10-23,1169,57046
Other,2020-10-23,3668,259618
White,2020-10-23,69850,4353880
Asian,2020-10-24,6548,297460
Black,2020-10-24,18761,392850
Hispanic,2020-10-24,17975,345640
Native,2020-10-24,1189,57046
Other,2020-10-24,3709,259618
White,2020-10-24,71250,4353880
Asian,2020-10-25,6618,297460
Black,2020-10-25,18854,392850
Hispanic,2020-10-25,18106,345640
Native,2020-10-25,1202,57046
Other,2020-10-25,3749,259618
White,2020-10-25,72414,4353880
Asian,2020-10-26,6672,297460
Black,2020-10-26,18952,392850
Hispanic,2020-10-26,18185,345640
Native,2020-10-26,1213,57046
Other,2020-10-26,3772,259618
White,2020-10-26,73469,4353880
Asian,2020-10-27,6766,297460
Black,2020-10-27,19058,392850
Hispanic,2020-10-27,18326,345640
Native,2020-10-27,1223,57046
Other,2020-10-27,3803,259618
White,2020-10-27,75035,4353880
Asian,2020-10-28,6848,297460
Black,2020-10-28,19176,392850
Hispanic,2020-10-28,18450,345640
Native,2020-10-28,1251,57046
Other,2020-10-28,3825,259618
White,2020-10-28,76516,4353880
Asian,2020-10-29,6933,297460
Black,2020-10-29,19341,392850
Hispanic,2020-10-29,18584,345640
Native,2020-10-29,1272,57046
Other,2020-10-29,3877,259618
White,2020-10-29,78489,4353880
Asian,2020-10-30,7022,297460
Black,2020-10-30,19517,392850
Hispanic,2020-10-30,18792,345640
Native,2020-10-30,1299,57046
Other,2020-10-30,3922,259618
White,2020-10-30,80605,4353880
Asian,2020-10-31,7099,297460
Black,2020-10-31,19654,392850
Hispanic,2020-10-31,18945,345640
Native,2020-10-31,1325,57046
Other,2020-10-31,3978,259618
White,2020-10-31,82480,4353880
Asian,2020-11-01,7181,297460
Black,2020-11-01,19765,392850
Hispanic,2020-11-01,19043,345640
Native,2020-11-01,1345,57046
Other,2020-11-01,4014,259618
White,2020-11-01,84081,4353880
Asian,2020-11-02,7273,297460
Black,2020-11-02,19949,392850
Hispanic,2020-11-02,19213,345640
Native,2020-11-02,1361,57046
Other,2020-11-02,4085,259618
White,2020-11-02,85924,4353880
Asian,2020-11-03,7428,297460
Black,2020-11-03,20106,392850
Hispanic,2020-11-03,19432,345640
Native,2020-11-03,1384,57046
Other,2020-11-03,4147,259618
White,2020-11-03,88367,4353880
Asian,2020-11-04,7587,297460
Black,2020-11-04,20302,392850
Hispanic,2020-11-04,19654,345640
Native,2020-11-04,1415,57046
Other,2020-11-04,4212,259618
White,2020-11-04,91002,4353880
Asian,2020-11-05,7722,297460
Black,2020-11-05,20475,392850
Hispanic,2020-11-05,19918,345640
Native,2020-11-05,1448,57046
Other,2020-11-05,4301,259618
White,2020-11-05,93689,4353880
Asian,2020-11-06,7871,297460
Black,2020-11-06,20675,392850
Hispanic,2020-11-06,20146,345640
Native,2020-11-06,1481,57046
Other,2020-11-06,4454,259618
White,2020-11-06,97638,4353880
Asian,2020-11-07,7985,297460
Black,2020-11-07,20859,392850
Hispanic,2020-11-07,20411,345640
Native,2020-11-07,1541,57046
Other,2020-11-07,4593,259618
White,2020-11-07,100867,4353880
Asian,2020-11-08,8233,297460
Black,2020-11-08,21123,392850
Hispanic,2020-11-08,20749,345640
Native,2020-11-08,1589,57046
Other,2020-11-08,4717,259618
White,2020-11-08,104850,4353880
Asian,2020-11-09,8391,297460
Black,2020-11-09,21297,392850
Hispanic,2020-11-09,20972,345640
Native,2020-11-09,1617,57046
Other,2020-11-09,4842,259618
White,2020-11-09,107556,4353880
Asian,2020-11-10,8589,297460
Black,2020-11-10,21472,392850
Hispanic,2020-11-10,21150,345640
Native,2020-11-10,1641,57046
Other,2020-11-10,4912,259618
White,2020-11-10,111066,4353880
Asian,2020-11-11,8711,297460
Black,2020-11-11,21668,392850
Hispanic,2020-11-11,21306,345640
Native,2020-11-11,1700,57046
Other,2020-11-11,5010,259618
White,2020-11-11,114518,4353880
Asian,2020-11-12,8914,297460
Black,2020-11-12,21896,392850
Hispanic,2020-11-12,21705,345640
Native,2020-11-12,1755,57046
Other,2020-11-12,5194,259618
White,2020-11-12,119578,4353880
Asian,2020-11-13,9094,297460
Black,2020-11-13,22090,392850
Hispanic,2020-11-13,21976,345640
Native,2020-11-13,1789,57046
Other,2020-11-13,5355,259618
White,2020-11-13,123551,4353880
Asian,2020-11-14,9339,297460
Black,2020-11-14,22425,392850
Hispanic,2020-11-14,22387,345640
Native,2020-11-14,1867,57046
Other,2020-11-14,5609,259618
White,2020-11-14,129590,4353880
Asian,2020-11-15,9526,297460
Black,2020-11-15,22665,392850
Hispanic,2020-11-15,22874,345640
Native,2020-11-15,1922,57046
Other,2020-11-15,5789,259618
White,2020-11-15,135067,4353880
Asian,2020-11-16,9697,297460
Black,2020-11-16,22937,392850
Hispanic,2020-11-16,23283,345640
Native,2020-11-16,1968,57046
Other,2020-11-16,6057,259618
White,2020-11-16,140232,4353880
Asian,2020-11-17,9834,297460
Black,2020-11-17,23135,392850
Hispanic,2020-11-17,23571,345640
Native,2020-11-17,1999,57046
Other,2020-11-17,6223,259618
White,2020-11-17,144313,4353880
Asian,2020-11-18,9962,297460
Black,2020-11-18,23331,392850
Hispanic,2020-11-18,23765,345640
Native,2020-11-18,2068,57046
Other,2020-11-18,6367,259618
White,2020-11-18,148142,4353880
Asian,2020-11-19,10190,297460
Black,2020-11-19,23600,392850
Hispanic,2020-11-19,24137,345640
Native,2020-11-19,2126,57046
Other,2020-11-19,6556,259618
White,2020-11-19,153984,4353880
Asian,2020-11-20,10402,297460
Black,2020-11-20,23890,392850
Hispanic,2020-11-20,24510,345640
Native,2020-11-20,2172,57046
Other,2020-11-20,6754,259618
White,2020-11-20,159062,4353880
Asian,2020-11-21,10626,297460
Black,2020-11-21,24180,392850
Hispanic,2020-11-21,24818,345640
Native,2020-11-21,2241,57046
Other,2020-11-21,6958,259618
White,2020-11-21,163553,4353880
Asian,2020-11-22,10823,297460
Black,2020-11-22,24434,392850
Hispanic,2020-11-22,25086,345640
Native,2020-11-22,2300,57046
Other,2020-11-22,7264,259618
White,2020-11-22,168539,4353880
Asian,2020-11-23,11002,297460
Black,2020-11-23,24681,392850
Hispanic,2020-11-23,25380,345640
Native,2020-11-23,2341,57046
Other,2020-11-23,7423,259618
White,2020-11-23,173234,4353880
Asian,2020-11-24,11257,297460
Black,2020-11-24,25102,392850
Hispanic,2020-11-24,26148,345640
Native,2020-11-24,2398,57046
Other,2020-11-24,7534,259618
White,2020-11-24,177588,4353880
Asian,2020-11-25,11474,297460
Black,2020-11-25,25366,392850
Hispanic,2020-11-25,26606,345640
Native,2020-11-25,2462,57046
Other,2020-11-25,7677,259618
White,2020-11-25,182404,4353880
Asian,2020-11-27,11649,297460
Black,2020-11-27,25578,392850
Hispanic,2020-11-27,26929,345640
Native,2020-11-27,2521,57046
Other,2020-11-27,7868,259618
White,2020-11-27,186723,4353880
Asian,2020-11-28,12032,297460
Black,2020-11-28,25995,392850
Hispanic,2020-11-28,27629,345640
Native,2020-11-28,2600,57046
Other,2020-11-28,8149,259618
White,2020-11-28,192982,4353880
Asian,2020-11-29,12432,297460
Black,2020-11-29,26346,392850
Hispanic,2020-11-29,28283,345640
Native,2020-11-29,2671,57046
Other,2020-11-29,8452,259618
White,2020-11-29,199364,4353880
Asian,2020-11-30,12713,297460
Black,2020-11-30,26634,392850
Hispanic,2020-11-30,28639,345640
Native,2020-11-30,2699,57046
Other,2020-11-30,8631,259618
White,2020-11-30,203427,4353880
Asian,2020-12-01,12829,297460
Black,2020-12-01,26802,392850
Hispanic,2020-12-01,28838,345640
Native,2020-12-01,2733,57046
Other,2020-12-01,8733,259618
White,2020-12-01,206172,4353880
Asian,2020-12-02,13066,297460
Black,2020-12-02,27057,392850
Hispanic,2020-12-02,29230,345640
Native,2020-12-02,2782,57046
Other,2020-12-02,8868,259618
White,2020-12-02,210071,4353880
Asian,2020-12-03,13327,297460
Black,2020-12-03,27367,392850
Hispanic,2020-12-03,29739,345640
Native,2020-12-03,2813,57046
Other,2020-12-03,9079,259618
White,2020-12-03,214408,4353880
Asian,2020-12-04,13580,297460
Black,2020-12-04,27632,392850
Hispanic,2020-12-04,30196,345640
Native,2020-12-04,2865,57046
Other,2020-12-04,9203,259618
White,2020-12-04,218214,4353880
Asian,2020-12-05,13855,297460
Black,2020-12-05,27979,392850
Hispanic,2020-12-05,30725,345640
Native,2020-12-05,2921,57046
Other,2020-12-05,9437,259618
White,2020-12-05,222497,4353880
Asian,2020-12-06,14141,297460
Black,2020-12-06,28329,392850
Hispanic,2020-12-06,31207,345640
Native,2020-12-06,2987,57046
Other,2020-12-06,9617,259618
White,2020-12-06,226410,4353880
Asian,2020-12-07,14425,297460
Black,2020-12-07,28678,392850
Hispanic,2020-12-07,31672,345640
Native,2020-12-07,3064,57046
Other,2020-12-07,9820,259618
White,2020-12-07,229955,4353880
Asian,2020-12-08,14567,297460
Black,2020-12-08,28884,392850
Hispanic,2020-12-08,31961,345640
Native,2020-12-08,3088,57046
Other,2020-12-08,9971,259618
White,2020-12-08,232145,4353880
Asian,2020-12-09,14830,297460
Black,2020-12-09,29173,392850
Hispanic,2020-12-09,32444,345640
Native,2020-12-09,3144,57046
Other,2020-12-09,10087,259618
White,2020-12-09,235336,4353880
Asian,2020-12-10,15032,297460
Black,2020-12-10,30183,392850
Hispanic,2020-12-10,32813,345640
Native,2020-12-10,3345,57046
Other,2020-12-10,10242,259618
White,2020-12-10,238933,4353880
Asian,2020-12-11,15237,297460
Black,2020-12-11,30424,392850
Hispanic,2020-12-11,33240,345640
Native,2020-12-11,3379,57046
Other,2020-12-11,10367,259618
White,2020-12-11,241509,4353880
Asian,2020-12-12,15459,297460
Black,2020-12-12,30710,392850
Hispanic,2020-12-12,33659,345640
Native,2020-12-12,3435,57046
Other,2020-12-12,10544,259618
White,2020-12-12,244529,4353880
Asian,2020-12-13,15649,297460
Black,2020-12-13,30956,392850
Hispanic,2020-12-13,33970,345640
Native,2020-12-13,3469,57046
Other,2020-12-13,10727,259618
White,2020-12-13,247130,4353880
Asian,2020-12-14,15828,297460
Black,2020-12-14,31189,392850
Hispanic,2020-12-14,34264,345640
Native,2020-12-14,3493,57046
Other,2020-12-14,10851,259618
White,2020-12-14,249169,4353880
Asian,2020-12-15,15999,297460
Black,2020-12-15,31376,392850
Hispanic,2020-12-15,34594,345640
Native,2020-12-15,3510,57046
Other,2020-12-15,10888,259618
White,2020-12-15,250816,4353880
Asian,2020-12-16,16121,297460
Black,2020-12-16,31579,392850
Hispanic,2020-12-16,34846,345640
Native,2020-12-16,3562,57046
Other,2020-12-16,10937,259618
White,2020-12-16,252412,4353880
Asian,2020-12-17,16237,297460
Black,2020-12-17,31774,392850
Hispanic,2020-12-17,35126,345640
Native,2020-12-17,3596,57046
Other,2020-12-17,11030,259618
White,2020-12-17,254263,4353880
Asian,2020-12-18,16344,297460
Black,2020-12-18,31984,392850
Hispanic,2020-12-18,35386,345640
Native,2020-12-18,3639,57046
Other,2020-12-18,11158,259618
White,2020-12-18,255989,4353880
Asian,2020-12-19,16482,297460
Black,2020-12-19,32230,392850
Hispanic,2020-12-19,35662,345640
Native,2020-12-19,3680,57046
