race,date,cases,pop
White,2020-04-06,769,4353880
Other,2020-04-06,15,259618
Native,2020-04-07,5,57046
Asian,2020-04-07,41,297460
Black,2020-04-07,90,392850
Hispanic,2020-04-07,60,345640
White,2020-04-07,831,4353880
Other,2020-04-07,16,259618
Native,2020-04-08,5,57046
Asian,2020-04-08,44,297460
Black,2020-04-08,108,392850
Hispanic,2020-04-08,64,345640
White,2020-04-08,889,4353880
Other,2020-04-08,17,259618
Native,2020-04-09,10,57046
Asian,2020-04-09,46,297460
Black,2020-04-09,125,392850
Hispanic,2020-04-09,67,345640
White,2020-04-09,943,4353880
Other,2020-04-09,19,259618
Native,2020-04-10,11,57046
Asian,2020-04-10,52,297460
Black,2020-04-10,134,392850
Hispanic,2020-04-10,75,345640
White,2020-04-10,1011,4353880
Other,2020-04-10,21,259618
Native,2020-04-11,12,57046
Asian,2020-04-11,61,297460
Black,2020-04-11,149,392850
Hispanic,2020-04-11,80,345640
White,2020-04-11,1068,4353880
Other,2020-04-11,21,259618
Native,2020-04-12,17,57046
Asian,2020-04-12,75,297460
Black,2020-04-12,188,392850
Hispanic,2020-04-12,99,345640
White,2020-04-12,1175,4353880
Other,2020-04-12,27,259618
Native,2020-04-13,17,57046
Asian,2020-04-13,79,297460
Black,2020-04-13,194,392850
Hispanic,2020-04-13,102,345640
White,2020-04-13,1191,4353880
Other,2020-04-13,27,259618
Native,2020-04-14,17,57046
Asian,2020-04-14,81,297460
Black,2020-04-14,206,392850
Hispanic,2020-04-14,105,345640
White,2020-04-14,1215,4353880
Other,2020-04-14,28,259618
Native,2020-04-15,18,57046
Asian,2020-04-15,85,297460
Black,2020-04-15,226,392850
Hispanic,2020-04-15,110,345640
White,2020-04-15,1295,4353880
Other,2020-04-15,31,259618
Native,2020-04-16,21,57046
Asian,2020-04-16,95,297460
Black,2020-04-16,247,392850
Hispanic,2020-04-16,119,345640
White,2020-04-16,1352,4353880
Other,2020-04-16,33,259618
Native,2020-04-17,23,57046
Asian,2020-04-17,103,297460
Black,2020-04-17,283,392850
Hispanic,2020-04-17,130,345640
White,2020-04-17,1445,4353880
Other,2020-04-17,35,259618
Native,2020-04-18,24,57046
Asian,2020-04-18,111,297460
Black,2020-04-18,311,392850
Hispanic,2020-04-18,158,345640
White,2020-04-18,1520,4353880
Other,2020-04-18,38,259618
Native,2020-04-19,25,57046
Asian,2020-04-19,118,297460
Black,2020-04-19,337,392850
Hispanic,2020-04-19,175,345640
White,2020-04-19,1593,4353880
