date,day,new_hosp,new_icu,new_deaths,new_cases,new_nonicu,cases_complete,deaths_complete
2022-11-26,Saturday,73.71428571428571,11.142857142857142,8.428571428571429,731.7142857142857,62.57142857142857,TRUE,TRUE
2022-11-27,Sunday,77.14285714285714,10.714285714285714,9,755.5714285714286,66.42857142857143,TRUE,TRUE
2022-11-28,Monday,78.71428571428571,10.857142857142858,8,789.7142857142857,67.85714285714286,TRUE,TRUE
2022-11-29,Tuesday,81.42857142857143,11.857142857142858,7.857142857142857,801.5714285714286,69.57142857142857,TRUE,TRUE
2022-11-30,Wednesday,85.14285714285714,10.857142857142858,8,820.1428571428571,74.28571428571429,TRUE,TRUE
2022-12-01,Thursday,89.42857142857143,10.428571428571429,8,917.5714285714286,79,TRUE,TRUE
2022-12-02,Friday,89,11,7.428571428571429,933.1428571428571,78,TRUE,TRUE
2022-12-03,Saturday,89.14285714285714,10.857142857142858,7.285714285714286,915,78.28571428571429,TRUE,TRUE
2022-12-04,Sunday,86.57142857142857,11.857142857142858,7.285714285714286,897.1428571428571,74.71428571428571,TRUE,TRUE
2022-12-05,Monday,86.71428571428571,11.857142857142858,8.714285714285714,871.8571428571429,74.85714285714286,TRUE,TRUE
2022-12-06,Tuesday,85.28571428571429,11.714285714285714,8.571428571428571,867.1428571428571,73.57142857142857,TRUE,TRUE
2022-12-07,Wednesday,81.28571428571429,11.714285714285714,9.857142857142858,836.4285714285714,69.57142857142857,TRUE,TRUE
2022-12-08,Thursday,81,12.285714285714286,9.857142857142858,823.8571428571429,68.71428571428571,TRUE,TRUE
2022-12-09,Friday,80.57142857142857,12.285714285714286,10,817,68.28571428571429,TRUE,TRUE
2022-12-10,Saturday,80.57142857142857,12.571428571428571,9.285714285714286,818.1428571428571,68,TRUE,TRUE
2022-12-11,Sunday,81.28571428571429,12.142857142857142,9.428571428571429,812.1428571428571,69.14285714285714,TRUE,TRUE
2022-12-12,Monday,79.28571428571429,10.857142857142858,8.857142857142858,812.7142857142857,68.42857142857143,TRUE,TRUE
2022-12-13,Tuesday,80.85714285714286,10.571428571428571,9,807,70.28571428571429,TRUE,TRUE
2022-12-14,Wednesday,80.14285714285714,10.714285714285714,8.142857142857142,821.4285714285714,69.42857142857143,TRUE,TRUE
2022-12-15,Thursday,79.42857142857143,9.428571428571429,8,805.7142857142857,70,TRUE,TRUE
2022-12-16,Friday,77.85714285714286,8.714285714285714,8.142857142857142,815.8571428571429,69.14285714285714,TRUE,TRUE
2022-12-17,Saturday,77.42857142857143,8.857142857142858,7.714285714285714,826.5714285714286,68.57142857142857,TRUE,TRUE
2022-12-18,Sunday,76.71428571428571,9,7.571428571428571,834.7142857142857,67.71428571428571,TRUE,TRUE
2022-12-19,Monday,76,9,6.714285714285714,830.5714285714286,67,TRUE,TRUE
2022-12-20,Tuesday,76,9.571428571428571,7.428571428571429,830,66.42857142857143,TRUE,TRUE
2022-12-21,Wednesday,79,9,6.571428571428571,821.4285714285714,70,TRUE,TRUE
2022-12-22,Thursday,79.85714285714286,9.142857142857142,5.857142857142857,816.1428571428571,70.71428571428571,TRUE,TRUE
2022-12-23,Friday,79.14285714285714,9.857142857142858,5.142857142857143,773.7142857142857,69.28571428571429,TRUE,TRUE
2022-12-24,Saturday,79.42857142857143,10.285714285714286,5.571428571428571,750.2857142857143,69.14285714285714,TRUE,TRUE
2022-12-25,Sunday,79,9.714285714285714,5.428571428571429,710.7142857142857,69.28571428571429,TRUE,TRUE
