date,icu_used_pct,nonicu_used_pct,covid_pct_icu,covid_pct_nonicu,inuse_icu_non_covid,inuse_icu_covid,inuse_non_icu_covid,inuse_non_icu_non_covid,inuse_beds_surge,inuse_non_icu_na,inuse_icu_na,inuse_vents,avail_beds,avail_non_icu,avail_icu,avail_vents,surge_beds,surge_ventilators
2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,0,4884,815,251,0,5819,1027,960,0,0
2020-03-17,NA,NA,NA,NA,NA,NA,NA,NA,0,5135,897,785,0,6096,1108,919,0,0
2020-03-18,NA,NA,NA,NA,NA,NA,NA,NA,0,5076,876,939,0,6079,1100,788,0,0
2020-03-19,NA,NA,NA,NA,NA,NA,NA,NA,0,4704,842,935,0,5696,1062,989,0,0
2020-03-20,NA,NA,NA,NA,NA,NA,NA,NA,0,4786,846,985,0,5901,1082,1078,0,0
2020-03-21,NA,NA,NA,NA,NA,NA,NA,NA,0,4501,762,961,0,5647,999,1126,0,0
2020-03-22,NA,NA,NA,NA,NA,NA,NA,NA,0,4198,741,950,0,5399,993,1120,0,0
2020-03-23,NA,NA,NA,NA,NA,NA,NA,NA,0,4606,779,972,0,5872,1057,1194,0,0
2020-03-24,NA,NA,NA,NA,NA,NA,NA,NA,0,4427,787,993,0,5680,1041,996,0,0
2020-03-25,NA,NA,NA,NA,NA,NA,NA,NA,0,4232,743,1071,0,5468,994,1210,0,0
2020-03-26,NA,NA,NA,NA,NA,NA,NA,NA,0,4105,730,990,0,5385,982,1295,0,0
