year,week,age_group,new_cases,mmwr_startdate,mmwr_enddate,pop_size,F3,F5,F6,new_cases_percap,outcome,report_date
2020,16,Total,998,2020-04-12,2020-04-18,5562663,NA,NA,NA,17.941,case,2023-06-01
2020,17,0-4,19,2020-04-19,2020-04-25,351664,NA,NA,NA,5.403,case,2023-06-01
2020,17,12-17,34,2020-04-19,2020-04-25,433734,NA,NA,NA,7.839,case,2023-06-01
2020,17,18-49,1324,2020-04-19,2020-04-25,2294817,NA,NA,NA,57.695,case,2023-06-01
2020,17,5-11,17,2020-04-19,2020-04-25,509735,NA,NA,NA,3.335,case,2023-06-01
2020,17,50-64,526,2020-04-19,2020-04-25,1114015,NA,NA,NA,47.217,case,2023-06-01
2020,17,65-74,141,2020-04-19,2020-04-25,490739,NA,NA,NA,28.732,case,2023-06-01
2020,17,75-84,139,2020-04-19,2020-04-25,252053,NA,NA,NA,55.147,case,2023-06-01
2020,17,85+,172,2020-04-19,2020-04-25,115906,NA,NA,NA,148.396,case,2023-06-01
2020,17,Total,2372,2020-04-19,2020-04-25,5562663,NA,NA,NA,42.641,case,2023-06-01
2020,18,0-4,34,2020-04-26,2020-05-02,351664,NA,NA,NA,9.668,case,2023-06-01
2020,18,12-17,76,2020-04-26,2020-05-02,433734,NA,NA,NA,17.522,case,2023-06-01
2020,18,18-49,2405,2020-04-26,2020-05-02,2294817,NA,NA,NA,104.801,case,2023-06-01
2020,18,5-11,45,2020-04-26,2020-05-02,509735,NA,NA,NA,8.828,case,2023-06-01
2020,18,50-64,835,2020-04-26,2020-05-02,1114015,NA,NA,NA,74.954,case,2023-06-01
2020,18,65-74,232,2020-04-26,2020-05-02,490739,NA,NA,NA,47.276,case,2023-06-01
2020,18,75-84,164,2020-04-26,2020-05-02,252053,NA,NA,NA,65.066,case,2023-06-01
2020,18,85+,181,2020-04-26,2020-05-02,115906,NA,NA,NA,156.161,case,2023-06-01
2020,18,Total,3972,2020-04-26,2020-05-02,5562663,NA,NA,NA,71.405,case,2023-06-01
2020,19,0-4,69,2020-05-03,2020-05-09,351664,NA,NA,NA,19.621,case,2023-06-01
2020,19,12-17,139,2020-05-03,2020-05-09,433734,NA,NA,NA,32.047,case,2023-06-01
2020,19,18-49,2510,2020-05-03,2020-05-09,2294817,NA,NA,NA,109.377,case,2023-06-01
2020,19,5-11,72,2020-05-03,2020-05-09,509735,NA,NA,NA,14.125,case,2023-06-01
2020,19,50-64,825,2020-05-03,2020-05-09,1114015,NA,NA,NA,74.056,case,2023-06-01
2020,19,65-74,267,2020-05-03,2020-05-09,490739,NA,NA,NA,54.408,case,2023-06-01
2020,19,75-84,203,2020-05-03,2020-05-09,252053,NA,NA,NA,80.539,case,2023-06-01
2020,19,85+,184,2020-05-03,2020-05-09,115906,NA,NA,NA,158.749,case,2023-06-01
2020,19,Total,4269,2020-05-03,2020-05-09,5562663,NA,NA,NA,76.744,case,2023-06-01
2020,20,0-4,86,2020-05-10,2020-05-16,351664,NA,NA,NA,24.455,case,2023-06-01
2020,20,12-17,162,2020-05-10,2020-05-16,433734,NA,NA,NA,37.35,case,2023-06-01
2020,20,18-49,2532,2020-05-10,2020-05-16,2294817,NA,NA,NA,110.336,case,2023-06-01
2020,20,5-11,97,2020-05-10,2020-05-16,509735,NA,NA,NA,19.029,case,2023-06-01
2020,20,50-64,810,2020-05-10,2020-05-16,1114015,NA,NA,NA,72.71,case,2023-06-01
2020,20,65-74,262,2020-05-10,2020-05-16,490739,NA,NA,NA,53.389,case,2023-06-01
2020,20,75-84,218,2020-05-10,2020-05-16,252053,NA,NA,NA,86.49,case,2023-06-01
2020,20,85+,230,2020-05-10,2020-05-16,115906,NA,NA,NA,198.437,case,2023-06-01
2020,20,Total,4397,2020-05-10,2020-05-16,5562663,NA,NA,NA,79.045,case,2023-06-01
2020,21,0-4,110,2020-05-17,2020-05-23,351664,NA,NA,NA,31.28,case,2023-06-01
2020,21,12-17,187,2020-05-17,2020-05-23,433734,NA,NA,NA,43.114,case,2023-06-01
2020,21,18-49,3036,2020-05-17,2020-05-23,2294817,NA,NA,NA,132.298,case,2023-06-01
2020,21,5-11,128,2020-05-17,2020-05-23,509735,NA,NA,NA,25.111,case,2023-06-01
2020,21,50-64,894,2020-05-17,2020-05-23,1114015,NA,NA,NA,80.25,case,2023-06-01
2020,21,65-74,285,2020-05-17,2020-05-23,490739,NA,NA,NA,58.076,case,2023-06-01
2020,21,75-84,208,2020-05-17,2020-05-23,252053,NA,NA,NA,82.522,case,2023-06-01
2020,21,85+,244,2020-05-17,2020-05-23,115906,NA,NA,NA,210.515,case,2023-06-01
2020,21,Total,5092,2020-05-17,2020-05-23,5562663,NA,NA,NA,91.539,case,2023-06-01
2020,22,0-4,78,2020-05-24,2020-05-30,351664,NA,NA,NA,22.18,case,2023-06-01
2020,22,12-17,150,2020-05-24,2020-05-30,433734,NA,NA,NA,34.583,case,2023-06-01
2020,22,18-49,2036,2020-05-24,2020-05-30,2294817,NA,NA,NA,88.722,case,2023-06-01
