year,week,variant_cat,new_cases,mmwr_startdate,mmwr_enddate,report_date
2020,15,VOI,0,2020-04-05,2020-04-11,2022-10-13
2020,16,Alpha,0,2020-04-12,2020-04-18,2022-10-13
2020,16,Beta,0,2020-04-12,2020-04-18,2022-10-13
2020,16,Delta,0,2020-04-12,2020-04-18,2022-10-13
2020,16,Gamma,0,2020-04-12,2020-04-18,2022-10-13
2020,16,Omicron,0,2020-04-12,2020-04-18,2022-10-13
2020,16,Other,0,2020-04-12,2020-04-18,2022-10-13
2020,16,VOI,0,2020-04-12,2020-04-18,2022-10-13
2020,17,Alpha,0,2020-04-19,2020-04-25,2022-10-13
2020,17,Beta,0,2020-04-19,2020-04-25,2022-10-13
2020,17,Delta,0,2020-04-19,2020-04-25,2022-10-13
2020,17,Gamma,0,2020-04-19,2020-04-25,2022-10-13
2020,17,Omicron,0,2020-04-19,2020-04-25,2022-10-13
2020,17,Other,0,2020-04-19,2020-04-25,2022-10-13
2020,17,VOI,1,2020-04-19,2020-04-25,2022-10-13
2020,18,Alpha,0,2020-04-26,2020-05-02,2022-10-13
2020,18,Beta,0,2020-04-26,2020-05-02,2022-10-13
2020,18,Delta,0,2020-04-26,2020-05-02,2022-10-13
2020,18,Gamma,0,2020-04-26,2020-05-02,2022-10-13
2020,18,Omicron,0,2020-04-26,2020-05-02,2022-10-13
2020,18,Other,0,2020-04-26,2020-05-02,2022-10-13
2020,18,VOI,0,2020-04-26,2020-05-02,2022-10-13
2020,19,Alpha,0,2020-05-03,2020-05-09,2022-10-13
2020,19,Beta,0,2020-05-03,2020-05-09,2022-10-13
2020,19,Delta,0,2020-05-03,2020-05-09,2022-10-13
2020,19,Gamma,0,2020-05-03,2020-05-09,2022-10-13
2020,19,Omicron,0,2020-05-03,2020-05-09,2022-10-13
2020,19,Other,0,2020-05-03,2020-05-09,2022-10-13
2020,19,VOI,0,2020-05-03,2020-05-09,2022-10-13
2020,20,Alpha,0,2020-05-10,2020-05-16,2022-10-13
2020,20,Beta,0,2020-05-10,2020-05-16,2022-10-13
2020,20,Delta,0,2020-05-10,2020-05-16,2022-10-13
2020,20,Gamma,0,2020-05-10,2020-05-16,2022-10-13
2020,20,Omicron,0,2020-05-10,2020-05-16,2022-10-13
2020,20,Other,0,2020-05-10,2020-05-16,2022-10-13
2020,20,VOI,0,2020-05-10,2020-05-16,2022-10-13
2020,21,Alpha,0,2020-05-17,2020-05-23,2022-10-13
2020,21,Beta,0,2020-05-17,2020-05-23,2022-10-13
2020,21,Delta,0,2020-05-17,2020-05-23,2022-10-13
2020,21,Gamma,0,2020-05-17,2020-05-23,2022-10-13
2020,21,Omicron,0,2020-05-17,2020-05-23,2022-10-13
2020,21,Other,0,2020-05-17,2020-05-23,2022-10-13
2020,21,VOI,0,2020-05-17,2020-05-23,2022-10-13
2020,22,Alpha,0,2020-05-24,2020-05-30,2022-10-13
2020,22,Beta,0,2020-05-24,2020-05-30,2022-10-13
2020,22,Delta,0,2020-05-24,2020-05-30,2022-10-13
2020,22,Gamma,0,2020-05-24,2020-05-30,2022-10-13
2020,22,Omicron,0,2020-05-24,2020-05-30,2022-10-13
2020,22,Other,0,2020-05-24,2020-05-30,2022-10-13
2020,22,VOI,0,2020-05-24,2020-05-30,2022-10-13
2020,23,Alpha,0,2020-05-31,2020-06-06,2022-10-13
2020,23,Beta,0,2020-05-31,2020-06-06,2022-10-13
2020,23,Delta,0,2020-05-31,2020-06-06,2022-10-13
2020,23,Gamma,0,2020-05-31,2020-06-06,2022-10-13
