date,day,new_cases,new_tests,new_icu,new_nonicu,new_hosp,new_deaths,positivity,cases_incomplete,deaths_incomplete
2020-09-19,Saturday,912,19202.285714285714,9.571428571428571,28.285714285714285,37.857142857142854,5.857142857142857,0.047494345911201045,FALSE,FALSE
2020-09-20,Sunday,923.8571428571429,19353,10.142857142857142,29.714285714285715,39.857142857142854,6,0.047737154077256386,FALSE,FALSE
2020-09-21,Monday,973,20111.571428571428,11.571428571428571,31.857142857142858,43.42857142857143,6.714285714285714,0.04838010811117978,FALSE,FALSE
2020-09-22,Tuesday,1016.4285714285714,20893.285714285714,11.857142857142858,35.285714285714285,47.142857142857146,6.857142857142857,0.04864857473009101,FALSE,FALSE
2020-09-23,Wednesday,1033,21721.85714285714,12.285714285714286,38.142857142857146,50.42857142857143,6.857142857142857,0.04755578646919166,FALSE,FALSE
2020-09-24,Thursday,1050.142857142857,22228,14.428571428571429,37.42857142857143,51.857142857142854,7.285714285714286,0.047244145093704205,FALSE,FALSE
2020-09-25,Friday,1046.7142857142858,22595.85714285714,15.142857142857142,39.57142857142857,54.714285714285715,8,0.04632328302912671,FALSE,FALSE
2020-09-26,Saturday,1054.5714285714287,22820.714285714286,15.857142857142858,42.42857142857143,58.285714285714285,8.714285714285714,0.04621114901874863,FALSE,FALSE
2020-09-27,Sunday,1055.857142857143,22831.14285714286,15.142857142857142,44,59.142857142857146,9.428571428571429,0.04624635522907307,FALSE,FALSE
2020-09-28,Monday,1057.2857142857142,23270.14285714286,14.142857142857142,45.142857142857146,59.285714285714285,10,0.045435291084221965,FALSE,FALSE
2020-09-29,Tuesday,1028.2857142857142,23635.714285714286,13.714285714285714,45.42857142857143,59.142857142857146,9.571428571428571,0.04350559081293442,FALSE,FALSE
2020-09-30,Wednesday,1021.8571428571429,23729.571428571428,13.142857142857142,43.142857142857146,56.285714285714285,10.571428571428571,0.043062604224987505,FALSE,FALSE
2020-10-01,Thursday,1023.4285714285714,23718,11.571428571428571,44.57142857142857,56.142857142857146,10.428571428571429,0.043149868092949295,FALSE,FALSE
2020-10-02,Friday,1036.4285714285713,23904.428571428572,12.857142857142858,42.714285714285715,55.57142857142857,10.714285714285714,0.043357178287346636,FALSE,FALSE
2020-10-03,Saturday,1042.5714285714287,24032.85714285714,13.142857142857142,41,54.142857142857146,10.714285714285714,0.04338108541877192,FALSE,FALSE
2020-10-04,Sunday,1057.7142857142858,24247.714285714286,13.428571428571429,41.42857142857143,54.857142857142854,9.714285714285714,0.04362119551769239,FALSE,FALSE
2020-10-05,Monday,1097.4285714285713,24939.85714285714,13.571428571428571,46.857142857142854,60.42857142857143,9.571428571428571,0.04400300150648131,FALSE,FALSE
2020-10-06,Tuesday,1162,25551,15.285714285714286,46.857142857142854,62.142857142857146,10.714285714285714,0.045477672106766856,FALSE,FALSE
2020-10-07,Wednesday,1224.4285714285713,25957,17,50.142857142857146,67.14285714285714,11.142857142857142,0.04717142086637791,FALSE,FALSE
2020-10-08,Thursday,1290.2857142857142,26660.428571428572,18,51,69,11.428571428571429,0.048397035735145186,FALSE,FALSE
2020-10-09,Friday,1355.7142857142858,26704.714285714286,16.714285714285715,53.57142857142857,70.28571428571429,12,0.05076685229467242,FALSE,FALSE
2020-10-10,Saturday,1381.5714285714287,26660.571428571428,16.857142857142858,54.142857142857146,71,13,0.05182077331961591,FALSE,FALSE
2020-10-11,Sunday,1401.2857142857142,26657.714285714286,17.142857142857142,55.857142857142854,73,14.285714285714286,0.05256586139632591,FALSE,FALSE
2020-10-12,Monday,1455.857142857143,26618.428571428572,17.714285714285715,53.57142857142857,71.28571428571429,15.714285714285714,0.05469357963602016,FALSE,FALSE
2020-10-13,Tuesday,1500.7142857142858,26599.285714285714,17,55.142857142857146,72.14285714285714,15.857142857142858,0.05641934531002444,FALSE,FALSE
2020-10-14,Wednesday,1545,26550.428571428572,15.714285714285714,55.714285714285715,71.42857142857143,14.571428571428571,0.05819115107100773,FALSE,FALSE
2020-10-15,Thursday,1551,26140.85714285714,15.714285714285714,59.57142857142857,75.28571428571429,14.571428571428571,0.05933240794377712,FALSE,FALSE
2020-10-16,Friday,1534.857142857143,25896.85714285714,17.142857142857142,61.285714285714285,78.42857142857143,13.857142857142858,0.05926808548196692,FALSE,FALSE
2020-10-17,Saturday,1537.857142857143,25883.714285714286,16.857142857142858,62.285714285714285,79.14285714285714,14.142857142857142,0.0594140827657766,FALSE,FALSE
2020-10-18,Sunday,1533.142857142857,25844.571428571428,18.714285714285715,62.714285714285715,81.42857142857143,15.428571428571429,0.05932165914919961,FALSE,FALSE
2020-10-19,Monday,1584.857142857143,25992.285714285714,19,65.71428571428571,84.71428571428571,15.142857142857142,0.06097413518296638,FALSE,FALSE
2020-10-20,Tuesday,1652,26317.428571428572,19.857142857142858,65.57142857142857,85.42857142857143,15.285714285714286,0.06277209019552496,FALSE,FALSE
2020-10-21,Wednesday,1726.7142857142858,26277.85714285714,20.857142857142858,68.57142857142857,89.42857142857143,17.285714285714285,0.06570985892522221,FALSE,FALSE
2020-10-22,Thursday,1786.4285714285713,26041.285714285714,21.857142857142858,68.57142857142857,90.42857142857143,18.571428571428573,0.06859986066081881,FALSE,FALSE
2020-10-23,Friday,1906.7142857142858,26590.14285714286,20.428571428571427,74.57142857142857,95,19.571428571428573,0.07170756080394991,FALSE,FALSE
2020-10-24,Saturday,1985.857142857143,26812.14285714286,20.571428571428573,79,99.57142857142857,18.142857142857142,0.07406558861922903,FALSE,FALSE
2020-10-25,Sunday,2091.1428571428573,27099.571428571428,21.428571428571427,80.14285714285714,101.57142857142857,17,0.07716516339214642,FALSE,FALSE
2020-10-26,Monday,2288.285714285714,27627.571428571428,21.714285714285715,83.14285714285714,104.85714285714286,18,0.08282616227060959,FALSE,FALSE
2020-10-27,Tuesday,2473.8571428571427,28262.14285714286,22.142857142857142,89.85714285714286,112,19.142857142857142,0.08753253974271488,FALSE,FALSE
2020-10-28,Wednesday,2632.285714285714,28554.714285714286,22.714285714285715,95.14285714285714,117.85714285714286,19.857142857142858,0.09218392759764463,FALSE,FALSE
2020-10-29,Thursday,2863.4285714285716,29671.428571428572,22.571428571428573,99.28571428571429,121.85714285714286,19.857142857142858,0.0965045739046702,FALSE,FALSE
2020-10-30,Friday,3113.8571428571427,30949.285714285714,23.714285714285715,101.42857142857143,125.14285714285714,21,0.10061159962150061,FALSE,FALSE
2020-10-31,Saturday,3247.714285714286,31337.85714285714,24.857142857142858,105.42857142857143,130.28571428571428,23.428571428571427,0.10363549335582249,FALSE,FALSE
2020-11-01,Sunday,3376.8571428571427,31929.285714285714,24.428571428571427,113.42857142857143,137.85714285714286,24,0.10576049752801951,FALSE,FALSE
2020-11-02,Monday,3660.714285714286,32982.57142857143,25.857142857142858,118.42857142857143,144.28571428571428,24,0.11098935368462998,FALSE,FALSE
2020-11-03,Tuesday,3982.285714285714,34221.142857142855,28.428571428571427,124,152.42857142857142,24.285714285714285,0.11636916192161904,FALSE,FALSE
2020-11-04,Wednesday,4453,36144.28571428572,28.428571428571427,128,156.42857142857142,24.857142857142858,0.12320066400537528,FALSE,FALSE
2020-11-05,Thursday,4978.571428571428,37810.142857142855,29.857142857142858,138.85714285714286,168.71428571428572,27.714285714285715,0.13167290711864918,FALSE,FALSE
2020-11-06,Friday,5446.714285714285,39234.857142857145,32.285714285714285,145.14285714285714,177.42857142857142,29.428571428571427,0.138823349499716,FALSE,FALSE
2020-11-07,Saturday,5732.428571428572,40342.71428571428,34.142857142857146,152.71428571428572,186.85714285714286,31.857142857142858,0.14209327936713656,FALSE,FALSE
2020-11-08,Sunday,5986.142857142857,41240.142857142855,36,157.28571428571428,193.28571428571428,35.57142857142857,0.14515330070215912,FALSE,FALSE
2020-11-09,Monday,6479,43355.42857142857,37.57142857142857,165,202.57142857142858,37.285714285714285,0.14943918705187684,FALSE,FALSE
2020-11-10,Tuesday,6826.714285714285,45419.28571428572,37.285714285714285,173.71428571428572,211,38.714285714285715,0.1503043074842342,FALSE,FALSE
2020-11-11,Wednesday,6942,46030.42857142857,38.714285714285715,181.85714285714286,220.57142857142858,40.142857142857146,0.15081328189737844,FALSE,FALSE
2020-11-12,Thursday,6943,47295,39,186.57142857142858,225.57142857142858,41.142857142857146,0.14680198752510837,FALSE,FALSE
2020-11-13,Friday,6958.428571428572,49546.857142857145,37.285714285714285,193.42857142857142,230.71428571428572,41.285714285714285,0.1404413715155639,FALSE,FALSE
2020-11-14,Saturday,6955.142857142857,50353.28571428572,37.285714285714285,200,237.28571428571428,42.142857142857146,0.13812689198888992,FALSE,FALSE
2020-11-15,Sunday,6928.571428571428,50887,37.285714285714285,206.28571428571428,243.57142857142858,42,0.13615602076309133,FALSE,FALSE
2020-11-16,Monday,6870.285714285715,52850.142857142855,38.42857142857143,214.57142857142858,253,45.57142857142857,0.12999559401109878,FALSE,FALSE
2020-11-17,Tuesday,6805.142857142857,54333.57142857143,38.142857142857146,218.42857142857142,256.57142857142856,48.57142857142857,0.12524747919597198,FALSE,FALSE
2020-11-18,Wednesday,6782.571428571428,56597.142857142855,38.142857142857146,224.28571428571428,262.42857142857144,51.142857142857146,0.11983946690898077,FALSE,FALSE
2020-11-19,Thursday,6721.285714285715,58733.42857142857,39.714285714285715,231.57142857142858,271.2857142857143,53.285714285714285,0.11443714214830202,FALSE,FALSE
2020-11-20,Friday,6624.428571428572,59971.142857142855,42.857142857142854,226,268.85714285714283,56.57142857142857,0.11046026898651257,FALSE,FALSE
2020-11-21,Saturday,6529.285714285715,60623.42857142857,42.142857142857146,223.57142857142858,265.7142857142857,58,0.1077023498694517,FALSE,FALSE
2020-11-22,Sunday,6418,61177.42857142857,43.142857142857146,222.42857142857142,265.57142857142856,61,0.10490797259493465,FALSE,FALSE
2020-11-23,Monday,6310.428571428572,62570.28571428572,42,217.57142857142858,259.57142857142856,60.57142857142857,0.10085344024548394,FALSE,FALSE
2020-11-24,Tuesday,6220.714285714285,61997.71428571428,41.714285714285715,217.28571428571428,259,62.42857142857143,0.1003378004719068,FALSE,FALSE
2020-11-25,Wednesday,5998,60826,42.57142857142857,208,250.57142857142858,64,0.09860914740407063,FALSE,FALSE
2020-11-26,Thursday,5108.285714285715,51674.142857142855,42.142857142857146,192.28571428571428,234.42857142857142,63.142857142857146,0.09885574161158248,FALSE,FALSE
2020-11-27,Friday,4906.142857142857,48368.71428571428,43,195.42857142857142,238.42857142857142,64,0.10143215360578414,FALSE,FALSE
2020-11-28,Saturday,4963.714285714285,47254.57142857143,44.857142857142854,191.28571428571428,236.14285714285714,64.57142857142857,0.10504199140219238,FALSE,FALSE
2020-11-29,Sunday,4973.857142857143,46129.42857142857,42.42857142857143,190.28571428571428,232.71428571428572,64.71428571428571,0.10782394876527535,FALSE,FALSE
