year,week,mmwr_startdate,mmwr_enddate,report_date,sex,pop_size,new_deaths,new_deaths_7day
2020,37,2020-09-06,2020-09-12,2022-12-29,Female,2792505,26,0.9
2020,37,2020-09-06,2020-09-12,2022-12-29,Male,2770873,33,1.2
2020,37,2020-09-06,2020-09-12,2022-12-29,Total,5563378,59,1.1
2020,38,2020-09-13,2020-09-19,2022-12-29,Female,2792505,22,0.8
2020,38,2020-09-13,2020-09-19,2022-12-29,Male,2770873,19,0.7
2020,38,2020-09-13,2020-09-19,2022-12-29,Total,5563378,41,0.7
2020,39,2020-09-20,2020-09-26,2022-12-29,Female,2792505,28,1
2020,39,2020-09-20,2020-09-26,2022-12-29,Male,2770873,34,1.2
2020,39,2020-09-20,2020-09-26,2022-12-29,Total,5563378,62,1.1
2020,40,2020-09-27,2020-10-03,2022-12-29,Female,2792505,30,1.1
2020,40,2020-09-27,2020-10-03,2022-12-29,Male,2770873,44,1.6
2020,40,2020-09-27,2020-10-03,2022-12-29,Total,5563378,74,1.3
2020,41,2020-10-04,2020-10-10,2022-12-29,Female,2792505,44,1.6
2020,41,2020-10-04,2020-10-10,2022-12-29,Male,2770873,47,1.7
2020,41,2020-10-04,2020-10-10,2022-12-29,Total,5563378,91,1.6
2020,42,2020-10-11,2020-10-17,2022-12-29,Female,2792505,41,1.5
2020,42,2020-10-11,2020-10-17,2022-12-29,Male,2770873,58,2.1
2020,42,2020-10-11,2020-10-17,2022-12-29,Total,5563378,99,1.8
2020,43,2020-10-18,2020-10-24,2022-12-29,Female,2792505,54,1.9
2020,43,2020-10-18,2020-10-24,2022-12-29,Male,2770873,73,2.6
2020,43,2020-10-18,2020-10-24,2022-12-29,Total,5563378,127,2.3
2020,44,2020-10-25,2020-10-31,2022-12-29,Female,2792505,83,3
2020,44,2020-10-25,2020-10-31,2022-12-29,Male,2770873,81,2.9
2020,44,2020-10-25,2020-10-31,2022-12-29,Total,5563378,164,2.9
2020,45,2020-11-01,2020-11-07,2022-12-29,Female,2792505,97,3.5
2020,45,2020-11-01,2020-11-07,2022-12-29,Male,2770873,124,4.5
2020,45,2020-11-01,2020-11-07,2022-12-29,Total,5563378,221,4
2020,46,2020-11-08,2020-11-14,2022-12-29,Female,2792505,153,5.5
2020,46,2020-11-08,2020-11-14,2022-12-29,Male,2770873,141,5.1
2020,46,2020-11-08,2020-11-14,2022-12-29,Total,5563378,294,5.3
2020,47,2020-11-15,2020-11-21,2022-12-29,Female,2792505,183,6.6
2020,47,2020-11-15,2020-11-21,2022-12-29,Male,2770873,221,8
2020,47,2020-11-15,2020-11-21,2022-12-29,Total,5563378,404,7.3
2020,48,2020-11-22,2020-11-28,2022-12-29,Female,2792505,182,6.5
2020,48,2020-11-22,2020-11-28,2022-12-29,Male,2770873,269,9.7
2020,48,2020-11-22,2020-11-28,2022-12-29,Total,5563378,451,8.1
2020,49,2020-11-29,2020-12-05,2022-12-29,Female,2792505,255,9.1
2020,49,2020-11-29,2020-12-05,2022-12-29,Male,2770873,236,8.5
2020,49,2020-11-29,2020-12-05,2022-12-29,Total,5563378,491,8.8
2020,50,2020-12-06,2020-12-12,2022-12-29,Female,2792505,235,8.4
2020,50,2020-12-06,2020-12-12,2022-12-29,Male,2770873,264,9.5
