date,day,cases_7day,tests_7day,deaths_7day,deaths_ltc_7day,new_hosp_7day,positive_rate_7day,positive_rate_7day_pcr,active_cases_7day,new_vaccine_doses_7day,new_vaccines_1x_7day,new_vaccines_full_7day,new_boosters_7day,antigens_7day,antigen_tests_7day,case_growthrate_7day,test_growthrate_7day,tested_people_growthrate_7day,hosp_growthrate_7day,death_growthrate_7day,case_doubling_time,test_doubling_time,hosp_doubling_time,deaths_doubling_time
2021-09-13,Monday,1676.4285714285713,28532,6.714285714285714,1.4285714285714286,85.42857142857143,0.058756083395085215,0.06362296734831054,13762.75,7797.5,2785.285714285714,4161.857142857143,NA,270.14285714285717,6428.571428571428,NA,0.0024439485672856443,0.0029416655075673276,0.00238499848905208,8.528217873646771e-4,NA,283.61774459508564,290.6279327813903,812.7690812190133
2021-09-14,Tuesday,1508.7142857142858,28947.714285714286,7.142857142857143,1.7142857142857142,69.85714285714286,0.052118598063503656,0.054882489661243435,13821.5,8434.916666666666,2473.285714285714,3674.285714285714,NA,270.7142857142857,6390.428571428572,NA,0.002462267513053768,0.0029657457014514244,0.001941765014024385,9.060774371989171e-4,NA,281.5076659563632,356.96759162601774,764.9977276807238
2021-09-15,Wednesday,1807.142857142857,33836.42857142857,9,2,106,0.05340820333115197,0.05587981274376592,13754.2,7956.833333333333,2841.714285714286,4216.571428571428,NA,356,7867.428571428572,NA,0.0028735229843973426,0.003448181260700852,0.0029378201631964362,0.0016460828518726686,NA,241.21859624008454,235.93928220772383,421.08887761717784
2021-09-16,Thursday,1988.4285714285713,34767.857142857145,9.714285714285714,2,96.85714285714286,0.057191576784797124,0.05855703634865989,14094,10036.333333333334,2593.4285714285716,3746.285714285714,NA,404.14285714285717,7712.428571428572,NA,0.002944029214673627,0.0035657733346717052,0.0026738213870385963,0.0017339925654508306,NA,235.4416787391789,259.2346608939514,399.74057234768475
2021-09-17,Friday,2073.4285714285716,35560.42857142857,9,1.5714285714285714,95.71428571428571,0.0583071873631605,0.06035656959993519,14541.2,8112.888888888889,2870.5714285714284,4151.285714285715,NA,370.57142857142856,7347.142857142857,NA,0.0030001390992409377,0.003683686170490181,0.0026339626172149355,0.0016404371533892878,NA,231.0383477670478,263.15756192958276,422.5380893915028
2021-09-20,Monday,2042.142857142857,35502.857142857145,8.857142857142858,1.4285714285714286,94.57142857142857,0.05752052148720425,0.060007731119791664,15227.4,7054.636363636364,2911.8571428571427,4218.428571428572,NA,356.7142857142857,7416,NA,0.0029836909535894763,0.003637817520437268,0.0025947139175071915,0.0016202722081735757,NA,232.31198919112816,267.13819041209354,427.79674740041594
2021-09-21,Tuesday,2292,37211.28571428572,9.714285714285714,1.7142857142857142,98.14285714285714,0.061594216808264775,0.06470249529440797,15997.6,7565.181818181818,2734,3913.5714285714284,1027.857142857143,381.7142857142857,7687.142857142857,NA,0.0031044736555235924,0.0037290767031909083,0.0026853682439800875,0.0017250664573253336,NA,223.27365520614828,258.1199737182433,401.8089724117935
2021-09-22,Wednesday,2228.1428571428573,37110.857142857145,9.857142857142858,1.8571428571428572,97.28571428571429,0.06004018847006652,0.06384760914460667,16603.8,8801.555555555555,2704.714285714286,3821.4285714285716,1024.5714285714287,333.42857142857144,7435.285714285715,NA,0.0030873880545303806,0.0037033391439854784,0.0026436774765383436,0.0012347177646588087,NA,224.50925128858776,262.1905231297574,561.3810705570302
2021-09-23,Thursday,2221,38568,11.285714285714286,1.8571428571428572,99.85714285714286,0.05758660029039618,0.061635184689570334,17171.4,7472.333333333333,3142.4285714285716,4411.428571428572,1011.4285714285714,345.7142857142857,8142.428571428572,NA,0.0031973225584726833,0.0037878562868437333,0.002705182091076682,0.0014105714754218163,NA,216.78988212282596,256.2293986960662,491.39458200986735
2021-09-24,Friday,2271.285714285714,39077.57142857143,13.285714285714286,2.7142857142857144,99.42857142857143,0.05812248896882757,0.06161437130170687,17741.2,7415.444444444444,2607.1428571428573,3644.8571428571427,1253.857142857143,364.2857142857143,8127,NA,0.003226727943279067,0.0037999426948036913,0.0026856790924346834,0.00165676251568736,NA,214.81426161250985,258.0900981477938,418.37449483360103
