date,day,new_cases,new_tests,new_deaths,new_ltc_deaths,new_hosp,positivity,positivity_pcr,active_cases,new_vax_doses,new_vax_onedose,new_vax_complete,new_vax_boosted,new_antigen_cases,new_antigen_tests
2021-01-30,Saturday,1019.2857142857143,30474.428571428572,17.714285714285715,9.857142857142858,57.714285714285715,0.037174758025519956,0.03641730815689245,10111.285714285714,28359.14285714286,21720.14285714286,6520.857142857143,NA,151.71428571428572,3523.4285714285716
2021-01-31,Sunday,990.7142857142857,29868.714285714286,15,7.714285714285714,60.57142857142857,0.03614092659995543,0.035321600856934046,9883.142857142857,31349.714285714286,24412,6932.857142857143,NA,148.42857142857142,3488.4285714285716
2021-02-01,Monday,981.1428571428571,29840.428571428572,14.857142857142858,7.714285714285714,60,0.03518762738280781,0.03426270681247373,9669.42857142857,31986.571428571428,24991,6973.142857142857,NA,148,3492.4285714285716
2021-02-02,Tuesday,967.7142857142857,29768.428571428572,14.857142857142858,8,61.857142857142854,0.03421751495197547,0.033072121330615586,9460.714285714286,30355.714285714286,23309.85714285714,7051.571428571428,NA,145.28571428571428,3334
2021-02-03,Wednesday,941.7142857142857,29813.285714285714,15.714285714285714,8.428571428571429,60,0.033431173045003135,0.03224630021141648,9228.142857142857,29494.428571428572,22480.14285714286,7041.857142857143,NA,147,3439.1428571428573
2021-02-04,Thursday,952.4285714285714,30187.571428571428,15.857142857142858,7.857142857142857,62.714285714285715,0.0327428469374345,0.031464485311135305,9035.142857142857,28257.285714285714,22121.85714285714,6211,NA,145.28571428571428,3387.1428571428573
2021-02-05,Friday,939.4285714285714,29088.85714285714,15,7,59.57142857142857,0.03249317292789136,0.031213449840030206,8849.57142857143,27550.14285714286,21743.85714285714,5910,NA,146.85714285714286,3480.5714285714284
2021-02-06,Saturday,931.2857142857143,29396.571428571428,14.571428571428571,6.285714285714286,59.57142857142857,0.032238431540645464,0.031005801562870007,8691.714285714286,26460.85714285714,20576,5994.285714285715,NA,145.42857142857142,3509.285714285714
2021-02-07,Sunday,919.5714285714286,29031.714285714286,14.142857142857142,6,62.42857142857143,0.032025232293804766,0.030974982522526305,8566.57142857143,25804.285714285714,19400.428571428572,6417.571428571428,NA,134.71428571428572,3345.8571428571427
2021-02-08,Monday,896.2857142857143,28672.14285714286,14.285714285714286,6,61.142857142857146,0.03179488246596056,0.030909736945885898,8450,24013.14285714286,16365.714285714286,6073.571428571428,NA,127.71428571428571,3289.285714285714
2021-02-09,Tuesday,889.5714285714286,28671.714285714286,14,6.285714285714286,59.42857142857143,0.03158365253798204,0.03060315053623649,8355.57142857143,23801.85714285714,17364.85714285714,6457.714285714285,NA,126.85714285714286,3207.5714285714284
2021-02-10,Wednesday,890.7142857142857,28560.85714285714,12.142857142857142,5.285714285714286,61.57142857142857,0.031527448209667526,0.030837434575423792,8286.57142857143,24374.85714285714,17850.14285714286,6556.857142857143,NA,111.42857142857143,2962.5714285714284
2021-02-11,Thursday,818.8571428571429,27413.714285714286,13.142857142857142,5.857142857142857,60.57142857142857,0.031297813634323456,0.030710333716989526,8153.571428571428,24656.428571428572,17716.85714285714,6935,NA,113.28571428571429,3140
2021-02-12,Friday,819.4285714285714,28102.285714285714,12.714285714285714,7.285714285714286,61.42857142857143,0.030851864586334113,0.030255120890931863,8025.428571428572,24544.571428571428,17150.428571428572,7384.285714285715,NA,108.71428571428571,3030.1428571428573
2021-02-13,Saturday,810,27563.285714285714,11.428571428571429,6.857142857142857,61.42857142857143,0.030524994408813153,0.0298031356204583,7909,25488,16658.285714285714,8812.714285714286,NA,108.42857142857143,2953
2021-02-14,Sunday,790.7142857142857,27407.85714285714,11,6.428571428571429,58.714285714285715,0.030121266302137926,0.029242877188701118,7776.428571428572,25450.428571428572,15297.857142857143,10130.42857142857,NA,111.42857142857143,2967.714285714286
2021-02-15,Monday,797.4285714285714,27362.571428571428,10.857142857142858,6.285714285714286,59.57142857142857,0.029816722027920822,0.028961027955648106,7657,26787,16978.14285714286,11334.42857142857,NA,112.57142857142857,3063.5714285714284
2021-02-16,Tuesday,778.8571428571429,27241.14285714286,10.285714285714286,5.571428571428571,54.285714285714285,0.02946526975527493,0.028634856427516075,7538.285714285715,27881.14285714286,16720.85714285714,11127.857142857143,NA,110.71428571428571,3064.1428571428573
2021-02-17,Wednesday,794,27474.571428571428,10.142857142857142,5.142857142857143,51.857142857142854,0.029129245866710982,0.027766810442227802,7416.142857142857,27176,16003.857142857143,11133.714285714286,NA,116.71428571428571,2853.5714285714284
2021-02-18,Thursday,797,26353.285714285714,8.714285714285714,4.428571428571429,50.285714285714285,0.02917641091056929,0.027863421536625074,7307,28309.571428571428,15869.57142857143,12411.857142857143,NA,119.85714285714286,3012.4285714285716
2021-02-19,Friday,788.8571428571429,26623.14285714286,7.142857142857143,2.5714285714285716,45.857142857142854,0.029242636904300994,0.02789629701416535,7205.714285714285,29626.14285714286,15740.714285714286,13805.857142857143,NA,124.14285714285714,3140
2021-02-20,Saturday,777.4285714285714,26822,7.714285714285714,2.857142857142857,44.285714285714285,0.029185081872192438,0.027706449110932722,7105.714285714285,29659.285714285714,14416.57142857143,15182,NA,122.85714285714286,2991.1428571428573
2021-02-21,Sunday,793.4285714285714,27023.85714285714,8,3,42.714285714285715,0.02925877861671749,0.027787629934793882,7042.285714285715,29692.571428571428,13345,16254.42857142857,NA,124.42857142857143,3049.1428571428573
2021-02-22,Monday,786.2857142857143,26946.85714285714,7.857142857142857,3.142857142857143,40.142857142857146,0.02926419250049645,0.02765320101690988,6984.142857142857,29078.285714285714,12059.714285714286,16972.428571428572,NA,125.57142857142857,2972.285714285714
2021-02-23,Tuesday,794.4285714285714,26951.85714285714,7.714285714285714,3.142857142857143,40.714285714285715,0.02939191676743571,0.02750159744408946,6937.714285714285,28361.714285714286,10839.857142857143,17447,NA,131.42857142857142,2931
2021-02-24,Wednesday,791.2857142857143,26596,7.571428571428571,3,41.714285714285715,0.029515283106788418,0.028025052485484144,6930,28498.571428571428,10627.42857142857,17792.85714285714,NA,138.71428571428572,3526.714285714286
2021-02-25,Thursday,801,27775.285714285714,6.571428571428571,2.4285714285714284,40.57142857142857,0.02931410193820189,0.02764331912898377,6935.142857142857,27947.428571428572,10415.57142857143,17447.714285714286,NA,135.85714285714286,3285
2021-02-26,Friday,823.5714285714286,26987.571428571428,7.142857142857143,2.4285714285714284,45,0.02944118260301997,0.027901172904653816,6927.428571428572,28086.571428571428,10947.857142857143,17064.14285714286,NA,129.57142857142858,3152.8571428571427
2021-02-27,Saturday,815.2857142857143,26354.571428571428,7.428571428571429,2.7142857142857144,41.142857142857146,0.029714824923586777,0.028349560937451335,6945.428571428572,29993.571428571428,13425,16505,NA,132.14285714285714,3363.4285714285716
