date,day,total_tests_old,total_deaths_old,total_recovered_old,total_people_tested,total_healthcare_positives
2021-10-18,Monday,NA,NA,726330,NA,48603
2021-10-19,Tuesday,NA,NA,736234,NA,48772
2021-10-20,Wednesday,NA,NA,739119,NA,48879
2021-10-21,Thursday,NA,NA,740705,NA,48946
2021-10-22,Friday,NA,NA,742063,NA,48998
2021-10-25,Monday,NA,NA,745745,NA,49040
2021-10-26,Tuesday,NA,NA,753961,NA,49197
2021-10-27,Wednesday,NA,NA,756146,NA,49272
2021-10-28,Thursday,NA,NA,757360,NA,49345
2021-10-29,Friday,NA,NA,758496,NA,NA
2021-11-01,Monday,NA,NA,768921,NA,NA
2021-11-02,Tuesday,NA,NA,776476,NA,NA
2021-11-03,Wednesday,NA,NA,778784,NA,NA
2021-11-04,Thursday,NA,NA,780030,NA,NA
2021-11-05,Friday,NA,NA,781378,NA,NA
2021-11-08,Monday,NA,NA,784990,NA,NA
2021-11-09,Tuesday,NA,NA,794269,NA,NA
2021-11-10,Wednesday,NA,NA,797121,NA,NA
2021-11-11,Thursday,NA,NA,798603,NA,NA
2021-11-12,Friday,NA,NA,800241,NA,NA
2021-11-15,Monday,NA,NA,804583,NA,NA
2021-11-16,Tuesday,NA,NA,816736,NA,NA
2021-11-17,Wednesday,NA,NA,820787,NA,NA
2021-11-18,Thursday,NA,NA,822882,NA,NA
2021-11-19,Friday,NA,NA,825017,NA,NA
2021-11-22,Monday,NA,NA,830928,NA,NA
2021-11-23,Tuesday,NA,NA,845128,NA,NA
2021-11-24,Wednesday,NA,NA,849419,NA,NA
2021-11-25,Thursday,NA,NA,851607,NA,NA
2021-11-29,Monday,NA,NA,859647,NA,NA
2021-11-30,Tuesday,NA,NA,874593,NA,NA
2021-12-01,Wednesday,NA,NA,879025,NA,NA
2021-12-02,Thursday,NA,NA,881400,NA,NA
2021-12-03,Friday,NA,NA,883597,NA,NA
2021-12-06,Monday,NA,NA,889177,NA,NA
2021-12-07,Tuesday,NA,NA,899486,NA,NA
2021-12-08,Wednesday,NA,NA,902903,NA,NA
2021-12-09,Thursday,NA,NA,905872,NA,NA
2021-12-10,Friday,NA,NA,908526,NA,NA
2021-12-13,Monday,NA,NA,915474,NA,NA
2021-12-14,Tuesday,NA,NA,931834,NA,NA
2021-12-15,Wednesday,NA,NA,936224,NA,NA
2021-12-16,Thursday,NA,NA,938466,NA,NA
2021-12-17,Friday,NA,NA,940628,NA,NA
2021-12-20,Monday,NA,NA,945423,NA,NA
2021-12-21,Tuesday,NA,NA,957082,NA,NA
2021-12-22,Wednesday,NA,NA,959776,NA,NA
2021-12-23,Thursday,NA,NA,961306,NA,NA
2021-12-24,Friday,NA,NA,963896,NA,NA
2021-12-28,Tuesday,NA,NA,977944,NA,NA
2021-12-29,Wednesday,NA,NA,980822,NA,NA
2021-12-30,Thursday,NA,NA,982689,NA,NA
2021-12-31,Friday,NA,NA,985275,NA,NA
2022-01-04,Tuesday,NA,NA,1003411,NA,NA
2022-01-05,Wednesday,NA,NA,1005213,NA,NA
2022-01-06,Thursday,NA,NA,1005849,NA,NA
2022-01-07,Friday,NA,NA,1009237,NA,NA
2022-01-10,Monday,NA,NA,1017409,NA,NA
2022-01-11,Tuesday,NA,NA,1048033,NA,NA
2022-01-12,Wednesday,NA,NA,1052376,NA,NA
2022-01-13,Thursday,NA,NA,1054656,NA,NA
2022-01-14,Friday,NA,NA,1059870,NA,NA
2022-01-17,Monday,NA,NA,1073545,NA,NA
2022-01-19,Wednesday,NA,NA,1135053,NA,NA
2022-01-20,Thursday,NA,NA,1142344,NA,NA
2022-01-21,Friday,NA,NA,1148516,NA,NA
2022-01-24,Monday,NA,NA,1165441,NA,NA
2022-01-25,Tuesday,NA,NA,1211499,NA,NA
2022-01-26,Wednesday,NA,NA,1222393,NA,NA
2022-01-27,Thursday,NA,NA,1228712,NA,NA
2022-01-28,Friday,NA,NA,1234940,NA,NA
2022-01-31,Monday,NA,NA,1248912,NA,NA
2022-02-01,Tuesday,NA,NA,1285255,NA,NA
2022-02-02,Wednesday,NA,NA,1294284,NA,NA
2022-02-03,Thursday,NA,NA,1299014,NA,NA
2022-02-04,Friday,NA,NA,1303961,NA,NA
2022-02-07,Monday,NA,NA,1314053,NA,NA
2022-02-08,Tuesday,NA,NA,1335988,NA,NA
2022-02-09,Wednesday,NA,NA,1342411,NA,NA
2022-02-10,Thursday,NA,NA,1346262,NA,NA
2022-02-11,Friday,NA,NA,1349920,NA,NA
2022-02-14,Monday,NA,NA,1356572,NA,NA
2022-02-15,Tuesday,NA,NA,1369052,NA,NA
2022-02-16,Wednesday,NA,NA,1372175,NA,NA
2022-02-17,Thursday,NA,NA,1373839,NA,NA
2022-02-18,Friday,NA,NA,1375508,NA,NA
2022-02-21,Monday,NA,NA,1379406,NA,NA
2022-02-22,Tuesday,NA,NA,1388795,NA,NA
2022-02-24,Thursday,NA,NA,1389641,NA,NA
2022-02-25,Friday,NA,NA,1390540,NA,NA
2022-02-28,Monday,NA,NA,1392601,NA,NA
2022-03-01,Tuesday,NA,NA,1397019,NA,NA
2022-03-02,Wednesday,NA,NA,1398048,NA,NA
2022-03-03,Thursday,NA,NA,1398659,NA,NA
2022-03-04,Friday,NA,NA,1399260,NA,NA
2022-03-07,Monday,NA,NA,1400456,NA,NA
2022-03-08,Tuesday,NA,NA,1403236,NA,NA
2022-03-09,Wednesday,NA,NA,1404071,NA,NA
2022-03-10,Thursday,NA,NA,1404496,NA,NA
2022-03-11,Friday,NA,NA,1404873,NA,NA
2022-03-14,Monday,NA,NA,1405731,NA,NA
2022-03-15,Tuesday,NA,NA,1407687,NA,NA
2022-03-16,Wednesday,NA,NA,1408191,NA,NA
2022-03-17,Thursday,NA,NA,1408424,NA,NA
2022-03-18,Friday,NA,NA,1408700,NA,NA
2022-03-21,Monday,NA,NA,1409264,NA,NA
2022-03-22,Tuesday,NA,NA,1410626,NA,NA
2022-03-23,Wednesday,NA,NA,1411004,NA,NA
