date,geoid,county,region,pop,cases,deaths
2021-03-26,27001,Aitkin,Northeast,15902,1207,36
2021-03-26,27003,Anoka,Metro suburbs,353813,35010,405
2021-03-26,27005,Becker,West Central,34371,3252,48
2021-03-26,27007,Beltrami,Northwest,46847,3502,54
2021-03-26,27009,Benton,East Central,40545,4837,95
2021-03-26,27011,Big Stone,Southwest,4989,538,4
2021-03-26,27013,Blue Earth,Southeast,67427,6429,38
2021-03-26,27015,Brown,Southeast,25111,2698,39
2021-03-26,27017,Carlton,Northeast,35837,3102,51
2021-03-26,27019,Carver,Metro suburbs,103551,8624,41
2021-03-26,27021,Cass,East Central,29519,2294,26
2021-03-26,27023,Chippewa,Southwest,11924,1416,35
2021-03-26,27025,Chisago,East Central,55922,5160,48
2021-03-26,27027,Clay,West Central,63955,7239,89
2021-03-26,27029,Clearwater,Northwest,8810,734,14
2021-03-26,27031,Cook,Northeast,5393,136,0
2021-03-26,27033,Cottonwood,Southwest,11277,1436,20
2021-03-26,27035,Crow Wing,East Central,64889,5439,85
2021-03-26,27037,Dakota,Metro suburbs,425423,38652,408
2021-03-26,27039,Dodge,Southeast,20822,1596,4
2021-03-26,27041,Douglas,West Central,37964,4102,70
2021-03-26,27043,Faribault,Southeast,13758,1361,18
2021-03-26,27045,Fillmore,Southeast,21058,1468,9
2021-03-26,27047,Freeborn,Southeast,30444,3040,26
2021-03-26,27049,Goodhue,Southeast,46403,4116,69
2021-03-26,27051,Grant,West Central,6021,511,8
2021-03-26,27053,Hennepin,Hennepin/Ramsey,1259428,106347,1642
2021-03-26,27055,Houston,Southeast,18578,1610,14
2021-03-26,27057,Hubbard,Northwest,21332,1629,41
2021-03-26,27059,Isanti,East Central,39966,3275,58
2021-03-26,27061,Itasca,Northeast,45108,3356,51
2021-03-26,27063,Jackson,Southwest,9911,991,10
2021-03-26,27065,Kanabec,East Central,16207,1178,21
2021-03-26,27067,Kandiyohi,Southwest,42855,5995,79
2021-03-26,27069,Kittson,Northwest,4248,422,22
2021-03-26,27071,Koochiching,Northeast,12440,665,11
2021-03-26,27073,Lac qui Parle,Southwest,6658,709,21
2021-03-26,27075,Lake,Northeast,10658,761,19
2021-03-26,27077,Lake of the Woods,Northwest,3758,248,2
2021-03-26,27079,Le Sueur,Southeast,28494,2500,22
2021-03-26,27081,Lincoln,Southwest,5673,530,2
2021-03-26,27083,Lyon,Southwest,25629,3265,46
2021-03-26,27087,Mahnomen,Northwest,5519,458,7
2021-03-26,27089,Marshall,Northwest,9390,818,16
2021-03-26,27091,Martin,Southeast,19785,2007,29
2021-03-26,27085,McLeod,Southwest,35873,3601,54
2021-03-26,27093,Meeker,Southwest,23141,2158,36
2021-03-26,27095,Mille Lacs,East Central,26139,2471,47
2021-03-26,27097,Morrison,East Central,33169,3590,55
2021-03-26,27099,Mower,Southeast,40011,4328,31
2021-03-26,27101,Murray,Southwest,8276,971,8
2021-03-26,27103,Nicollet,Southeast,34220,2791,42
2021-03-26,27105,Nobles,Southwest,21924,3907,47
2021-03-26,27107,Norman,Northwest,6475,493,9
2021-03-26,27109,Olmsted,Southeast,156277,12246,93
2021-03-26,27111,Otter Tail,West Central,58812,5080,71
2021-03-26,27113,Pennington,Northwest,14178,1471,18
2021-03-26,27115,Pine,East Central,29483,2941,20
2021-03-26,27117,Pipestone,Southwest,9047,1042,24
2021-03-26,27119,Polk,Northwest,31529,3503,65
2021-03-26,27121,Pope,West Central,11097,902,6
2021-03-26,27123,Ramsey,Hennepin/Ramsey,550210,44723,835
2021-03-26,27125,Red Lake,Northwest,3999,371,5
2021-03-26,27127,Redwood,Southwest,15249,1536,34
2021-03-26,27129,Renville,Southwest,14612,1597,43
2021-03-26,27131,Rice,Southeast,66523,7053,98
2021-03-26,27133,Rock,Southwest,9414,1188,18
2021-03-26,27135,Roseau,Northwest,15150,1857,18
2021-03-26,27139,Scott,Metro suburbs,147381,14375,111
2021-03-26,27141,Sherburne,East Central,96036,9389,78
2021-03-26,27143,Sibley,Southeast,15028,1247,10
2021-03-26,27137,St. Louis,Northeast,199754,15563,289
2021-03-26,27145,Stearns,East Central,159256,19601,209
2021-03-26,27147,Steele,Southeast,36803,3292,11
2021-03-26,27149,Stevens,West Central,9753,773,9
2021-03-26,27151,Swift,Southwest,9345,924,18
2021-03-26,27153,Todd,East Central,24582,2576,30
2021-03-26,27155,Traverse,West Central,3308,342,5
2021-03-26,27157,Wabasha,Southeast,21645,1940,3
2021-03-26,27159,Wadena,East Central,13773,1360,20
2021-03-26,27161,Waseca,Southeast,18691,2182,20
2021-03-26,27163,Washington,Metro suburbs,259201,23061,272
2021-03-26,27165,Watonwan,Southeast,10980,1210,9
2021-03-26,27167,Wilkin,West Central,6254,722,11
2021-03-26,27169,Winona,Southeast,50825,4288,49
2021-03-26,27171,Wright,East Central,136349,13271,120
2021-03-26,27173,Yellow Medicine,Southwest,9795,1022,17
