date,geoid,county,region,pop,cases,deaths
2021-07-27,27001,Aitkin,Northeast,15902,1394,37
2021-07-27,27003,Anoka,Metro suburbs,353813,43323,465
2021-07-27,27005,Becker,West Central,34371,3894,57
2021-07-27,27007,Beltrami,Northwest,46847,4107,63
2021-07-27,27009,Benton,East Central,40545,5866,98
2021-07-27,27011,Big Stone,Southwest,4989,609,4
2021-07-27,27013,Blue Earth,Southeast,67427,7719,44
2021-07-27,27015,Brown,Southeast,25111,3088,40
2021-07-27,27017,Carlton,Northeast,35837,3569,58
2021-07-27,27019,Carver,Metro suburbs,103551,10757,49
2021-07-27,27021,Cass,East Central,29519,2886,33
2021-07-27,27023,Chippewa,Southwest,11924,1541,38
2021-07-27,27025,Chisago,East Central,55922,6276,54
2021-07-27,27027,Clay,West Central,63955,8296,92
2021-07-27,27029,Clearwater,Northwest,8810,893,17
2021-07-27,27031,Cook,Northeast,5393,174,0
2021-07-27,27033,Cottonwood,Southwest,11277,1682,24
2021-07-27,27035,Crow Wing,East Central,64889,6895,99
2021-07-27,27037,Dakota,Metro suburbs,425423,47328,475
2021-07-27,27039,Dodge,Southeast,20822,1902,3
2021-07-27,27041,Douglas,West Central,37964,4792,81
2021-07-27,27043,Faribault,Southeast,13758,1572,20
2021-07-27,27045,Fillmore,Southeast,21058,1597,10
2021-07-27,27047,Freeborn,Southeast,30444,3521,34
2021-07-27,27049,Goodhue,Southeast,46403,4861,74
2021-07-27,27051,Grant,West Central,6021,595,8
2021-07-27,27053,Hennepin,Hennepin/Ramsey,1259428,126640,1800
2021-07-27,27055,Houston,Southeast,18578,1759,16
2021-07-27,27057,Hubbard,Northwest,21332,1983,41
2021-07-27,27059,Isanti,East Central,39966,4466,67
2021-07-27,27061,Itasca,Northeast,45108,4631,68
2021-07-27,27063,Jackson,Southwest,9911,1231,12
2021-07-27,27065,Kanabec,East Central,16207,1480,28
2021-07-27,27067,Kandiyohi,Southwest,42855,6708,85
2021-07-27,27069,Kittson,Northwest,4248,491,22
2021-07-27,27071,Koochiching,Northeast,12440,968,19
2021-07-27,27073,Lac qui Parle,Southwest,6658,761,22
2021-07-27,27075,Lake,Northeast,10658,845,20
2021-07-27,27077,Lake of the Woods,Northwest,3758,348,4
2021-07-27,27079,Le Sueur,Southeast,28494,3001,27
2021-07-27,27081,Lincoln,Southwest,5673,586,3
2021-07-27,27083,Lyon,Southwest,25629,3655,54
2021-07-27,27087,Mahnomen,Northwest,5519,566,9
2021-07-27,27089,Marshall,Northwest,9390,889,17
2021-07-27,27091,Martin,Southeast,19785,2372,33
2021-07-27,27085,McLeod,Southwest,35873,4351,61
2021-07-27,27093,Meeker,Southwest,23141,2662,44
2021-07-27,27095,Mille Lacs,East Central,26139,3154,56
2021-07-27,27097,Morrison,East Central,33169,4284,62
2021-07-27,27099,Mower,Southeast,40011,4782,33
2021-07-27,27101,Murray,Southwest,8276,1074,10
2021-07-27,27103,Nicollet,Southeast,34220,3345,45
2021-07-27,27105,Nobles,Southwest,21924,4101,50
2021-07-27,27107,Norman,Northwest,6475,550,9
2021-07-27,27109,Olmsted,Southeast,156277,13549,103
2021-07-27,27111,Otter Tail,West Central,58812,5911,87
2021-07-27,27113,Pennington,Northwest,14178,1539,20
2021-07-27,27115,Pine,East Central,29483,3378,23
2021-07-27,27117,Pipestone,Southwest,9047,1172,26
2021-07-27,27119,Polk,Northwest,31529,3907,72
2021-07-27,27121,Pope,West Central,11097,1140,6
2021-07-27,27123,Ramsey,Hennepin/Ramsey,550210,53172,911
2021-07-27,27125,Red Lake,Northwest,3999,403,7
2021-07-27,27127,Redwood,Southwest,15249,1785,41
2021-07-27,27129,Renville,Southwest,14612,1839,46
2021-07-27,27131,Rice,Southeast,66523,8261,111
2021-07-27,27133,Rock,Southwest,9414,1292,19
2021-07-27,27135,Roseau,Northwest,15150,2124,21
2021-07-27,27139,Scott,Metro suburbs,147381,17719,139
2021-07-27,27141,Sherburne,East Central,96036,12156,96
2021-07-27,27143,Sibley,Southeast,15028,1474,10
2021-07-27,27137,St. Louis,Northeast,199754,18297,319
2021-07-27,27145,Stearns,East Central,159256,22703,227
2021-07-27,27147,Steele,Southeast,36803,4014,19
2021-07-27,27149,Stevens,West Central,9753,926,11
2021-07-27,27151,Swift,Southwest,9345,1076,18
2021-07-27,27153,Todd,East Central,24582,2886,33
2021-07-27,27155,Traverse,West Central,3308,383,5
2021-07-27,27157,Wabasha,Southeast,21645,2084,3
2021-07-27,27159,Wadena,East Central,13773,1652,23
2021-07-27,27161,Waseca,Southeast,18691,2410,23
2021-07-27,27163,Washington,Metro suburbs,259201,27717,296
2021-07-27,27165,Watonwan,Southeast,10980,1362,9
2021-07-27,27167,Wilkin,West Central,6254,840,13
2021-07-27,27169,Winona,Southeast,50825,4646,52
2021-07-27,27171,Wright,East Central,136349,16561,153
2021-07-27,27173,Yellow Medicine,Southwest,9795,1154,20
