date,geoid,county,region,pop,cases,deaths
2020-11-15,27001,Aitkin,Northeast,15902,490,13
2020-11-15,27003,Anoka,Metro suburbs,353813,15956,189
2020-11-15,27005,Becker,West Central,34371,1308,4
2020-11-15,27007,Beltrami,Northwest,46847,1519,13
2020-11-15,27009,Benton,East Central,40545,2023,32
2020-11-15,27011,Big Stone,Southwest,4989,236,1
2020-11-15,27013,Blue Earth,Southeast,67427,3097,10
2020-11-15,27015,Brown,Southeast,25111,795,5
2020-11-15,27017,Carlton,Northeast,35837,1130,8
2020-11-15,27019,Carver,Metro suburbs,103551,3072,9
2020-11-15,27021,Cass,East Central,29519,922,8
2020-11-15,27023,Chippewa,Southwest,11924,648,7
2020-11-15,27025,Chisago,East Central,55922,2273,4
2020-11-15,27027,Clay,West Central,63955,3773,50
2020-11-15,27029,Clearwater,Northwest,8810,315,3
2020-11-15,27031,Cook,Northeast,5393,43,0
2020-11-15,27033,Cottonwood,Southwest,11277,510,0
2020-11-15,27035,Crow Wing,East Central,64889,2422,25
2020-11-15,27037,Dakota,Metro suburbs,425423,15556,159
2020-11-15,27039,Dodge,Southeast,20822,639,0
2020-11-15,27041,Douglas,West Central,37964,1653,18
2020-11-15,27043,Faribault,Southeast,13758,383,0
2020-11-15,27045,Fillmore,Southeast,21058,477,0
2020-11-15,27047,Freeborn,Southeast,30444,1107,5
2020-11-15,27049,Goodhue,Southeast,46403,1298,20
2020-11-15,27051,Grant,West Central,6021,177,5
2020-11-15,27053,Hennepin,Hennepin/Ramsey,1259428,50352,1044
2020-11-15,27055,Houston,Southeast,18578,482,2
2020-11-15,27057,Hubbard,Northwest,21332,772,15
2020-11-15,27059,Isanti,East Central,39966,1239,10
2020-11-15,27061,Itasca,Northeast,45108,1329,19
2020-11-15,27063,Jackson,Southwest,9911,326,1
2020-11-15,27065,Kanabec,East Central,16207,419,11
2020-11-15,27067,Kandiyohi,Southwest,42855,2698,9
2020-11-15,27069,Kittson,Northwest,4248,132,1
2020-11-15,27071,Koochiching,Northeast,12440,264,5
2020-11-15,27073,Lac qui Parle,Southwest,6658,240,3
2020-11-15,27075,Lake,Northeast,10658,233,1
2020-11-15,27077,Lake of the Woods,Northwest,3758,71,1
2020-11-15,27079,Le Sueur,Southeast,28494,1041,7
2020-11-15,27081,Lincoln,Southwest,5673,262,1
2020-11-15,27083,Lyon,Southwest,25629,1548,8
2020-11-15,27087,Mahnomen,Northwest,5519,182,3
2020-11-15,27089,Marshall,Northwest,9390,310,6
2020-11-15,27091,Martin,Southeast,19785,817,19
2020-11-15,27085,McLeod,Southwest,35873,1261,6
2020-11-15,27093,Meeker,Southwest,23141,727,5
2020-11-15,27095,Mille Lacs,East Central,26139,1039,27
2020-11-15,27097,Morrison,East Central,33169,1384,16
2020-11-15,27099,Mower,Southeast,40011,1931,21
2020-11-15,27101,Murray,Southwest,8276,436,3
2020-11-15,27103,Nicollet,Southeast,34220,1162,21
2020-11-15,27105,Nobles,Southwest,21924,2779,25
2020-11-15,27107,Norman,Northwest,6475,248,5
2020-11-15,27109,Olmsted,Southeast,156277,5141,30
2020-11-15,27111,Otter Tail,West Central,58812,1911,12
2020-11-15,27113,Pennington,Northwest,14178,388,4
2020-11-15,27115,Pine,East Central,29483,911,5
2020-11-15,27117,Pipestone,Southwest,9047,545,17
2020-11-15,27119,Polk,Northwest,31529,1697,17
2020-11-15,27121,Pope,West Central,11097,361,0
2020-11-15,27123,Ramsey,Hennepin/Ramsey,550210,21142,430
2020-11-15,27125,Red Lake,Northwest,3999,144,3
2020-11-15,27127,Redwood,Southwest,15249,535,15
2020-11-15,27129,Renville,Southwest,14612,501,14
2020-11-15,27131,Rice,Southeast,66523,2758,25
2020-11-15,27133,Rock,Southwest,9414,509,9
2020-11-15,27135,Roseau,Northwest,15150,702,1
2020-11-15,27139,Scott,Metro suburbs,147381,5897,49
2020-11-15,27141,Sherburne,East Central,96036,3912,31
2020-11-15,27143,Sibley,Southeast,15028,483,3
2020-11-15,27137,St. Louis,Northeast,199754,5520,84
2020-11-15,27145,Stearns,East Central,159256,9883,74
2020-11-15,27147,Steele,Southeast,36803,1318,5
2020-11-15,27149,Stevens,West Central,9753,352,1
2020-11-15,27151,Swift,Southwest,9345,384,4
2020-11-15,27153,Todd,East Central,24582,1405,12
2020-11-15,27155,Traverse,West Central,3308,102,0
2020-11-15,27157,Wabasha,Southeast,21645,686,1
2020-11-15,27159,Wadena,East Central,13773,519,6
2020-11-15,27161,Waseca,Southeast,18691,1115,10
2020-11-15,27163,Washington,Metro suburbs,259201,10390,95
2020-11-15,27165,Watonwan,Southeast,10980,677,4
2020-11-15,27167,Wilkin,West Central,6254,256,4
2020-11-15,27169,Winona,Southeast,50825,2056,22
2020-11-15,27171,Wright,East Central,136349,5025,27
2020-11-15,27173,Yellow Medicine,Southwest,9795,458,8
