date,geoid,county,region,pop,cases,deaths
2021-10-18,27001,Aitkin,Northeast,15902,1792,42
2021-10-18,27003,Anoka,Metro suburbs,353813,53221,514
2021-10-18,27005,Becker,West Central,34371,5210,62
2021-10-18,27007,Beltrami,Northwest,46847,6371,77
2021-10-18,27009,Benton,East Central,40545,7393,109
2021-10-18,27011,Big Stone,Southwest,4989,789,4
2021-10-18,27013,Blue Earth,Southeast,67427,9530,59
2021-10-18,27015,Brown,Southeast,25111,4009,47
2021-10-18,27017,Carlton,Northeast,35837,4409,66
2021-10-18,27019,Carver,Metro suburbs,103551,13429,54
2021-10-18,27021,Cass,East Central,29519,4159,42
2021-10-18,27023,Chippewa,Southwest,11924,1869,40
2021-10-18,27025,Chisago,East Central,55922,8208,62
2021-10-18,27027,Clay,West Central,63955,10117,98
2021-10-18,27029,Clearwater,Northwest,8810,1337,18
2021-10-18,27031,Cook,Northeast,5393,243,0
2021-10-18,27033,Cottonwood,Southwest,11277,1940,27
2021-10-18,27035,Crow Wing,East Central,64889,9298,105
2021-10-18,27037,Dakota,Metro suburbs,425423,56337,523
2021-10-18,27039,Dodge,Southeast,20822,2693,9
2021-10-18,27041,Douglas,West Central,37964,6180,89
2021-10-18,27043,Faribault,Southeast,13758,2157,30
2021-10-18,27045,Fillmore,Southeast,21058,2382,12
2021-10-18,27047,Freeborn,Southeast,30444,4826,42
2021-10-18,27049,Goodhue,Southeast,46403,6085,84
2021-10-18,27051,Grant,West Central,6021,768,9
2021-10-18,27053,Hennepin,Hennepin/Ramsey,1259428,151755,1909
2021-10-18,27055,Houston,Southeast,18578,2291,17
2021-10-18,27057,Hubbard,Northwest,21332,2845,44
2021-10-18,27059,Isanti,East Central,39966,5600,73
2021-10-18,27061,Itasca,Northeast,45108,6023,80
2021-10-18,27063,Jackson,Southwest,9911,1448,14
2021-10-18,27065,Kanabec,East Central,16207,1876,30
2021-10-18,27067,Kandiyohi,Southwest,42855,8227,96
2021-10-18,27069,Kittson,Northwest,4248,599,22
2021-10-18,27071,Koochiching,Northeast,12440,1375,19
2021-10-18,27073,Lac qui Parle,Southwest,6658,957,24
2021-10-18,27075,Lake,Northeast,10658,1065,21
2021-10-18,27077,Lake of the Woods,Northwest,3758,457,4
2021-10-18,27079,Le Sueur,Southeast,28494,3804,31
2021-10-18,27081,Lincoln,Southwest,5673,757,5
2021-10-18,27083,Lyon,Southwest,25629,4475,56
2021-10-18,27087,Mahnomen,Northwest,5519,874,12
2021-10-18,27089,Marshall,Northwest,9390,1323,19
2021-10-18,27091,Martin,Southeast,19785,3185,34
2021-10-18,27085,McLeod,Southwest,35873,5834,68
2021-10-18,27093,Meeker,Southwest,23141,3515,52
2021-10-18,27095,Mille Lacs,East Central,26139,4067,65
2021-10-18,27097,Morrison,East Central,33169,5460,65
2021-10-18,27099,Mower,Southeast,40011,6353,40
2021-10-18,27101,Murray,Southwest,8276,1315,10
2021-10-18,27103,Nicollet,Southeast,34220,4264,51
2021-10-18,27105,Nobles,Southwest,21924,4779,52
2021-10-18,27107,Norman,Northwest,6475,851,9
2021-10-18,27109,Olmsted,Southeast,156277,17894,118
2021-10-18,27111,Otter Tail,West Central,58812,7868,104
2021-10-18,27113,Pennington,Northwest,14178,2137,27
2021-10-18,27115,Pine,East Central,29483,4211,30
2021-10-18,27117,Pipestone,Southwest,9047,1319,27
2021-10-18,27119,Polk,Northwest,31529,5034,77
2021-10-18,27121,Pope,West Central,11097,1537,8
2021-10-18,27123,Ramsey,Hennepin/Ramsey,550210,62763,976
2021-10-18,27125,Red Lake,Northwest,3999,578,9
2021-10-18,27127,Redwood,Southwest,15249,2356,43
2021-10-18,27129,Renville,Southwest,14612,2251,49
2021-10-18,27131,Rice,Southeast,66523,9886,131
2021-10-18,27133,Rock,Southwest,9414,1537,19
2021-10-18,27135,Roseau,Northwest,15150,2603,25
2021-10-18,27139,Scott,Metro suburbs,147381,21359,159
2021-10-18,27141,Sherburne,East Central,96036,15291,114
2021-10-18,27143,Sibley,Southeast,15028,2051,12
2021-10-18,27137,St. Louis,Northeast,199754,23286,353
2021-10-18,27145,Stearns,East Central,159256,28036,252
2021-10-18,27147,Steele,Southeast,36803,5745,25
2021-10-18,27149,Stevens,West Central,9753,1228,11
2021-10-18,27151,Swift,Southwest,9345,1328,19
2021-10-18,27153,Todd,East Central,24582,3918,36
2021-10-18,27155,Traverse,West Central,3308,503,5
2021-10-18,27157,Wabasha,Southeast,21645,2865,5
2021-10-18,27159,Wadena,East Central,13773,2314,29
2021-10-18,27161,Waseca,Southeast,18691,3237,30
2021-10-18,27163,Washington,Metro suburbs,259201,33236,329
2021-10-18,27165,Watonwan,Southeast,10980,1693,11
2021-10-18,27167,Wilkin,West Central,6254,1008,14
2021-10-18,27169,Winona,Southeast,50825,6052,53
2021-10-18,27171,Wright,East Central,136349,20944,170
2021-10-18,27173,Yellow Medicine,Southwest,9795,1517,20
