date,geoid,county,region,pop,cases,deaths
2022-01-10,27001,Aitkin,Northeast,15697,2452,55
2022-01-10,27003,Anoka,Metro suburbs,363887,75708,694
2022-01-10,27005,Becker,West Central,35183,6751,81
2022-01-10,27007,Beltrami,Northwest,46228,9062,111
2022-01-10,27009,Benton,East Central,41379,10372,146
2022-01-10,27011,Big Stone,Southwest,5166,1058,7
2022-01-10,27013,Blue Earth,Southeast,69112,13217,84
2022-01-10,27015,Brown,Southeast,25912,5173,69
2022-01-10,27017,Carlton,Northeast,36207,6262,81
2022-01-10,27019,Carver,Metro suburbs,106922,19763,92
2022-01-10,27021,Cass,East Central,30066,5463,66
2022-01-10,27023,Chippewa,Southwest,12598,2391,43
2022-01-10,27025,Chisago,East Central,56621,11328,104
2022-01-10,27027,Clay,West Central,65318,13661,114
2022-01-10,27029,Clearwater,Northwest,8524,1717,27
2022-01-10,27031,Cook,Northeast,5600,385,1
2022-01-10,27033,Cottonwood,Southwest,11517,2542,34
2022-01-10,27035,Crow Wing,East Central,66123,12438,144
2022-01-10,27037,Dakota,Metro suburbs,439882,81177,676
2022-01-10,27039,Dodge,Southeast,20867,4118,14
2022-01-10,27041,Douglas,West Central,39006,8701,109
2022-01-10,27043,Faribault,Southeast,13921,2927,42
2022-01-10,27045,Fillmore,Southeast,21228,3559,17
2022-01-10,27047,Freeborn,Southeast,30895,6642,55
2022-01-10,27049,Goodhue,Southeast,47582,9618,112
2022-01-10,27051,Grant,West Central,6074,1148,12
2022-01-10,27053,Hennepin,Hennepin/Ramsey,1281565,220433,2239
2022-01-10,27055,Houston,Southeast,18843,3296,18
2022-01-10,27057,Hubbard,Northwest,21344,3874,52
2022-01-10,27059,Isanti,East Central,41135,8078,101
2022-01-10,27061,Itasca,Northeast,45014,8663,118
2022-01-10,27063,Jackson,Southwest,9989,1764,16
2022-01-10,27065,Kanabec,East Central,16032,2880,48
2022-01-10,27067,Kandiyohi,Southwest,43732,10755,122
2022-01-10,27069,Kittson,Northwest,4207,877,25
2022-01-10,27071,Koochiching,Northeast,12062,2032,31
2022-01-10,27073,Lac qui Parle,Southwest,6719,1375,26
2022-01-10,27075,Lake,Northeast,10905,1511,26
2022-01-10,27077,Lake of the Woods,Northwest,3763,585,5
2022-01-10,27079,Le Sueur,Southeast,28674,5195,43
2022-01-10,27081,Lincoln,Southwest,5640,973,5
2022-01-10,27083,Lyon,Southwest,25269,5808,68
2022-01-10,27087,Mahnomen,Northwest,5411,1191,17
2022-01-10,27089,Marshall,Northwest,9040,1683,23
2022-01-10,27091,Martin,Southeast,20025,4352,52
2022-01-10,27085,McLeod,Southwest,36771,8049,95
2022-01-10,27093,Meeker,Southwest,23400,4835,68
2022-01-10,27095,Mille Lacs,East Central,26459,5945,98
2022-01-10,27097,Morrison,East Central,34010,7272,91
2022-01-10,27099,Mower,Southeast,40029,8456,58
2022-01-10,27101,Murray,Southwest,8179,1667,14
2022-01-10,27103,Nicollet,Southeast,34454,5918,62
2022-01-10,27105,Nobles,Southwest,22290,5607,56
2022-01-10,27107,Norman,Northwest,6441,1108,10
2022-01-10,27109,Olmsted,Southeast,162847,26503,144
2022-01-10,27111,Otter Tail,West Central,60081,10736,147
2022-01-10,27113,Pennington,Northwest,13992,2739,33
2022-01-10,27115,Pine,East Central,28876,5785,50
2022-01-10,27117,Pipestone,Southwest,9424,1656,30
2022-01-10,27119,Polk,Northwest,31192,6477,92
2022-01-10,27121,Pope,West Central,11308,2331,14
2022-01-10,27123,Ramsey,Hennepin/Ramsey,552352,90778,1158
2022-01-10,27125,Red Lake,Northwest,3935,747,11
2022-01-10,27127,Redwood,Southwest,15425,3109,50
2022-01-10,27129,Renville,Southwest,14723,2941,52
2022-01-10,27131,Rice,Southeast,67097,13068,152
2022-01-10,27133,Rock,Southwest,9704,1910,32
2022-01-10,27135,Roseau,Northwest,15331,3480,37
2022-01-10,27139,Scott,Metro suburbs,150928,30811,218
2022-01-10,27141,Sherburne,East Central,97183,21558,157
2022-01-10,27143,Sibley,Southeast,14836,2846,22
2022-01-10,27137,St. Louis,Northeast,200231,34108,462
2022-01-10,27145,Stearns,East Central,158292,38403,322
2022-01-10,27147,Steele,Southeast,37406,7787,43
2022-01-10,27149,Stevens,West Central,9671,1979,11
2022-01-10,27151,Swift,Southwest,9838,1847,30
2022-01-10,27153,Todd,East Central,25262,5403,53
2022-01-10,27155,Traverse,West Central,3360,641,8
2022-01-10,NA,Unknown/missing,NA,NA,594,0
2022-01-10,27157,Wabasha,Southeast,21387,4222,13
2022-01-10,27159,Wadena,East Central,14065,3290,45
2022-01-10,27161,Waseca,Southeast,18968,4372,35
2022-01-10,27163,Washington,Metro suburbs,267568,48954,417
2022-01-10,27165,Watonwan,Southeast,11253,2211,22
2022-01-10,27167,Wilkin,West Central,6506,1314,19
2022-01-10,27169,Winona,Southeast,49671,8904,63
2022-01-10,27171,Wright,East Central,141337,29649,266
2022-01-10,27173,Yellow Medicine,Southwest,9528,2060,25
