date,geoid,county,region,pop,cases,deaths
2021-09-16,27001,Aitkin,Northeast,15902,1542,38
2021-09-16,27003,Anoka,Metro suburbs,353813,47858,478
2021-09-16,27005,Becker,West Central,34371,4316,59
2021-09-16,27007,Beltrami,Northwest,46847,5013,72
2021-09-16,27009,Benton,East Central,40545,6411,100
2021-09-16,27011,Big Stone,Southwest,4989,678,4
2021-09-16,27013,Blue Earth,Southeast,67427,8613,47
2021-09-16,27015,Brown,Southeast,25111,3447,43
2021-09-16,27017,Carlton,Northeast,35837,3882,59
2021-09-16,27019,Carver,Metro suburbs,103551,12024,52
2021-09-16,27021,Cass,East Central,29519,3417,35
2021-09-16,27023,Chippewa,Southwest,11924,1708,39
2021-09-16,27025,Chisago,East Central,55922,7086,57
2021-09-16,27027,Clay,West Central,63955,9120,95
2021-09-16,27029,Clearwater,Northwest,8810,1010,18
2021-09-16,27031,Cook,Northeast,5393,211,0
2021-09-16,27033,Cottonwood,Southwest,11277,1762,24
2021-09-16,27035,Crow Wing,East Central,64889,7764,102
2021-09-16,27037,Dakota,Metro suburbs,425423,51924,496
2021-09-16,27039,Dodge,Southeast,20822,2396,4
2021-09-16,27041,Douglas,West Central,37964,5334,84
2021-09-16,27043,Faribault,Southeast,13758,1787,25
2021-09-16,27045,Fillmore,Southeast,21058,1937,10
2021-09-16,27047,Freeborn,Southeast,30444,4271,38
2021-09-16,27049,Goodhue,Southeast,46403,5478,80
2021-09-16,27051,Grant,West Central,6021,667,8
2021-09-16,27053,Hennepin,Hennepin/Ramsey,1259428,139999,1853
2021-09-16,27055,Houston,Southeast,18578,2027,16
2021-09-16,27057,Hubbard,Northwest,21332,2303,41
2021-09-16,27059,Isanti,East Central,39966,4888,70
2021-09-16,27061,Itasca,Northeast,45108,5151,71
2021-09-16,27063,Jackson,Southwest,9911,1342,12
2021-09-16,27065,Kanabec,East Central,16207,1634,29
2021-09-16,27067,Kandiyohi,Southwest,42855,7426,88
2021-09-16,27069,Kittson,Northwest,4248,532,22
2021-09-16,27071,Koochiching,Northeast,12440,1143,19
2021-09-16,27073,Lac qui Parle,Southwest,6658,848,24
2021-09-16,27075,Lake,Northeast,10658,909,21
2021-09-16,27077,Lake of the Woods,Northwest,3758,387,4
2021-09-16,27079,Le Sueur,Southeast,28494,3392,29
2021-09-16,27081,Lincoln,Southwest,5673,648,4
2021-09-16,27083,Lyon,Southwest,25629,3923,54
2021-09-16,27087,Mahnomen,Northwest,5519,673,9
2021-09-16,27089,Marshall,Northwest,9390,1029,18
2021-09-16,27091,Martin,Southeast,19785,2602,33
2021-09-16,27085,McLeod,Southwest,35873,4983,62
2021-09-16,27093,Meeker,Southwest,23141,3031,49
2021-09-16,27095,Mille Lacs,East Central,26139,3527,60
2021-09-16,27097,Morrison,East Central,33169,4658,63
2021-09-16,27099,Mower,Southeast,40011,5538,38
2021-09-16,27101,Murray,Southwest,8276,1148,10
2021-09-16,27103,Nicollet,Southeast,34220,3747,47
2021-09-16,27105,Nobles,Southwest,21924,4474,50
2021-09-16,27107,Norman,Northwest,6475,644,9
2021-09-16,27109,Olmsted,Southeast,156277,15718,110
2021-09-16,27111,Otter Tail,West Central,58812,6631,90
2021-09-16,27113,Pennington,Northwest,14178,1895,21
2021-09-16,27115,Pine,East Central,29483,3724,26
2021-09-16,27117,Pipestone,Southwest,9047,1246,26
2021-09-16,27119,Polk,Northwest,31529,4313,75
2021-09-16,27121,Pope,West Central,11097,1297,8
2021-09-16,27123,Ramsey,Hennepin/Ramsey,550210,58358,942
2021-09-16,27125,Red Lake,Northwest,3999,472,7
2021-09-16,27127,Redwood,Southwest,15249,1972,42
2021-09-16,27129,Renville,Southwest,14612,1987,47
2021-09-16,27131,Rice,Southeast,66523,9066,119
2021-09-16,27133,Rock,Southwest,9414,1381,19
2021-09-16,27135,Roseau,Northwest,15150,2315,23
2021-09-16,27139,Scott,Metro suburbs,147381,19550,145
2021-09-16,27141,Sherburne,East Central,96036,13465,100
2021-09-16,27143,Sibley,Southeast,15028,1745,10
2021-09-16,27137,St. Louis,Northeast,199754,20172,335
2021-09-16,27145,Stearns,East Central,159256,24750,240
2021-09-16,27147,Steele,Southeast,36803,4983,21
2021-09-16,27149,Stevens,West Central,9753,1074,11
2021-09-16,27151,Swift,Southwest,9345,1168,19
2021-09-16,27153,Todd,East Central,24582,3203,34
2021-09-16,27155,Traverse,West Central,3308,421,5
2021-09-16,27157,Wabasha,Southeast,21645,2414,4
2021-09-16,27159,Wadena,East Central,13773,1840,25
2021-09-16,27161,Waseca,Southeast,18691,2875,25
2021-09-16,27163,Washington,Metro suburbs,259201,30547,309
2021-09-16,27165,Watonwan,Southeast,10980,1545,11
2021-09-16,27167,Wilkin,West Central,6254,893,14
2021-09-16,27169,Winona,Southeast,50825,5505,52
2021-09-16,27171,Wright,East Central,136349,18427,163
2021-09-16,27173,Yellow Medicine,Southwest,9795,1244,20
