date,geoid,county,region,pop,cases,deaths
2022-01-04,27001,Aitkin,Northeast,15697,2428,54
2022-01-04,27003,Anoka,Metro suburbs,363887,73615,678
2022-01-04,27005,Becker,West Central,35183,6662,81
2022-01-04,27007,Beltrami,Northwest,46228,8908,111
2022-01-04,27009,Benton,East Central,41379,10128,141
2022-01-04,27011,Big Stone,Southwest,5166,1039,7
2022-01-04,27013,Blue Earth,Southeast,69112,12945,82
2022-01-04,27015,Brown,Southeast,25912,5070,67
2022-01-04,27017,Carlton,Northeast,36207,6175,80
2022-01-04,27019,Carver,Metro suburbs,106922,19258,90
2022-01-04,27021,Cass,East Central,30066,5402,64
2022-01-04,27023,Chippewa,Southwest,12598,2359,43
2022-01-04,27025,Chisago,East Central,56621,11138,102
2022-01-04,27027,Clay,West Central,65318,13343,114
2022-01-04,27029,Clearwater,Northwest,8524,1701,25
2022-01-04,27031,Cook,Northeast,5600,369,1
2022-01-04,27033,Cottonwood,Southwest,11517,2508,34
2022-01-04,27035,Crow Wing,East Central,66123,12263,139
2022-01-04,27037,Dakota,Metro suburbs,439882,78475,662
2022-01-04,27039,Dodge,Southeast,20867,4008,14
2022-01-04,27041,Douglas,West Central,39006,8570,107
2022-01-04,27043,Faribault,Southeast,13921,2881,41
2022-01-04,27045,Fillmore,Southeast,21228,3475,17
2022-01-04,27047,Freeborn,Southeast,30895,6467,52
2022-01-04,27049,Goodhue,Southeast,47582,9411,110
2022-01-04,27051,Grant,West Central,6074,1129,12
2022-01-04,27053,Hennepin,Hennepin/Ramsey,1281565,211920,2195
2022-01-04,27055,Houston,Southeast,18843,3210,18
2022-01-04,27057,Hubbard,Northwest,21344,3823,51
2022-01-04,27059,Isanti,East Central,41135,7931,99
2022-01-04,27061,Itasca,Northeast,45014,8535,115
2022-01-04,27063,Jackson,Southwest,9989,1743,16
2022-01-04,27065,Kanabec,East Central,16032,2838,46
2022-01-04,27067,Kandiyohi,Southwest,43732,10554,119
2022-01-04,27069,Kittson,Northwest,4207,871,25
2022-01-04,27071,Koochiching,Northeast,12062,2013,30
2022-01-04,27073,Lac qui Parle,Southwest,6719,1351,26
2022-01-04,27075,Lake,Northeast,10905,1488,26
2022-01-04,27077,Lake of the Woods,Northwest,3763,567,5
2022-01-04,27079,Le Sueur,Southeast,28674,5127,42
2022-01-04,27081,Lincoln,Southwest,5640,960,5
2022-01-04,27083,Lyon,Southwest,25269,5725,67
2022-01-04,27087,Mahnomen,Northwest,5411,1170,16
2022-01-04,27089,Marshall,Northwest,9040,1665,23
2022-01-04,27091,Martin,Southeast,20025,4307,52
2022-01-04,27085,McLeod,Southwest,36771,7938,93
2022-01-04,27093,Meeker,Southwest,23400,4765,67
2022-01-04,27095,Mille Lacs,East Central,26459,5872,94
2022-01-04,27097,Morrison,East Central,34010,7210,88
2022-01-04,27099,Mower,Southeast,40029,8211,56
2022-01-04,27101,Murray,Southwest,8179,1628,14
2022-01-04,27103,Nicollet,Southeast,34454,5800,62
2022-01-04,27105,Nobles,Southwest,22290,5542,56
2022-01-04,27107,Norman,Northwest,6441,1100,10
2022-01-04,27109,Olmsted,Southeast,162847,25308,143
2022-01-04,27111,Otter Tail,West Central,60081,10627,144
2022-01-04,27113,Pennington,Northwest,13992,2702,32
2022-01-04,27115,Pine,East Central,28876,5701,48
2022-01-04,27117,Pipestone,Southwest,9424,1635,30
2022-01-04,27119,Polk,Northwest,31192,6384,92
2022-01-04,27121,Pope,West Central,11308,2292,14
2022-01-04,27123,Ramsey,Hennepin/Ramsey,552352,87308,1136
2022-01-04,27125,Red Lake,Northwest,3935,738,11
2022-01-04,27127,Redwood,Southwest,15425,3047,49
2022-01-04,27129,Renville,Southwest,14723,2887,52
2022-01-04,27131,Rice,Southeast,67097,12714,149
2022-01-04,27133,Rock,Southwest,9704,1888,32
2022-01-04,27135,Roseau,Northwest,15331,3419,37
2022-01-04,27139,Scott,Metro suburbs,150928,29913,213
2022-01-04,27141,Sherburne,East Central,97183,21145,154
2022-01-04,27143,Sibley,Southeast,14836,2812,20
2022-01-04,27137,St. Louis,Northeast,200231,33469,455
2022-01-04,27145,Stearns,East Central,158292,37455,316
2022-01-04,27147,Steele,Southeast,37406,7658,42
2022-01-04,27149,Stevens,West Central,9671,1917,11
2022-01-04,27151,Swift,Southwest,9838,1834,30
2022-01-04,27153,Todd,East Central,25262,5316,52
2022-01-04,27155,Traverse,West Central,3360,635,8
2022-01-04,NA,Unknown/missing,NA,NA,632,0
2022-01-04,27157,Wabasha,Southeast,21387,4148,12
2022-01-04,27159,Wadena,East Central,14065,3252,44
2022-01-04,27161,Waseca,Southeast,18968,4332,35
2022-01-04,27163,Washington,Metro suburbs,267568,47244,409
2022-01-04,27165,Watonwan,Southeast,11253,2184,21
2022-01-04,27167,Wilkin,West Central,6506,1300,17
2022-01-04,27169,Winona,Southeast,49671,8606,63
2022-01-04,27171,Wright,East Central,141337,29037,260
2022-01-04,27173,Yellow Medicine,Southwest,9528,2040,25
