date,geoid,county,region,pop,cases,deaths
2021-04-22,27001,Aitkin,Northeast,15902,1295,36
2021-04-22,27003,Anoka,Metro suburbs,353813,39159,420
2021-04-22,27005,Becker,West Central,34371,3605,48
2021-04-22,27007,Beltrami,Northwest,46847,3760,57
2021-04-22,27009,Benton,East Central,40545,5398,97
2021-04-22,27011,Big Stone,Southwest,4989,577,4
2021-04-22,27013,Blue Earth,Southeast,67427,7064,40
2021-04-22,27015,Brown,Southeast,25111,2964,39
2021-04-22,27017,Carlton,Northeast,35837,3320,52
2021-04-22,27019,Carver,Metro suburbs,103551,9969,45
2021-04-22,27021,Cass,East Central,29519,2538,26
2021-04-22,27023,Chippewa,Southwest,11924,1477,37
2021-04-22,27025,Chisago,East Central,55922,5573,50
2021-04-22,27027,Clay,West Central,63955,7900,90
2021-04-22,27029,Clearwater,Northwest,8810,790,14
2021-04-22,27031,Cook,Northeast,5393,149,0
2021-04-22,27033,Cottonwood,Southwest,11277,1587,21
2021-04-22,27035,Crow Wing,East Central,64889,6265,86
2021-04-22,27037,Dakota,Metro suburbs,425423,43135,425
2021-04-22,27039,Dodge,Southeast,20822,1733,3
2021-04-22,27041,Douglas,West Central,37964,4469,71
2021-04-22,27043,Faribault,Southeast,13758,1458,19
2021-04-22,27045,Fillmore,Southeast,21058,1523,9
2021-04-22,27047,Freeborn,Southeast,30444,3303,29
2021-04-22,27049,Goodhue,Southeast,46403,4499,72
2021-04-22,27051,Grant,West Central,6021,555,8
2021-04-22,27053,Hennepin,Hennepin/Ramsey,1259428,117078,1693
2021-04-22,27055,Houston,Southeast,18578,1630,15
2021-04-22,27057,Hubbard,Northwest,21332,1750,41
2021-04-22,27059,Isanti,East Central,39966,3855,59
2021-04-22,27061,Itasca,Northeast,45108,3815,53
2021-04-22,27063,Jackson,Southwest,9911,1189,10
2021-04-22,27065,Kanabec,East Central,16207,1355,22
2021-04-22,27067,Kandiyohi,Southwest,42855,6336,81
2021-04-22,27069,Kittson,Northwest,4248,468,22
2021-04-22,27071,Koochiching,Northeast,12440,780,13
2021-04-22,27073,Lac qui Parle,Southwest,6658,742,22
2021-04-22,27075,Lake,Northeast,10658,792,19
2021-04-22,27077,Lake of the Woods,Northwest,3758,308,3
2021-04-22,27079,Le Sueur,Southeast,28494,2749,22
2021-04-22,27081,Lincoln,Southwest,5673,561,3
2021-04-22,27083,Lyon,Southwest,25629,3500,48
2021-04-22,27087,Mahnomen,Northwest,5519,517,8
2021-04-22,27089,Marshall,Northwest,9390,864,17
2021-04-22,27091,Martin,Southeast,19785,2159,30
2021-04-22,27085,McLeod,Southwest,35873,3981,55
2021-04-22,27093,Meeker,Southwest,23141,2405,37
2021-04-22,27095,Mille Lacs,East Central,26139,2868,50
2021-04-22,27097,Morrison,East Central,33169,3983,59
2021-04-22,27099,Mower,Southeast,40011,4532,32
2021-04-22,27101,Murray,Southwest,8276,1034,9
2021-04-22,27103,Nicollet,Southeast,34220,3112,43
2021-04-22,27105,Nobles,Southwest,21924,4019,48
2021-04-22,27107,Norman,Northwest,6475,523,9
2021-04-22,27109,Olmsted,Southeast,156277,12844,97
2021-04-22,27111,Otter Tail,West Central,58812,5491,73
2021-04-22,27113,Pennington,Northwest,14178,1519,19
2021-04-22,27115,Pine,East Central,29483,3151,21
2021-04-22,27117,Pipestone,Southwest,9047,1108,26
2021-04-22,27119,Polk,Northwest,31529,3690,67
2021-04-22,27121,Pope,West Central,11097,1042,6
2021-04-22,27123,Ramsey,Hennepin/Ramsey,550210,48500,859
2021-04-22,27125,Red Lake,Northwest,3999,388,7
2021-04-22,27127,Redwood,Southwest,15249,1670,35
2021-04-22,27129,Renville,Southwest,14612,1732,43
2021-04-22,27131,Rice,Southeast,66523,7716,102
2021-04-22,27133,Rock,Southwest,9414,1239,19
2021-04-22,27135,Roseau,Northwest,15150,1986,19
2021-04-22,27139,Scott,Metro suburbs,147381,16258,118
2021-04-22,27141,Sherburne,East Central,96036,10794,80
2021-04-22,27143,Sibley,Southeast,15028,1372,10
2021-04-22,27137,St. Louis,Northeast,199754,16969,298
2021-04-22,27145,Stearns,East Central,159256,21264,219
2021-04-22,27147,Steele,Southeast,36803,3675,14
2021-04-22,27149,Stevens,West Central,9753,838,10
2021-04-22,27151,Swift,Southwest,9345,1005,18
2021-04-22,27153,Todd,East Central,24582,2709,30
2021-04-22,27155,Traverse,West Central,3308,362,5
2021-04-22,27157,Wabasha,Southeast,21645,2000,3
2021-04-22,27159,Wadena,East Central,13773,1463,21
2021-04-22,27161,Waseca,Southeast,18691,2321,21
2021-04-22,27163,Washington,Metro suburbs,259201,25272,274
2021-04-22,27165,Watonwan,Southeast,10980,1263,9
2021-04-22,27167,Wilkin,West Central,6254,777,12
2021-04-22,27169,Winona,Southeast,50825,4405,49
2021-04-22,27171,Wright,East Central,136349,15030,130
2021-04-22,27173,Yellow Medicine,Southwest,9795,1113,19
