date,geoid,county,region,pop,cases,deaths
2022-02-10,27001,Aitkin,Northeast,15697,2816,59
2022-02-10,27003,Anoka,Metro suburbs,363887,95736,753
2022-02-10,27005,Becker,West Central,35183,8313,86
2022-02-10,27007,Beltrami,Northwest,46228,10955,118
2022-02-10,27009,Benton,East Central,41379,13396,164
2022-02-10,27011,Big Stone,Southwest,5166,1324,8
2022-02-10,27013,Blue Earth,Southeast,69112,17016,88
2022-02-10,27015,Brown,Southeast,25912,6347,72
2022-02-10,27017,Carlton,Northeast,36207,8379,87
2022-02-10,27019,Carver,Metro suburbs,106922,25632,104
2022-02-10,27021,Cass,East Central,30066,6553,73
2022-02-10,27023,Chippewa,Southwest,12598,2929,46
2022-02-10,27025,Chisago,East Central,56621,13981,114
2022-02-10,27027,Clay,West Central,65318,18525,117
2022-02-10,27029,Clearwater,Northwest,8524,2050,29
2022-02-10,27031,Cook,Northeast,5600,519,3
2022-02-10,27033,Cottonwood,Southwest,11517,3100,39
2022-02-10,27035,Crow Wing,East Central,66123,15315,156
2022-02-10,27037,Dakota,Metro suburbs,439882,106202,729
2022-02-10,27039,Dodge,Southeast,20867,5438,18
2022-02-10,27041,Douglas,West Central,39006,10474,113
2022-02-10,27043,Faribault,Southeast,13921,3636,49
2022-02-10,27045,Fillmore,Southeast,21228,4452,22
2022-02-10,27047,Freeborn,Southeast,30895,8645,67
2022-02-10,27049,Goodhue,Southeast,47582,12428,119
2022-02-10,27051,Grant,West Central,6074,1409,12
2022-02-10,27053,Hennepin,Hennepin/Ramsey,1281565,287957,2435
2022-02-10,27055,Houston,Southeast,18843,4028,18
2022-02-10,27057,Hubbard,Northwest,21344,4719,56
2022-02-10,27059,Isanti,East Central,41135,9811,110
2022-02-10,27061,Itasca,Northeast,45014,10569,133
2022-02-10,27063,Jackson,Southwest,9989,2096,16
2022-02-10,27065,Kanabec,East Central,16032,3387,54
2022-02-10,27067,Kandiyohi,Southwest,43732,12893,132
2022-02-10,27069,Kittson,Northwest,4207,1004,26
2022-02-10,27071,Koochiching,Northeast,12062,2568,34
2022-02-10,27073,Lac qui Parle,Southwest,6719,1669,28
2022-02-10,27075,Lake,Northeast,10905,1951,27
2022-02-10,27077,Lake of the Woods,Northwest,3763,727,5
2022-02-10,27079,Le Sueur,Southeast,28674,6226,47
2022-02-10,27081,Lincoln,Southwest,5640,1185,6
2022-02-10,27083,Lyon,Southwest,25269,6913,70
2022-02-10,27087,Mahnomen,Northwest,5411,1567,17
2022-02-10,27089,Marshall,Northwest,9040,1961,23
2022-02-10,27091,Martin,Southeast,20025,5328,56
2022-02-10,27085,McLeod,Southwest,36771,10133,100
2022-02-10,27093,Meeker,Southwest,23400,5681,73
2022-02-10,27095,Mille Lacs,East Central,26459,6964,104
2022-02-10,27097,Morrison,East Central,34010,8755,99
2022-02-10,27099,Mower,Southeast,40029,11472,64
2022-02-10,27101,Murray,Southwest,8179,1971,15
2022-02-10,27103,Nicollet,Southeast,34454,7650,66
2022-02-10,27105,Nobles,Southwest,22290,6782,57
2022-02-10,27107,Norman,Northwest,6441,1435,13
2022-02-10,27109,Olmsted,Southeast,162847,38434,159
2022-02-10,27111,Otter Tail,West Central,60081,12957,157
2022-02-10,27113,Pennington,Northwest,13992,3358,38
2022-02-10,27115,Pine,East Central,28876,6759,60
2022-02-10,27117,Pipestone,Southwest,9424,1942,33
2022-02-10,27119,Polk,Northwest,31192,8128,95
2022-02-10,27121,Pope,West Central,11308,2841,17
2022-02-10,27123,Ramsey,Hennepin/Ramsey,552352,119634,1275
2022-02-10,27125,Red Lake,Northwest,3935,902,11
2022-02-10,27127,Redwood,Southwest,15425,3762,52
2022-02-10,27129,Renville,Southwest,14723,3480,54
2022-02-10,27131,Rice,Southeast,67097,17084,164
2022-02-10,27133,Rock,Southwest,9704,2293,32
2022-02-10,27135,Roseau,Northwest,15331,4298,43
2022-02-10,27139,Scott,Metro suburbs,150928,38840,243
2022-02-10,27141,Sherburne,East Central,97183,26575,172
2022-02-10,27143,Sibley,Southeast,14836,3342,23
2022-02-10,27137,St. Louis,Northeast,200231,44164,498
2022-02-10,27145,Stearns,East Central,158292,49018,350
2022-02-10,27147,Steele,Southeast,37406,9942,50
2022-02-10,27149,Stevens,West Central,9671,2529,13
2022-02-10,27151,Swift,Southwest,9838,2203,31
2022-02-10,27153,Todd,East Central,25262,6432,54
2022-02-10,27155,Traverse,West Central,3360,794,9
2022-02-10,27157,Wabasha,Southeast,21387,5283,16
2022-02-10,27159,Wadena,East Central,14065,3991,50
2022-02-10,27161,Waseca,Southeast,18968,5319,38
2022-02-10,27163,Washington,Metro suburbs,267568,64402,460
2022-02-10,27165,Watonwan,Southeast,11253,2806,22
2022-02-10,27167,Wilkin,West Central,6506,1550,22
2022-02-10,27169,Winona,Southeast,49671,11924,69
2022-02-10,27171,Wright,East Central,141337,35482,294
2022-02-10,27173,Yellow Medicine,Southwest,9528,2433,28
