date,geoid,county,region,pop,cases,deaths
2020-05-09,27001,Aitkin,Northeast,15902,2,0
2020-05-09,27003,Anoka,Metro suburbs,353813,518,29
2020-05-09,27005,Becker,West Central,34371,25,0
2020-05-09,27007,Beltrami,Northwest,46847,6,0
2020-05-09,27009,Benton,East Central,40545,87,2
2020-05-09,27011,Big Stone,Southwest,4989,2,0
2020-05-09,27013,Blue Earth,Southeast,67427,64,0
2020-05-09,27015,Brown,Southeast,25111,9,1
2020-05-09,27017,Carlton,Northeast,35837,64,0
2020-05-09,27019,Carver,Metro suburbs,103551,78,1
2020-05-09,27021,Cass,East Central,29519,8,0
2020-05-09,27023,Chippewa,Southwest,11924,5,0
2020-05-09,27025,Chisago,East Central,55922,19,1
2020-05-09,27027,Clay,West Central,63955,233,16
2020-05-09,27029,Clearwater,Northwest,8810,2,0
2020-05-09,27031,Cook,Northeast,5393,0,0
2020-05-09,27033,Cottonwood,Southwest,11277,45,0
2020-05-09,27035,Crow Wing,East Central,64889,24,1
2020-05-09,27037,Dakota,Metro suburbs,425423,408,15
2020-05-09,27039,Dodge,Southeast,20822,24,0
2020-05-09,27041,Douglas,West Central,37964,15,0
2020-05-09,27043,Faribault,Southeast,13758,10,0
2020-05-09,27045,Fillmore,Southeast,21058,12,1
2020-05-09,27047,Freeborn,Southeast,30444,43,0
2020-05-09,27049,Goodhue,Southeast,46403,25,0
2020-05-09,27051,Grant,West Central,6021,2,0
2020-05-09,27053,Hennepin,Hennepin/Ramsey,1259428,3379,374
2020-05-09,27055,Houston,Southeast,18578,2,0
2020-05-09,27057,Hubbard,Northwest,21332,0,0
2020-05-09,27059,Isanti,East Central,39966,7,0
2020-05-09,27061,Itasca,Northeast,45108,25,0
2020-05-09,27063,Jackson,Southwest,9911,31,0
2020-05-09,27065,Kanabec,East Central,16207,9,0
2020-05-09,27067,Kandiyohi,Southwest,42855,276,1
2020-05-09,27069,Kittson,Northwest,4248,1,0
2020-05-09,27071,Koochiching,Northeast,12440,1,0
2020-05-09,27073,Lac qui Parle,Southwest,6658,2,0
2020-05-09,27075,Lake,Northeast,10658,1,0
2020-05-09,27077,Lake of the Woods,Northwest,3758,0,0
2020-05-09,27079,Le Sueur,Southeast,28494,28,0
2020-05-09,27081,Lincoln,Southwest,5673,3,0
2020-05-09,27083,Lyon,Southwest,25629,17,0
2020-05-09,27087,Mahnomen,Northwest,5519,2,1
2020-05-09,27089,Marshall,Northwest,9390,8,0
2020-05-09,27091,Martin,Southeast,19785,112,4
2020-05-09,27085,McLeod,Southwest,35873,8,0
2020-05-09,27093,Meeker,Southwest,23141,21,0
2020-05-09,27095,Mille Lacs,East Central,26139,7,1
2020-05-09,27097,Morrison,East Central,33169,13,0
2020-05-09,27099,Mower,Southeast,40011,42,0
2020-05-09,27101,Murray,Southwest,8276,27,0
2020-05-09,27103,Nicollet,Southeast,34220,21,2
2020-05-09,27105,Nobles,Southwest,21924,1230,2
2020-05-09,27107,Norman,Northwest,6475,9,0
2020-05-09,27109,Olmsted,Southeast,156277,363,9
2020-05-09,27111,Otter Tail,West Central,58812,23,0
2020-05-09,27113,Pennington,Northwest,14178,1,0
2020-05-09,27115,Pine,East Central,29483,69,0
2020-05-09,27117,Pipestone,Southwest,9047,7,0
2020-05-09,27119,Polk,Northwest,31529,48,1
2020-05-09,27121,Pope,West Central,11097,5,0
2020-05-09,27123,Ramsey,Hennepin/Ramsey,550210,875,43
2020-05-09,27125,Red Lake,Northwest,3999,1,0
2020-05-09,27127,Redwood,Southwest,15249,3,0
2020-05-09,27129,Renville,Southwest,14612,6,0
2020-05-09,27131,Rice,Southeast,66523,102,1
2020-05-09,27133,Rock,Southwest,9414,19,0
2020-05-09,27135,Roseau,Northwest,15150,1,0
2020-05-09,27139,Scott,Metro suburbs,147381,129,1
2020-05-09,27141,Sherburne,East Central,96036,107,1
2020-05-09,27143,Sibley,Southeast,15028,3,0
2020-05-09,27137,St. Louis,Northeast,199754,91,12
2020-05-09,27145,Stearns,East Central,159256,1348,5
2020-05-09,27147,Steele,Southeast,36803,58,0
2020-05-09,27149,Stevens,West Central,9753,1,0
2020-05-09,27151,Swift,Southwest,9345,3,0
2020-05-09,27153,Todd,East Central,24582,33,0
2020-05-09,27155,Traverse,West Central,3308,3,0
2020-05-09,27157,Wabasha,Southeast,21645,13,0
2020-05-09,27159,Wadena,East Central,13773,4,0
2020-05-09,27161,Waseca,Southeast,18691,16,0
2020-05-09,27163,Washington,Metro suburbs,259201,231,14
2020-05-09,27165,Watonwan,Southeast,10980,22,0
2020-05-09,27167,Wilkin,West Central,6254,12,3
2020-05-09,27169,Winona,Southeast,50825,70,15
2020-05-09,27171,Wright,East Central,136349,92,1
2020-05-09,27173,Yellow Medicine,Southwest,9795,3,0
