date,geoid,county,region,pop,cases,deaths
2020-06-17,27001,Aitkin,Northeast,15902,13,0
2020-06-17,27003,Anoka,Metro suburbs,353813,1786,91
2020-06-17,27005,Becker,West Central,34371,49,0
2020-06-17,27007,Beltrami,Northwest,46847,23,0
2020-06-17,27009,Benton,East Central,40545,195,3
2020-06-17,27011,Big Stone,Southwest,4989,14,0
2020-06-17,27013,Blue Earth,Southeast,67427,169,2
2020-06-17,27015,Brown,Southeast,25111,20,2
2020-06-17,27017,Carlton,Northeast,35837,81,0
2020-06-17,27019,Carver,Metro suburbs,103551,278,2
2020-06-17,27021,Cass,East Central,29519,11,2
2020-06-17,27023,Chippewa,Southwest,11924,58,1
2020-06-17,27025,Chisago,East Central,55922,81,1
2020-06-17,27027,Clay,West Central,63955,512,37
2020-06-17,27029,Clearwater,Northwest,8810,6,0
2020-06-17,27031,Cook,Northeast,5393,1,0
2020-06-17,27033,Cottonwood,Southwest,11277,115,0
2020-06-17,27035,Crow Wing,East Central,64889,91,10
2020-06-17,27037,Dakota,Metro suburbs,425423,1776,75
2020-06-17,27039,Dodge,Southeast,20822,61,0
2020-06-17,27041,Douglas,West Central,37964,51,0
2020-06-17,27043,Faribault,Southeast,13758,30,0
2020-06-17,27045,Fillmore,Southeast,21058,20,1
2020-06-17,27047,Freeborn,Southeast,30444,235,0
2020-06-17,27049,Goodhue,Southeast,46403,97,7
2020-06-17,27051,Grant,West Central,6021,6,0
2020-06-17,27053,Hennepin,Hennepin/Ramsey,1259428,10415,727
2020-06-17,27055,Houston,Southeast,18578,7,0
2020-06-17,27057,Hubbard,Northwest,21332,5,0
2020-06-17,27059,Isanti,East Central,39966,50,0
2020-06-17,27061,Itasca,Northeast,45108,59,12
2020-06-17,27063,Jackson,Southwest,9911,48,0
2020-06-17,27065,Kanabec,East Central,16207,13,1
2020-06-17,27067,Kandiyohi,Southwest,42855,552,1
2020-06-17,27069,Kittson,Northwest,4248,1,0
2020-06-17,27071,Koochiching,Northeast,12440,9,0
2020-06-17,27073,Lac qui Parle,Southwest,6658,3,0
2020-06-17,27075,Lake,Northeast,10658,4,0
2020-06-17,27077,Lake of the Woods,Northwest,3758,0,0
2020-06-17,27079,Le Sueur,Southeast,28494,53,1
2020-06-17,27081,Lincoln,Southwest,5673,6,0
2020-06-17,27083,Lyon,Southwest,25629,229,2
2020-06-17,27087,Mahnomen,Northwest,5519,6,1
2020-06-17,27089,Marshall,Northwest,9390,12,0
2020-06-17,27091,Martin,Southeast,19785,147,5
2020-06-17,27085,McLeod,Southwest,35873,56,0
2020-06-17,27093,Meeker,Southwest,23141,50,1
2020-06-17,27095,Mille Lacs,East Central,26139,28,1
2020-06-17,27097,Morrison,East Central,33169,54,1
2020-06-17,27099,Mower,Southeast,40011,733,2
2020-06-17,27101,Murray,Southwest,8276,43,0
2020-06-17,27103,Nicollet,Southeast,34220,95,11
2020-06-17,27105,Nobles,Southwest,21924,1620,6
2020-06-17,27107,Norman,Northwest,6475,18,0
2020-06-17,27109,Olmsted,Southeast,156277,810,12
2020-06-17,27111,Otter Tail,West Central,58812,83,1
2020-06-17,27113,Pennington,Northwest,14178,51,0
2020-06-17,27115,Pine,East Central,29483,96,0
2020-06-17,27117,Pipestone,Southwest,9047,14,0
2020-06-17,27119,Polk,Northwest,31529,67,2
2020-06-17,27121,Pope,West Central,11097,10,0
2020-06-17,27123,Ramsey,Hennepin/Ramsey,550210,4079,199
2020-06-17,27125,Red Lake,Northwest,3999,4,0
2020-06-17,27127,Redwood,Southwest,15249,12,0
2020-06-17,27129,Renville,Southwest,14612,12,0
2020-06-17,27131,Rice,Southeast,66523,701,3
2020-06-17,27133,Rock,Southwest,9414,25,0
2020-06-17,27135,Roseau,Northwest,15150,6,0
2020-06-17,27139,Scott,Metro suburbs,147381,546,4
2020-06-17,27141,Sherburne,East Central,96036,272,3
2020-06-17,27143,Sibley,Southeast,15028,26,2
2020-06-17,27137,St. Louis,Northeast,199754,127,14
2020-06-17,27145,Stearns,East Central,159256,2111,19
2020-06-17,27147,Steele,Southeast,36803,179,0
2020-06-17,27149,Stevens,West Central,9753,1,0
2020-06-17,27151,Swift,Southwest,9345,20,1
2020-06-17,27153,Todd,East Central,24582,379,2
2020-06-17,27155,Traverse,West Central,3308,5,0
2020-06-17,27157,Wabasha,Southeast,21645,24,0
2020-06-17,27159,Wadena,East Central,13773,10,0
2020-06-17,27161,Waseca,Southeast,18691,34,0
2020-06-17,27163,Washington,Metro suburbs,259201,826,37
2020-06-17,27165,Watonwan,Southeast,10980,108,0
2020-06-17,27167,Wilkin,West Central,6254,15,3
2020-06-17,27169,Winona,Southeast,50825,89,15
2020-06-17,27171,Wright,East Central,136349,390,2
2020-06-17,27173,Yellow Medicine,Southwest,9795,10,0
