date,geoid,county,region,pop,cases,deaths
2020-10-03,27001,Aitkin,Northeast,15902,94,1
2020-10-03,27003,Anoka,Metro suburbs,353813,6564,139
2020-10-03,27005,Becker,West Central,34371,306,2
2020-10-03,27007,Beltrami,Northwest,46847,528,5
2020-10-03,27009,Benton,East Central,40545,601,3
2020-10-03,27011,Big Stone,Southwest,4989,90,0
2020-10-03,27013,Blue Earth,Southeast,67427,1800,7
2020-10-03,27015,Brown,Southeast,25111,220,2
2020-10-03,27017,Carlton,Northeast,35837,298,1
2020-10-03,27019,Carver,Metro suburbs,103551,1479,7
2020-10-03,27021,Cass,East Central,29519,209,4
2020-10-03,27023,Chippewa,Southwest,11924,255,2
2020-10-03,27025,Chisago,East Central,55922,574,1
2020-10-03,27027,Clay,West Central,63955,1546,41
2020-10-03,27029,Clearwater,Northwest,8810,35,0
2020-10-03,27031,Cook,Northeast,5393,7,0
2020-10-03,27033,Cottonwood,Southwest,11277,235,0
2020-10-03,27035,Crow Wing,East Central,64889,617,18
2020-10-03,27037,Dakota,Metro suburbs,425423,7914,129
2020-10-03,27039,Dodge,Southeast,20822,278,0
2020-10-03,27041,Douglas,West Central,37964,413,3
2020-10-03,27043,Faribault,Southeast,13758,159,0
2020-10-03,27045,Fillmore,Southeast,21058,155,0
2020-10-03,27047,Freeborn,Southeast,30444,557,4
2020-10-03,27049,Goodhue,Southeast,46403,413,9
2020-10-03,27051,Grant,West Central,6021,66,4
2020-10-03,27053,Hennepin,Hennepin/Ramsey,1259428,28440,942
2020-10-03,27055,Houston,Southeast,18578,146,0
2020-10-03,27057,Hubbard,Northwest,21332,153,1
2020-10-03,27059,Isanti,East Central,39966,338,1
2020-10-03,27061,Itasca,Northeast,45108,409,16
2020-10-03,27063,Jackson,Southwest,9911,159,1
2020-10-03,27065,Kanabec,East Central,16207,144,9
2020-10-03,27067,Kandiyohi,Southwest,42855,1110,3
2020-10-03,27069,Kittson,Northwest,4248,12,0
2020-10-03,27071,Koochiching,Northeast,12440,126,4
2020-10-03,27073,Lac qui Parle,Southwest,6658,80,2
2020-10-03,27075,Lake,Northeast,10658,72,0
2020-10-03,27077,Lake of the Woods,Northwest,3758,26,1
2020-10-03,27079,Le Sueur,Southeast,28494,491,4
2020-10-03,27081,Lincoln,Southwest,5673,123,0
2020-10-03,27083,Lyon,Southwest,25629,768,4
2020-10-03,27087,Mahnomen,Northwest,5519,49,1
2020-10-03,27089,Marshall,Northwest,9390,57,1
2020-10-03,27091,Martin,Southeast,19785,499,12
2020-10-03,27085,McLeod,Southwest,35873,508,2
2020-10-03,27093,Meeker,Southwest,23141,231,2
2020-10-03,27095,Mille Lacs,East Central,26139,189,3
2020-10-03,27097,Morrison,East Central,33169,314,3
2020-10-03,27099,Mower,Southeast,40011,1366,6
2020-10-03,27101,Murray,Southwest,8276,186,3
2020-10-03,27103,Nicollet,Southeast,34220,583,17
2020-10-03,27105,Nobles,Southwest,21924,2001,16
2020-10-03,27107,Norman,Northwest,6475,64,0
2020-10-03,27109,Olmsted,Southeast,156277,2653,28
2020-10-03,27111,Otter Tail,West Central,58812,512,6
2020-10-03,27113,Pennington,Northwest,14178,129,1
2020-10-03,27115,Pine,East Central,29483,379,0
2020-10-03,27117,Pipestone,Southwest,9047,261,14
2020-10-03,27119,Polk,Northwest,31529,348,4
2020-10-03,27121,Pope,West Central,11097,106,0
2020-10-03,27123,Ramsey,Hennepin/Ramsey,550210,11501,326
2020-10-03,27125,Red Lake,Northwest,3999,45,1
2020-10-03,27127,Redwood,Southwest,15249,200,7
2020-10-03,27129,Renville,Southwest,14612,170,8
2020-10-03,27131,Rice,Southeast,66523,1393,8
2020-10-03,27133,Rock,Southwest,9414,189,1
2020-10-03,27135,Roseau,Northwest,15150,143,0
2020-10-03,27139,Scott,Metro suburbs,147381,2733,33
2020-10-03,27141,Sherburne,East Central,96036,1233,15
2020-10-03,27143,Sibley,Southeast,15028,207,3
2020-10-03,27137,St. Louis,Northeast,199754,1877,49
2020-10-03,27145,Stearns,East Central,159256,4262,25
2020-10-03,27147,Steele,Southeast,36803,581,2
2020-10-03,27149,Stevens,West Central,9753,120,1
2020-10-03,27151,Swift,Southwest,9345,152,1
2020-10-03,27153,Todd,East Central,24582,525,2
2020-10-03,27155,Traverse,West Central,3308,39,0
2020-10-03,27157,Wabasha,Southeast,21645,224,0
2020-10-03,27159,Wadena,East Central,13773,85,0
2020-10-03,27161,Waseca,Southeast,18691,817,9
2020-10-03,27163,Washington,Metro suburbs,259201,4088,57
2020-10-03,27165,Watonwan,Southeast,10980,538,4
2020-10-03,27167,Wilkin,West Central,6254,78,3
2020-10-03,27169,Winona,Southeast,50825,972,18
2020-10-03,27171,Wright,East Central,136349,1790,8
2020-10-03,27173,Yellow Medicine,Southwest,9795,215,3
