date,geoid,county,region,pop,cases,deaths
2020-12-27,27001,Aitkin,Northeast,15902,1007,32
2020-12-27,27003,Anoka,Metro suburbs,353813,28635,317
2020-12-27,27005,Becker,West Central,34371,2654,32
2020-12-27,27007,Beltrami,Northwest,46847,2839,36
2020-12-27,27009,Benton,East Central,40545,3836,75
2020-12-27,27011,Big Stone,Southwest,4989,428,3
2020-12-27,27013,Blue Earth,Southeast,67427,4967,28
2020-12-27,27015,Brown,Southeast,25111,1982,30
2020-12-27,27017,Carlton,Northeast,35837,2566,35
2020-12-27,27019,Carver,Metro suburbs,103551,6359,33
2020-12-27,27021,Cass,East Central,29519,1898,19
2020-12-27,27023,Chippewa,Southwest,11924,1254,23
2020-12-27,27025,Chisago,East Central,55922,4079,27
2020-12-27,27027,Clay,West Central,63955,6115,77
2020-12-27,27029,Clearwater,Northwest,8810,647,13
2020-12-27,27031,Cook,Northeast,5393,105,0
2020-12-27,27033,Cottonwood,Southwest,11277,1210,14
2020-12-27,27035,Crow Wing,East Central,64889,4460,59
2020-12-27,27037,Dakota,Metro suburbs,425423,29727,269
2020-12-27,27039,Dodge,Southeast,20822,1145,4
2020-12-27,27041,Douglas,West Central,37964,3434,57
2020-12-27,27043,Faribault,Southeast,13758,886,9
2020-12-27,27045,Fillmore,Southeast,21058,1068,0
2020-12-27,27047,Freeborn,Southeast,30444,1924,17
2020-12-27,27049,Goodhue,Southeast,46403,2961,40
2020-12-27,27051,Grant,West Central,6021,375,7
2020-12-27,27053,Hennepin,Hennepin/Ramsey,1259428,85143,1357
2020-12-27,27055,Houston,Southeast,18578,1154,12
2020-12-27,27057,Hubbard,Northwest,21332,1380,37
2020-12-27,27059,Isanti,East Central,39966,2579,30
2020-12-27,27061,Itasca,Northeast,45108,2648,33
2020-12-27,27063,Jackson,Southwest,9911,777,8
2020-12-27,27065,Kanabec,East Central,16207,920,18
2020-12-27,27067,Kandiyohi,Southwest,42855,5344,63
2020-12-27,27069,Kittson,Northwest,4248,339,18
2020-12-27,27071,Koochiching,Northeast,12440,543,8
2020-12-27,27073,Lac qui Parle,Southwest,6658,591,14
2020-12-27,27075,Lake,Northeast,10658,536,15
2020-12-27,27077,Lake of the Woods,Northwest,3758,151,1
2020-12-27,27079,Le Sueur,Southeast,28494,1908,15
2020-12-27,27081,Lincoln,Southwest,5673,445,1
2020-12-27,27083,Lyon,Southwest,25629,2784,29
2020-12-27,27087,Mahnomen,Northwest,5519,390,7
2020-12-27,27089,Marshall,Northwest,9390,670,12
2020-12-27,27091,Martin,Southeast,19785,1547,25
2020-12-27,27085,McLeod,Southwest,35873,3033,39
2020-12-27,27093,Meeker,Southwest,23141,1856,31
2020-12-27,27095,Mille Lacs,East Central,26139,2011,43
2020-12-27,27097,Morrison,East Central,33169,2874,40
2020-12-27,27099,Mower,Southeast,40011,3293,24
2020-12-27,27101,Murray,Southwest,8276,744,5
2020-12-27,27103,Nicollet,Southeast,34220,2042,30
2020-12-27,27105,Nobles,Southwest,21924,3502,44
2020-12-27,27107,Norman,Northwest,6475,407,8
2020-12-27,27109,Olmsted,Southeast,156277,8975,57
2020-12-27,27111,Otter Tail,West Central,58812,4148,49
2020-12-27,27113,Pennington,Northwest,14178,882,14
2020-12-27,27115,Pine,East Central,29483,2363,12
2020-12-27,27117,Pipestone,Southwest,9047,863,21
2020-12-27,27119,Polk,Northwest,31529,3169,48
2020-12-27,27121,Pope,West Central,11097,687,3
2020-12-27,27123,Ramsey,Hennepin/Ramsey,550210,36582,663
2020-12-27,27125,Red Lake,Northwest,3999,304,3
2020-12-27,27127,Redwood,Southwest,15249,1301,26
2020-12-27,27129,Renville,Southwest,14612,1281,38
2020-12-27,27131,Rice,Southeast,66523,5435,52
2020-12-27,27133,Rock,Southwest,9414,1011,10
2020-12-27,27135,Roseau,Northwest,15150,1593,14
2020-12-27,27139,Scott,Metro suburbs,147381,10834,76
2020-12-27,27141,Sherburne,East Central,96036,7556,56
2020-12-27,27143,Sibley,Southeast,15028,997,5
2020-12-27,27137,St. Louis,Northeast,199754,12254,193
2020-12-27,27145,Stearns,East Central,159256,16759,168
2020-12-27,27147,Steele,Southeast,36803,2475,9
2020-12-27,27149,Stevens,West Central,9753,665,6
2020-12-27,27151,Swift,Southwest,9345,783,14
2020-12-27,27153,Todd,East Central,24582,2213,26
2020-12-27,27155,Traverse,West Central,3308,202,2
2020-12-27,27157,Wabasha,Southeast,21645,1462,2
2020-12-27,27159,Wadena,East Central,13773,1106,12
2020-12-27,27161,Waseca,Southeast,18691,1711,12
2020-12-27,27163,Washington,Metro suburbs,259201,18206,180
2020-12-27,27165,Watonwan,Southeast,10980,1020,6
2020-12-27,27167,Wilkin,West Central,6254,574,7
2020-12-27,27169,Winona,Southeast,50825,3511,42
2020-12-27,27171,Wright,East Central,136349,10680,83
2020-12-27,27173,Yellow Medicine,Southwest,9795,853,14
