date,geoid,county,region,pop,cases,deaths
2022-01-01,27001,Aitkin,Northeast,15697,2424,54
2022-01-01,27003,Anoka,Metro suburbs,363887,71618,676
2022-01-01,27005,Becker,West Central,35183,6618,81
2022-01-01,27007,Beltrami,Northwest,46228,8803,111
2022-01-01,27009,Benton,East Central,41379,10048,140
2022-01-01,27011,Big Stone,Southwest,5166,1014,7
2022-01-01,27013,Blue Earth,Southeast,69112,12732,82
2022-01-01,27015,Brown,Southeast,25912,5031,66
2022-01-01,27017,Carlton,Northeast,36207,6115,80
2022-01-01,27019,Carver,Metro suburbs,106922,18778,90
2022-01-01,27021,Cass,East Central,30066,5391,64
2022-01-01,27023,Chippewa,Southwest,12598,2352,43
2022-01-01,27025,Chisago,East Central,56621,11021,100
2022-01-01,27027,Clay,West Central,65318,13171,113
2022-01-01,27029,Clearwater,Northwest,8524,1691,25
2022-01-01,27031,Cook,Northeast,5600,356,1
2022-01-01,27033,Cottonwood,Southwest,11517,2487,34
2022-01-01,27035,Crow Wing,East Central,66123,12214,139
2022-01-01,27037,Dakota,Metro suburbs,439882,76390,655
2022-01-01,27039,Dodge,Southeast,20867,3979,13
2022-01-01,27041,Douglas,West Central,39006,8525,103
2022-01-01,27043,Faribault,Southeast,13921,2841,40
2022-01-01,27045,Fillmore,Southeast,21228,3454,17
2022-01-01,27047,Freeborn,Southeast,30895,6349,51
2022-01-01,27049,Goodhue,Southeast,47582,9243,109
2022-01-01,27051,Grant,West Central,6074,1120,12
2022-01-01,27053,Hennepin,Hennepin/Ramsey,1281565,203703,2179
2022-01-01,27055,Houston,Southeast,18843,3160,18
2022-01-01,27057,Hubbard,Northwest,21344,3805,51
2022-01-01,27059,Isanti,East Central,41135,7849,97
2022-01-01,27061,Itasca,Northeast,45014,8500,114
2022-01-01,27063,Jackson,Southwest,9989,1726,16
2022-01-01,27065,Kanabec,East Central,16032,2825,45
2022-01-01,27067,Kandiyohi,Southwest,43732,10530,118
2022-01-01,27069,Kittson,Northwest,4207,856,24
2022-01-01,27071,Koochiching,Northeast,12062,1996,29
2022-01-01,27073,Lac qui Parle,Southwest,6719,1341,26
2022-01-01,27075,Lake,Northeast,10905,1475,26
2022-01-01,27077,Lake of the Woods,Northwest,3763,566,5
2022-01-01,27079,Le Sueur,Southeast,28674,5074,41
2022-01-01,27081,Lincoln,Southwest,5640,947,5
2022-01-01,27083,Lyon,Southwest,25269,5621,66
2022-01-01,27087,Mahnomen,Northwest,5411,1160,16
2022-01-01,27089,Marshall,Northwest,9040,1655,23
2022-01-01,27091,Martin,Southeast,20025,4235,52
2022-01-01,27085,McLeod,Southwest,36771,7909,92
2022-01-01,27093,Meeker,Southwest,23400,4742,67
2022-01-01,27095,Mille Lacs,East Central,26459,5826,93
2022-01-01,27097,Morrison,East Central,34010,7172,87
2022-01-01,27099,Mower,Southeast,40029,7941,55
2022-01-01,27101,Murray,Southwest,8179,1616,14
2022-01-01,27103,Nicollet,Southeast,34454,5724,62
2022-01-01,27105,Nobles,Southwest,22290,5469,56
2022-01-01,27107,Norman,Northwest,6441,1094,10
2022-01-01,27109,Olmsted,Southeast,162847,25067,139
2022-01-01,27111,Otter Tail,West Central,60081,10556,144
2022-01-01,27113,Pennington,Northwest,13992,2669,32
2022-01-01,27115,Pine,East Central,28876,5677,48
2022-01-01,27117,Pipestone,Southwest,9424,1622,30
2022-01-01,27119,Polk,Northwest,31192,6357,91
2022-01-01,27121,Pope,West Central,11308,2279,14
2022-01-01,27123,Ramsey,Hennepin/Ramsey,552352,84152,1129
2022-01-01,27125,Red Lake,Northwest,3935,736,11
2022-01-01,27127,Redwood,Southwest,15425,3034,49
2022-01-01,27129,Renville,Southwest,14723,2877,52
2022-01-01,27131,Rice,Southeast,67097,12539,148
2022-01-01,27133,Rock,Southwest,9704,1860,32
2022-01-01,27135,Roseau,Northwest,15331,3409,37
2022-01-01,27139,Scott,Metro suburbs,150928,29161,212
2022-01-01,27141,Sherburne,East Central,97183,20962,153
2022-01-01,27143,Sibley,Southeast,14836,2801,20
2022-01-01,27137,St. Louis,Northeast,200231,32941,449
2022-01-01,27145,Stearns,East Central,158292,37185,311
2022-01-01,27147,Steele,Southeast,37406,7541,41
2022-01-01,27149,Stevens,West Central,9671,1885,11
2022-01-01,27151,Swift,Southwest,9838,1829,29
2022-01-01,27153,Todd,East Central,25262,5291,51
2022-01-01,27155,Traverse,West Central,3360,632,8
2022-01-01,NA,Unknown/missing,NA,NA,624,0
2022-01-01,27157,Wabasha,Southeast,21387,4118,12
2022-01-01,27159,Wadena,East Central,14065,3242,44
2022-01-01,27161,Waseca,Southeast,18968,4280,35
2022-01-01,27163,Washington,Metro suburbs,267568,45954,406
2022-01-01,27165,Watonwan,Southeast,11253,2171,21
2022-01-01,27167,Wilkin,West Central,6506,1290,17
2022-01-01,27169,Winona,Southeast,49671,8467,63
2022-01-01,27171,Wright,East Central,141337,28702,259
2022-01-01,27173,Yellow Medicine,Southwest,9528,2020,25
