SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV,POPEST2019_CIV
040,2,4,27,Minnesota,0,71,32159,32135,33069,34343,36457,41204,39063,39173,38556,52515,50157
040,2,4,27,Minnesota,0,72,30221,30683,31483,32395,33606,35680,40238,38155,38361,37785,51460
040,2,4,27,Minnesota,0,73,28797,28857,30026,30835,31728,32887,34883,39432,37328,37598,37017
040,2,4,27,Minnesota,0,74,27504,27646,28183,29248,30146,30914,31983,34064,38465,36451,36737
040,2,4,27,Minnesota,0,75,26278,26512,26909,27439,28514,29288,30054,31096,33070,37406,35475
040,2,4,27,Minnesota,0,76,24460,24500,25886,26340,26794,27835,28526,29322,30287,32287,36530
040,2,4,27,Minnesota,0,77,24355,24280,23773,25104,25635,26027,26980,27678,28488,29459,31406
040,2,4,27,Minnesota,0,78,23858,23788,23499,23028,24274,24851,25187,26089,26779,27654,28616
040,2,4,27,Minnesota,0,79,23164,22989,22994,22705,22214,23454,24014,24335,25231,25897,26784
040,2,4,27,Minnesota,0,80,22002,22176,21977,21993,21721,21289,22370,23053,23291,24221,24893
040,2,4,27,Minnesota,0,81,20888,20811,21253,21085,21088,20776,20360,21482,22105,22393,23269
040,2,4,27,Minnesota,0,82,20407,20284,19654,20208,19961,20027,19673,19282,20424,21020,21322
040,2,4,27,Minnesota,0,83,19155,19256,19239,18765,19159,19011,18973,18789,18318,19461,20107
040,2,4,27,Minnesota,0,84,17466,17539,17904,18023,17524,17888,17729,17845,17620,17223,18311
040,2,4,27,Minnesota,0,85,106664,107467,109583,112406,114630,116527,117843,119376,120535,121678,122610
